都道府県,2020/04/01,2020/04/08,Td
山形県,0.571,14.000,1.517
福島県,4.000,20.571,2.963
富山県,2.857,12.571,3.275
石川県,11.857,50.429,3.352
宮城県,6.143,25.714,3.389
佐賀県,2.143,8.429,3.543
長崎県,2.714,9.714,3.805
茨城県,20.000,69.143,3.912
福岡県,36.571,125.143,3.944
福井県,17.143,56.000,4.099
広島県,5.429,17.143,4.220
岡山県,4.000,12.000,4.417
滋賀県,6.857,20.429,4.445
静岡県,5.000,13.857,4.760
山梨県,6.000,16.429,4.817
岐阜県,20.143,55.000,4.830
宮崎県,3.000,8.000,4.947
沖縄県,8.143,21.429,5.015
愛媛県,7.000,17.857,5.181
東京都,483.000,1158.000,5.549
奈良県,11.857,27.286,5.822
神奈川県,119.714,270.857,5.943
埼玉県,91.143,204.143,6.017
京都府,58.286,126.000,6.294
鹿児島県,1.429,3.000,6.540
秋田県,5.143,10.714,6.611
高知県,16.429,33.571,6.789
長野県,7.571,15.429,6.816
全国,1978.000,4024.143,6.832
山口県,5.714,11.571,6.877
大阪府,234.857,468.143,7.034
千葉県,147.143,268.286,8.078
青森県,7.143,11.571,10.058
熊本県,12.571,19.714,10.784
群馬県,17.857,27.714,11.039
香川県,1.571,2.429,11.146
兵庫県,139.000,214.000,11.245
和歌山県,17.286,26.286,11.576
徳島県,2.000,3.000,11.967
愛知県,171.857,246.714,13.419
栃木県,12.857,17.571,15.533
三重県,10.143,13.000,19.550
大分県,27.000,34.286,20.311
北海道,176.857,202.286,36.118
新潟県,30.000,34.286,36.336
