都道府県,2020/04/17,2020/04/24,Td
鳥取県,1.000,3.000,4.417
富山県,55.714,132.000,5.625
鹿児島県,4.571,9.714,6.437
三重県,23.286,41.429,8.422
北海道,313.714,504.857,10.198
広島県,87.429,138.857,10.488
滋賀県,53.429,82.000,11.327
佐賀県,15.000,22.429,12.061
沖縄県,84.000,125.571,12.068
長野県,39.000,57.714,12.379
徳島県,3.000,4.429,12.458
福島県,44.000,64.714,12.577
埼玉県,485.286,710.286,12.737
石川県,138.714,200.000,13.260
大阪府,955.000,1364.714,13.592
奈良県,50.143,71.429,13.713
山形県,45.571,64.286,14.102
香川県,19.000,26.714,14.239
東京都,2465.714,3445.000,14.508
全国,8481.857,11706.571,15.058
神奈川県,621.571,850.429,15.477
島根県,11.714,16.000,15.562
千葉県,528.714,721.000,15.642
和歌山県,36.571,49.286,16.262
熊本県,31.000,41.429,16.732
兵庫県,428.286,562.000,17.857
福岡県,426.000,552.714,18.633
群馬県,103.143,132.286,19.498
新潟県,46.857,60.000,19.625
栃木県,39.714,50.714,19.845
宮城県,66.857,84.000,21.257
山梨県,40.000,50.143,21.469
京都府,216.857,270.857,21.821
愛知県,349.571,436.143,21.929
茨城県,119.857,148.857,22.392
大分県,48.000,58.429,24.679
愛媛県,38.429,46.571,25.247
福井県,97.571,117.143,26.541
静岡県,47.143,55.571,29.498
岡山県,16.857,19.429,34.176
山口県,27.000,30.714,37.644
高知県,61.429,69.857,37.736
岐阜県,125.143,142.286,37.794
長崎県,15.286,16.571,60.079
秋田県,15.714,16.000,269.280
青森県,22.000,22.000,1000
宮崎県,17.000,17.000,1000
