都道府県,2020/04/13,2020/04/20,Td
島根県,5.000,15.000,4.417
広島県,40.429,120.000,4.460
香川県,8.429,23.714,4.690
富山県,30.857,82.571,4.929
鳥取県,0.857,1.857,6.275
三重県,16.143,32.286,7.000
鹿児島県,3.571,6.857,7.438
沖縄県,56.143,104.286,7.836
山形県,30.857,57.143,7.874
群馬県,65.143,117.286,8.251
滋賀県,37.000,66.286,8.322
宮城県,46.286,78.429,9.201
埼玉県,352.857,592.714,9.355
長野県,28.714,47.571,9.611
福岡県,297.000,489.000,9.731
石川県,102.714,164.857,10.255
北海道,251.286,390.857,10.984
神奈川県,469.429,729.857,10.994
大阪府,747.000,1143.143,11.404
東京都,1896.857,2898.429,11.444
全国,6526.143,9958.286,11.482
奈良県,39.286,59.714,11.588
福島県,36.143,54.714,11.702
山梨県,30.571,46.000,11.875
千葉県,413.857,618.571,12.073
山口県,20.286,29.714,12.711
兵庫県,338.286,488.429,13.210
熊本県,25.286,36.000,13.734
岐阜県,95.429,135.714,13.777
栃木県,32.000,45.000,14.232
茨城県,95.286,133.143,14.503
静岡県,36.429,50.571,14.791
愛媛県,31.000,43.000,14.828
京都府,182.000,240.571,17.390
佐賀県,12.571,16.429,18.132
福井県,82.429,107.714,18.135
大分県,42.143,53.857,19.782
新潟県,41.286,52.714,19.855
和歌山県,33.000,41.714,20.705
高知県,53.571,65.143,24.810
長崎県,13.714,16.571,25.639
愛知県,318.429,384.429,25.759
青森県,18.286,22.000,26.238
秋田県,13.429,16.000,27.694
岡山県,15.857,18.143,36.033
徳島県,3.000,3.286,53.336
宮崎県,16.000,17.000,80.034
