都道府県,2020/03/29,2020/04/05,Td
山形県,0.143,4.714,1.388
富山県,0.571,7.857,1.851
宮城県,2.857,15.429,2.877
佐賀県,1.143,5.286,3.168
福島県,2.286,10.429,3.197
長崎県,1.429,6.429,3.226
鹿児島県,0.571,2.571,3.226
福井県,8.571,37.286,3.300
徳島県,0.714,3.000,3.381
福岡県,18.000,73.143,3.461
岡山県,2.286,8.000,3.873
茨城県,13.286,46.000,3.907
石川県,8.143,26.857,4.066
秋田県,2.857,8.571,4.417
愛媛県,3.714,11.143,4.417
奈良県,7.571,20.143,4.959
東京都,310.571,807.000,5.081
広島県,4.143,10.143,5.419
京都府,38.714,92.000,5.606
岐阜県,15.714,35.714,5.910
山梨県,4.429,10.000,5.957
滋賀県,5.714,12.857,5.983
静岡県,3.714,8.000,6.324
千葉県,94.714,203.143,6.359
大阪府,170.714,344.143,6.921
埼玉県,69.286,137.857,7.053
全国,1464.143,2912.286,7.056
神奈川県,94.000,182.286,7.326
長野県,5.571,10.429,7.740
高知県,12.857,24.000,7.774
青森県,5.286,9.857,7.786
熊本県,8.857,16.429,7.854
香川県,1.143,2.000,8.670
山口県,4.429,7.429,9.380
沖縄県,6.000,9.857,9.774
兵庫県,108.429,175.000,10.136
三重県,7.857,12.000,11.457
群馬県,15.000,22.857,11.519
栃木県,9.429,14.000,12.274
大分県,21.286,30.429,13.578
宮崎県,3.000,4.286,13.604
和歌山県,15.857,21.286,16.480
愛知県,156.000,203.000,18.424
新潟県,27.000,31.571,31.020
北海道,170.286,187.857,49.408
