都道府県,2020/04/15,2020/04/22,Td
富山県,42.571,103.429,5.466
鳥取県,1.000,2.429,5.468
広島県,60.000,133.571,6.063
鹿児島県,3.857,8.571,6.076
三重県,18.714,37.714,6.924
香川県,13.286,25.571,7.410
島根県,8.571,15.714,8.005
滋賀県,44.286,74.714,9.277
沖縄県,69.143,116.429,9.311
山形県,37.429,62.000,9.614
北海道,278.571,444.429,10.387
埼玉県,416.714,652.714,10.813
長野県,33.571,52.143,11.020
福島県,39.571,60.429,11.461
石川県,121.000,182.000,11.886
宮城県,56.143,82.429,12.634
大阪府,856.714,1254.286,12.728
奈良県,45.000,65.714,12.814
東京都,2182.429,3161.714,13.090
神奈川県,545.857,788.286,13.203
千葉県,467.000,674.143,13.217
全国,7511.857,10825.857,13.277
群馬県,86.857,124.857,13.370
熊本県,27.571,39.143,13.846
福岡県,369.429,520.286,14.170
山梨県,35.286,48.714,15.045
兵庫県,387.429,524.286,16.039
栃木県,36.143,48.286,16.751
茨城県,107.143,141.286,17.540
新潟県,43.429,56.571,18.352
山口県,23.571,30.429,19.002
和歌山県,34.857,44.857,19.237
徳島県,3.000,3.857,19.307
愛媛県,35.000,44.857,19.554
京都府,199.571,255.714,19.573
大分県,44.571,56.714,20.138
岐阜県,111.000,139.429,21.279
佐賀県,13.857,17.286,21.947
福井県,91.000,112.571,22.809
静岡県,43.000,52.857,23.509
愛知県,336.000,407.429,25.172
長崎県,14.429,16.857,31.190
高知県,58.571,67.429,34.455
岡山県,16.286,18.714,34.907
秋田県,14.714,16.000,57.921
青森県,20.857,22.000,90.954
宮崎県,16.857,17.000,574.962
