都道府県,2020/04/04,2020/04/11,Td
山形県,3.000,24.857,2.295
沖縄県,9.000,41.000,3.200
石川県,22.286,80.429,3.781
福島県,8.714,30.857,3.837
宮崎県,3.714,13.143,3.840
静岡県,7.429,26.143,3.856
福岡県,63.143,221.714,3.863
広島県,8.714,27.857,4.175
宮城県,12.714,37.000,4.542
富山県,6.714,19.429,4.567
山梨県,8.857,25.143,4.650
滋賀県,11.286,29.143,5.115
山口県,6.571,16.857,5.151
佐賀県,4.429,11.000,5.333
愛媛県,10.429,25.429,5.444
岐阜県,31.714,75.857,5.564
長野県,9.571,22.857,5.574
神奈川県,162.143,380.000,5.697
埼玉県,124.000,289.571,5.721
福井県,31.429,72.429,5.812
長崎県,5.429,12.286,5.941
東京都,721.857,1585.857,6.165
高知県,21.571,46.429,6.330
茨城県,39.286,84.143,6.370
群馬県,21.857,46.143,6.493
岡山県,7.000,14.571,6.618
全国,2668.000,5456.429,6.782
大阪府,317.857,629.857,7.095
香川県,2.000,3.857,7.388
奈良県,18.000,34.000,7.629
京都府,84.714,159.571,7.663
千葉県,190.429,352.857,7.867
栃木県,14.000,25.571,8.054
兵庫県,167.286,285.429,9.081
青森県,9.429,15.143,10.241
和歌山県,19.857,31.000,10.893
秋田県,7.857,12.143,11.146
愛知県,194.286,294.000,11.713
熊本県,15.571,23.000,12.439
鹿児島県,2.286,3.286,13.370
大分県,30.000,39.000,18.493
三重県,11.714,14.714,21.280
北海道,185.429,228.571,23.196
新潟県,31.429,38.286,24.585
徳島県,3.000,3.000,1000
