都道府県,2020/04/11,2020/04/18,Td
香川県,3.857,21.429,2.830
島根県,2.429,13.000,2.892
広島県,27.857,98.286,3.848
富山県,19.429,64.571,4.040
群馬県,46.143,107.714,5.723
鳥取県,0.571,1.286,5.983
沖縄県,41.000,90.286,6.146
福岡県,221.714,448.000,6.898
滋賀県,29.143,58.143,7.025
山形県,24.857,49.429,7.059
宮城県,37.000,71.286,7.399
静岡県,26.143,48.714,7.796
長野県,22.857,42.286,7.887
石川県,80.429,148.000,7.956
埼玉県,289.571,521.857,8.238
三重県,14.714,26.000,8.523
神奈川県,380.000,665.286,8.664
岐阜県,75.857,130.000,9.007
山梨県,25.143,42.000,9.456
山口県,16.857,28.000,9.562
東京都,1585.857,2610.714,9.733
全国,5456.429,8979.714,9.740
栃木県,25.571,41.286,10.129
大阪府,629.857,1012.143,10.229
愛媛県,25.429,40.571,10.386
千葉県,352.857,558.143,10.581
兵庫県,285.429,448.000,10.763
鹿児島県,3.286,5.143,10.830
奈良県,34.000,53.143,10.864
福島県,30.857,47.429,11.288
北海道,228.571,337.571,12.443
茨城県,84.143,124.143,12.476
青森県,15.143,22.000,12.990
熊本県,23.000,32.571,13.945
佐賀県,11.000,15.571,13.961
京都府,159.571,225.143,14.095
福井県,72.429,101.000,14.592
高知県,46.429,62.571,16.260
秋田県,12.143,15.857,18.181
宮崎県,13.143,17.000,18.855
長崎県,12.286,15.714,19.713
新潟県,38.286,48.857,19.900
大分県,39.000,49.714,19.989
和歌山県,31.000,38.286,22.986
愛知県,294.000,361.286,23.543
岡山県,14.571,17.286,28.405
徳島県,3.000,3.000,1000
