都道府県,2020/04/19,2020/04/26,Td
富山県,73.857,153.714,6.620
鳥取県,1.571,3.000,7.504
佐賀県,16.143,27.857,8.893
徳島県,3.000,5.000,9.498
鹿児島県,6.000,10.000,9.498
北海道,363.143,559.143,11.242
三重県,29.143,43.571,12.064
滋賀県,62.714,88.429,14.121
石川県,156.429,215.286,15.193
長野県,44.857,61.714,15.209
埼玉県,557.286,756.714,15.861
沖縄県,97.286,131.143,16.247
奈良県,56.000,75.429,16.291
大阪府,1078.000,1437.143,16.874
東京都,2757.286,3672.286,16.932
和歌山県,40.000,52.857,17.409
全国,9474.571,12389.000,18.091
福島県,51.143,66.429,18.554
広島県,109.714,141.857,18.884
神奈川県,698.143,898.714,19.213
千葉県,588.000,754.571,19.453
兵庫県,468.000,593.286,20.455
熊本県,34.286,43.000,21.424
新潟県,50.857,63.714,21.527
島根県,14.143,17.714,21.549
福岡県,469.571,578.571,23.244
群馬県,112.429,138.143,23.557
愛知県,372.429,457.000,23.710
京都府,232.857,284.143,24.376
山形県,53.571,65.286,24.535
栃木県,43.143,52.286,25.244
香川県,22.857,27.429,26.612
茨城県,128.857,154.571,26.667
静岡県,49.571,58.857,28.259
大分県,51.429,60.000,31.476
山梨県,44.000,50.714,34.165
福井県,104.000,119.571,34.776
岡山県,17.714,20.286,35.796
愛媛県,41.857,47.000,41.869
宮城県,75.571,84.571,43.122
高知県,63.857,71.143,44.909
山口県,28.857,31.143,63.652
岐阜県,133.857,144.286,64.674
長崎県,16.143,16.286,550.702
青森県,22.000,22.143,749.636
秋田県,16.000,16.000,1000
宮崎県,17.000,17.000,1000
