2020/08/29 21:31:15 UTC
Continent,Country,Total deaths,Td,Deaths/Mil.
Africa,Togo,27,50.098,3.244
Africa,Angola,107,23.116,3.230
Asia,China,4634,4967.806,3.216
Africa,DRC,258,234.416,2.862
Africa,Niger,69,1897.951,2.819
Africa,Burkina Faso,55,116.829,2.604
Africa,Botswana,6,21.864,2.543
Asia,Jordan,15,22.931,1.466
Africa,Rwanda,16,14.985,1.232
Asia,Thailand,58,785.680,0.833
Africa,Mozambique,22,29.798,0.702
Africa,Uganda,29,11.227,0.632
Asia,Sri Lanka,12,266.675,0.561
Australia/Oceania,Papua New Guinea,5,21.373,0.552
Asia,Vietnam,32,160.340,0.338
Asia,Taiwan,7,2365.364,0.287
Asia,Myanmar,6,9.299,0.106
