2020/08/17 19:26:47 UTC
Continent,Country,Total deaths,Td,Deaths/Mil.
Europe,Belgium,9939,88.663,857.066
South America,Peru,26281,42.423,795.718
Europe,Andorra,53,113.659,685.783
Europe,UK,41369,202.534,609.006
Europe,Italy,35400,359.315,585.649
Europe,Sweden,5787,196.619,572.542
South America,Chile,10513,148.482,549.359
North America,USA,173384,76.241,523.410
South America,Brazil,108054,54.178,507.872
Europe,France,30429,62.926,466.099
North America,Mexico,56757,58.030,439.676
North America,Panama,1767,50.916,408.735
North America,Sint Maarten,17,9.382,395.934
Europe,Netherlands,6172,69.347,360.108
Europe,Ireland,1774,240.728,358.788
South America,Bolivia,4058,44.594,347.064
South America,Ecuador,6083,67.573,344.112
South America,Colombia,15097,29.645,296.310
Asia,Armenia,824,157.131,277.999
Europe,Channel Islands,47,243.806,270.038
Europe,North Macedonia,547,66.921,262.551
North America,Canada,9026,240.338,238.899
Asia,Iran,19804,98.490,235.389
Europe,Switzerland,1991,117.764,229.851
Asia,Kyrgyzstan,1496,104.450,228.830
Europe,Moldova,908,55.658,225.169
Africa,South Africa,11839,117.565,199.311
Europe,Luxembourg,123,147.091,196.094
South America,French Guiana,53,137.943,176.906
Europe,Portugal,1779,184.323,174.541
North America,Honduras,1575,77.942,158.710
Europe,Romania,3029,37.470,157.589
Europe,Bosnia and Herzegovina,486,45.994,148.265
Asia,Iraq,5954,30.449,147.616
North America,Bermuda,9,194.071,144.556
Africa,Mayotte,39,294.302,142.546
North America,Dominican Republic,1453,69.624,133.770
North America,Guatemala,2389,48.802,133.030
South America,Argentina,5750,27.235,127.075
Europe,Montenegro,77,44.479,122.589
Asia,Kuwait,502,81.753,117.334
Asia,Oman,588,278.189,114.801
Europe,Germany,9293,137.448,110.850
Europe,Russia,15740,125.838,107.852
Europe,Denmark,621,80.113,107.156
North America,Saint Martin,4,14.499,103.229
Europe,Monaco,4,52.028,101.836
Asia,Bahrain,173,90.762,101.270
All,Total:,775276,59.220,99.462
All,World,775276,59.220,99.444
Asia,Saudi Arabia,3436,143.561,98.504
North America,El Salvador,618,46.016,95.206
Europe,Austria,729,77.512,80.880
South America,Suriname,47,20.894,80.022
Europe,Albania,230,35.302,79.928
Europe,Serbia,677,92.621,77.516
Asia,Israel,692,45.405,75.236
Europe,Bulgaria,498,79.260,71.727
Asia,Turkey,5996,139.823,71.007
Asia,Qatar,193,263.364,68.736
Africa,Sao Tome and Principe,15,611.006,68.288
Asia,Kazakhstan,1269,136.774,67.482
Europe,Belarus,613,523.502,64.877
Europe,Hungary,608,109.175,62.939
Africa,Cabo Verde,35,49.645,62.866
Europe,Slovenia,129,65.277,62.030
