2020/04/05 20:12:57 UTC
Country,Total deaths,Td,Deaths/Mil.
China,3329,1720.444,2.323
S.Korea,183,73.496,3.575
SanMarino,32,28.234,943.038
Lebanon,18,26.230,2.630
Taiwan,5,24.591,0.207
Guadeloupe,7,17.782,17.500
Uruguay,5,17.680,1.438
Italy,15887,17.477,262.796
Jordan,5,16.923,0.493
Venezuela,7,16.744,0.264
Norway,71,16.618,13.096
Slovenia,28,15.566,13.480
TrinidadandTobago,7,15.469,4.981
Austria,204,14.950,22.650
HongKong,4,14.784,0.535
SouthAfrica,11,14.598,0.186
Bahrain,4,14.335,2.349
Ghana,5,14.183,0.164
Switzerland,715,13.757,82.615
Angola,2,13.604,0.060
Australia,35,13.595,1.372
Luxembourg,36,13.358,57.505
Iceland,4,12.895,11.723
Malaysia,61,12.321,1.882
Andorra,18,11.967,232.958
Greece,73,11.950,6.984
SriLanka,5,11.883,0.227
Iran,3603,11.590,42.883
Bulgaria,20,11.328,2.863
CostaRica,2,11.254,0.392
Singapore,6,11.056,1.027
Finland,28,11.006,5.057
BurkinaFaso,17,11.006,0.838
Thailand,23,10.869,0.329
Senegal,2,10.858,0.117
Martinique,4,10.294,10.658
Estonia,15,10.114,11.308
Netherlands,1766,9.774,103.085
Germany,1575,9.704,18.804
Czechia,67,9.617,6.253
Croatia,15,9.599,3.655
Spain,12418,9.580,265.627
Japan,77,9.329,0.613
Albania,20,9.115,6.925
Jamaica,3,8.959,1.036
Iraq,61,8.610,1.523
Togo,3,8.583,0.341
Lithuania,13,8.557,4.777
Indonesia,198,8.507,0.697
Total:,68499,8.448,8.789
Oman,2,8.379,0.389
Guatemala,2,8.301,0.098
Hungary,34,8.282,3.525
Belgium,1447,8.123,124.852
Denmark,179,8.071,30.892
Bangladesh,9,8.005,0.051
Sweden,401,7.915,39.689
SaudiArabia,34,7.893,0.977
Paraguay,3,7.838,0.433
IvoryCoast,3,7.790,0.115
Portugal,295,7.612,28.930
Ireland,158,7.500,31.986
Georgia,2,7.485,0.506
Ecuador,180,7.385,10.219
Bolivia,10,7.332,0.828
Armenia,7,7.329,2.359
Argentina,44,7.279,0.970
Israel,49,7.077,5.661
Panama,46,7.006,10.651
Sudan,2,7.000,0.050
Pakistan,47,6.952,0.208
BosniaandHerzegovina,23,6.878,6.998
DominicanRepublic,82,6.846,7.566
Egypt,78,6.822,0.731
Ethiopia,2,6.770,0.019
Tunisia,22,6.692,1.878
Cyprus,9,6.607,7.446
Chile,34,6.581,1.779
Syria,2,6.493,0.105
Mauritius,7,6.451,5.489
Mayotte,2,6.429,7.328
Morocco,69,6.384,1.882
NorthMacedonia,18,6.366,8.627
Romania,151,6.170,7.855
Poland,94,6.143,2.475
Mexico,79,6.054,0.627
France,7560,6.019,115.812
Philippines,152,5.859,1.405
Cuba,8,5.819,0.700
Nigeria,5,5.797,0.022
Kazakhstan,6,5.746,0.318
Congo,5,5.627,0.889
DRC,18,5.625,0.234
Uzbekistan,2,5.609,0.058
Honduras,22,5.449,2.216
Colombia,35,5.433,0.684
UK,4934,5.418,72.659
USA,9504,5.409,28.718
Canada,277,5.364,7.345
Mali,5,5.295,0.222
Montenegro,2,5.255,3.187
Qatar,4,5.227,1.389
Bahamas,4,5.193,10.143
Serbia,51,5.130,5.827
Algeria,152,5.113,3.455
ElSalvador,3,5.112,0.484
Brazil,460,5.049,2.164
SaintMartin,2,5.005,51.724
Peru,83,4.927,2.511
Azerbaijan,7,4.722,0.695
ChannelIslands,6,4.712,34.500
Afghanistan,7,4.545,0.181
Turkey,574,4.504,6.807
Guyana,4,4.417,5.167
Ukraine,37,4.253,0.849
UAE,10,4.224,1.012
Moldova,15,4.079,3.715
Kenya,4,3.983,0.085
India,99,3.870,0.083
Russia,45,3.862,0.309
SintMaarten,4,3.400,93.280
Liberia,3,3.309,0.692
MSZaandam,2,3.226,0.089
Belarus,8,2.713,0.840
Cameroon,9,2.468,0.332
Niger,10,2.087,0.435
