2020/04/10 01:57:46 UTC
Country,Total deaths,Td,Deaths/Mil.
China,3336,1382.295,2.322
S.Korea,208,128.238,4.060
Taiwan,5,55.156,0.211
Guadeloupe,8,50.908,19.972
TrinidadandTobago,8,45.610,5.725
Martinique,6,44.230,15.974
Lebanon,19,35.680,2.775
Australia,52,34.737,2.037
Austria,295,34.491,32.765
HongKong,4,34.151,0.534
Norway,108,33.056,19.919
Venezuela,9,30.698,0.316
Syria,2,28.234,0.105
Luxembourg,52,27.551,83.066
Latvia,3,27.271,1.589
SriLanka,7,27.240,0.332
Italy,18279,26.783,302.262
Jordan,7,26.612,0.677
Slovenia,43,26.203,20.697
Senegal,2,25.707,0.120
Iceland,6,25.653,17.581
Greece,87,25.232,8.366
Zimbabwe,3,24.179,0.191
Thailand,32,23.911,0.462
Switzerland,948,23.745,109.538
Iran,4110,22.131,48.908
Armenia,10,21.639,3.377
Estonia,24,21.288,18.094
Malaysia,67,20.399,2.076
Bulgaria,24,20.022,3.456
Uruguay,7,19.541,2.013
SouthAfrica,18,19.346,0.307
Barbados,3,18.819,10.455
CostaRica,3,18.732,0.590
Germany,2607,18.657,31.112
Tunisia,25,18.548,2.100
Spain,15447,18.402,330.369
Croatia,20,18.280,4.876
Bahrain,5,17.479,2.937
Andorra,25,17.103,323.542
Jamaica,4,16.561,1.333
Israel,86,16.497,9.939
DRC,18,16.441,0.200
Albania,23,16.354,7.985
Myanmar,3,16.168,0.056
Philippines,203,16.145,1.843
SanMarino,34,15.811,1002.030
Czechia,112,15.732,10.458
Bermuda,4,15.362,64.250
Lithuania,16,15.337,5.881
Netherlands,2396,14.927,139.827
Paraguay,6,14.354,0.837
Georgia,3,14.226,0.757
Portugal,409,14.072,40.120
Algeria,235,13.762,5.360
Cyprus,10,13.720,8.280
Mayotte,2,13.370,7.326
Montenegro,2,13.100,3.183
SaintMartin,2,12.949,51.750
BurkinaFaso,24,12.664,1.138
Total:,95722,12.602,12.278
Ecuador,272,12.502,15.394
NewZealand,2,12.417,0.415
BosniaandHerzegovina,35,12.337,10.688
Belgium,2523,12.173,217.732
Sweden,793,12.148,78.511
Argentina,79,12.021,1.752
Denmark,237,11.969,40.923
Sudan,2,11.967,0.040
Iraq,69,11.919,1.736
Kenya,7,11.808,0.114
Nigeria,7,11.665,0.024
Ireland,263,11.263,53.248
NorthMacedonia,30,11.206,14.389
Honduras,23,11.153,2.347
ChannelIslands,8,10.974,46.006
Slovakia,2,10.946,0.365
Hungary,66,10.711,6.802
Cameroon,12,10.643,0.448
DominicanRepublic,118,10.627,10.901
Chile,57,10.350,2.978
Ethiopia,2,10.323,0.018
Guyana,6,10.206,7.622
SaudiArabia,44,10.161,1.258
Finland,42,10.149,7.578
Romania,248,9.878,12.872
Indonesia,280,9.595,1.020
Haiti,2,9.498,0.200
Malta,2,9.480,4.528
Pakistan,65,9.434,0.290
Canada,509,9.374,13.482
Kazakhstan,8,9.318,0.430
Mauritius,7,9.266,5.506
UK,7978,9.093,117.567
Poland,174,9.074,4.588
Bahamas,8,9.060,20.293
Singapore,7,8.999,1.195
USA,16691,8.967,50.440
Afghanistan,15,8.924,0.372
Egypt,118,8.900,1.181
Colombia,69,8.630,1.366
Ukraine,57,8.541,1.295
Morocco,97,8.212,2.612
Oman,3,8.151,0.584
Togo,3,8.065,0.370
France,12210,8.028,187.066
Ghana,6,7.930,0.190
Panama,66,7.780,15.301
SintMaarten,6,7.754,139.953
Mali,7,7.575,0.378
Japan,99,7.544,0.775
Cuba,15,7.471,1.311
Serbia,66,7.308,7.551
Brazil,954,6.982,4.469
Turkey,908,6.896,10.759
Bolivia,19,6.851,1.631
IvoryCoast,3,6.821,0.115
Azerbaijan,9,6.581,0.884
AntiguaandBarbuda,2,6.493,20.421
Kyrgyzstan,4,6.324,0.614
Moldova,29,6.222,7.199
Qatar,6,6.118,2.083
ElSalvador,6,6.019,0.932
Mexico,194,5.891,1.522
UAE,14,5.635,1.414
Angola,2,5.609,0.063
Russia,76,5.435,0.518
Guatemala,3,5.250,0.167
Uzbekistan,3,5.153,0.088
India,227,5.038,0.169
Congo,5,4.836,0.917
Peru,138,4.069,4.175
Niger,11,3.949,0.456
Belarus,16,3.362,1.690
Liberia,4,3.261,0.774
Bangladesh,21,2.874,0.127
