2020/03/25 10:34:56 UTC
Country,Total deaths,Td,Deaths/Mil.
S.Korea,126,58.774,2.455
Japan,43,17.148,0.324
Iran,1934,13.589,22.995
Denmark,32,11.865,5.531
Bahrain,3,11.284,1.760
SanMarino,21,10.735,618.882
Slovenia,4,9.371,1.925
Greece,20,8.435,1.911
Sweden,40,8.420,3.967
Singapore,2,8.392,0.341
Norway,12,8.165,2.215
Egypt,20,7.472,0.199
Iraq,27,7.398,0.684
Italy,6820,7.339,112.786
Malaysia,16,6.733,0.493
Albania,5,6.605,1.748
Cyprus,3,6.386,2.492
HongKong,4,6.385,0.537
Taiwan,2,6.300,0.083
UAE,2,6.173,0.202
Bulgaria,3,5.624,0.427
Lebanon,4,5.566,0.591
France,1100,5.435,16.867
CostaRica,2,5.151,0.395
Iceland,2,5.094,5.861
Czechia,3,4.940,0.280
Germany,159,4.929,1.899
Netherlands,276,4.865,16.083
Philippines,35,4.827,0.317
Bangladesh,4,4.736,0.021
Spain,2991,4.636,64.004
Peru,7,4.604,0.219
Belgium,122,4.598,10.517
Indonesia,55,4.387,0.241
Romania,12,4.346,0.620
UK,422,4.318,6.217
Poland,10,4.241,0.266
Morocco,5,4.231,0.147
Pakistan,7,4.210,0.029
Switzerland,122,4.205,14.094
Austria,28,4.161,3.111
Hungary,9,4.145,0.914
India,11,4.018,0.008
Paraguay,3,4.000,0.405
Serbia,3,3.961,0.347
Algeria,19,3.856,0.432
Portugal,33,3.725,3.241
Chile,2,3.583,0.104
Thailand,4,3.564,0.058
Tunisia,4,3.544,0.351
Mexico,4,3.535,0.033
Colombia,3,3.460,0.056
Australia,8,3.438,0.314
NorthMacedonia,2,3.365,0.959
Canada,26,3.350,0.689
BosniaandHerzegovina,3,3.322,0.911
Israel,3,3.247,0.347
Ireland,7,3.202,1.417
Argentina,6,3.054,0.140
Panama,6,2.960,1.395
Luxembourg,8,2.873,12.783
BurkinaFaso,4,2.788,0.175
Brazil,46,2.787,0.225
Lithuania,2,2.629,0.737
Ukraine,3,2.619,0.059
DRC,2,2.608,0.022
USA,782,2.570,2.366
Ecuador,27,2.497,1.522
Ghana,2,2.397,0.075
PuertoRico,2,2.362,0.718
Turkey,44,2.126,0.517
Mauritius,2,1.839,1.571
DominicanRepublic,6,1.798,0.558
