2020/06/15 04:04:35 UTC
Continent,Country,Total deaths,Td,Deaths/Mil.
Europe,San Marino,42,238.088,1237.911
Europe,Belgium,9655,360.287,833.306
Europe,Andorra,51,4136.355,660.130
Europe,UK,41698,145.643,614.431
Europe,Spain,27136,591.338,580.377
Europe,Italy,34345,575.108,567.951
Europe,Sweden,4874,33.895,482.735
Europe,France,29407,232.791,450.588
North America,USA,117853,65.265,356.152
Europe,Netherlands,6059,193.343,353.606
Europe,Ireland,1706,1201.209,345.677
Europe,Channel Islands,48,1368.271,276.191
Europe,Switzerland,1938,990.866,224.025
South America,Ecuador,3896,60.014,221.005
North America,Canada,8146,152.781,215.881
South America,Brazil,43389,21.419,204.176
South America,Peru,6688,31.065,202.967
Europe,Luxembourg,110,634.596,175.865
South America,Chile,3323,18.535,173.897
Europe,Portugal,1517,86.696,148.764
North America,Bermuda,9,686.559,144.507
North America,Mexico,17141,18.918,132.961
Africa,Mayotte,29,48.447,106.434
Europe,Germany,8870,502.889,105.870
Asia,Iran,8837,55.692,105.284
Europe,Denmark,597,239.038,103.066
North America,Panama,437,16.651,101.364
Europe,Moldova,406,25.420,100.635
Asia,Armenia,269,20.341,90.786
Europe,North Macedonia,188,16.530,90.223
North America,Saint Martin,3,201.350,77.643
Europe,Austria,677,398.600,75.183
Europe,Romania,1410,67.769,73.259
Asia,Kuwait,296,40.326,69.361
Europe,Finland,326,277.801,58.831
Europe,Hungary,562,321.222,58.147
Asia,Turkey,4807,104.231,57.013
All,Total:,435496,40.196,55.872
All,World,435496,40.196,55.867
Africa,Sao Tome and Principe,12,19.142,54.808
North America,Dominican Republic,592,30.649,54.606
Europe,Slovenia,109,722.950,52.422
South America,Bolivia,611,15.001,52.365
Europe,Estonia,69,279.127,52.004
Europe,Bosnia and Herzegovina,163,46.441,49.694
Europe,Russia,6948,39.399,47.615
Europe,Norway,242,496.116,44.665
Africa,Djibouti,43,81.520,43.549
North America,Guadeloupe,14,116.085,34.959
Europe,Poland,1247,47.908,32.965
South America,Colombia,1667,18.588,32.791
Asia,Israel,300,75.111,32.621
Europe,Belarus,308,46.545,32.596
North America,Honduras,312,13.328,31.524
Europe,Czechia,329,120.378,30.721
Europe,Iceland,10,2924.965,29.315
Asia,UAE,289,56.407,29.239
Europe,Serbia,254,120.203,29.073
Asia,Saudi Arabia,972,21.631,27.939
Europe,Lithuania,75,156.421,27.531
Europe,Croatia,107,2182.928,26.037
Asia,Qatar,73,33.237,25.999
Europe,Bulgaria,174,25.852,25.016
Africa,South Africa,1480,13.046,24.977
Asia,Bahrain,42,23.019,24.734
North America,Barbados,7,114.006,24.354
