2020/08/14 01:31:59 UTC
Continent,Country,Total deaths,Td,Deaths/Mil.
Europe,Belgium,9900,98.640,853.803
Europe,Andorra,53,126.203,685.812
South America,Peru,21713,53.603,657.459
Europe,Spain,28605,70.473,611.793
Europe,UK,41347,266.380,608.746
Europe,Italy,35231,401.347,582.865
Europe,Sweden,5776,213.402,571.524
South America,Chile,10299,135.548,538.210
North America,USA,170415,66.065,514.486
South America,Brazil,105564,47.748,496.209
Europe,France,30388,71.523,465.476
North America,Mexico,55293,54.525,428.349
North America,Panama,1722,51.694,398.374
North America,Sint Maarten,17,14.148,395.935
Europe,Netherlands,6165,67.882,359.702
Europe,Ireland,1774,232.144,358.832
South America,Ecuador,6010,58.668,340.031
South America,Bolivia,3827,50.876,327.347
South America,Colombia,14145,25.157,277.647
Asia,Armenia,809,162.882,272.953
Europe,Channel Islands,47,485.199,269.997
Europe,North Macedonia,532,60.126,255.345
North America,Canada,9015,217.629,238.622
Europe,Switzerland,1991,137.699,229.852
Asia,Iran,19162,98.242,227.785
Asia,Kyrgyzstan,1487,80.233,227.491
Europe,Moldova,878,54.932,217.727
Europe,Luxembourg,122,118.743,194.524
Africa,South Africa,11270,77.695,189.747
Europe,Portugal,1770,172.288,173.635
South America,French Guiana,51,117.038,170.267
North America,Honduras,1533,78.902,154.507
Europe,Romania,2860,34.524,148.771
North America,Bermuda,9,383.305,144.566
Africa,Mayotte,39,194.103,142.571
Asia,Iraq,5641,31.180,139.894
Europe,Bosnia and Herzegovina,458,38.728,139.717
North America,Dominican Republic,1393,58.676,128.268
North America,Guatemala,2296,46.733,127.894
South America,Argentina,5362,25.475,118.516
Europe,Montenegro,73,47.172,116.228
Asia,Kuwait,489,78.929,114.310
Europe,Germany,9281,150.338,110.736
Asia,Oman,551,217.831,107.595
Europe,Denmark,621,78.847,107.187
Europe,Russia,15384,120.368,105.412
North America,Saint Martin,4,8.798,103.261
Europe,Monaco,4,34.290,101.833
Asia,Bahrain,167,75.752,97.787
All,Total:,753390,53.811,96.655
