2020/05/26 00:16:27 UTC
Country,Total deaths,Td,Deaths/Mil.
All,World,347564,35.132,44.578
All,Total:,347564,35.132,44.591
North America,USA,99805,47.523,301.717
Europe,UK,36914,83.304,543.992
Europe,Italy,32877,258.974,543.669
Europe,France,28432,291.975,435.629
Europe,Spain,26837,316.906,574.020
South America,Brazil,23473,11.471,110.510
Europe,Belgium,9312,153.604,803.851
Europe,Germany,8428,246.698,100.601
Asia,Iran,7451,41.397,88.834
North America,Mexico,7394,14.601,57.432
North America,Canada,6545,51.587,173.569
Europe,Netherlands,5830,166.658,340.345
Asia,China,4634,12986.146,3.239
Asia,Turkey,4369,103.596,51.853
Asia,India,4172,13.191,3.022
Europe,Sweden,4029,44.907,399.174
Europe,Russia,3633,24.824,24.897
South America,Peru,3629,16.427,110.235
South America,Ecuador,3203,40.960,181.865
Europe,Switzerland,1913,998.784,221.190
Europe,Ireland,1606,238.199,325.583
Asia,Indonesia,1391,20.767,5.075
Europe,Portugal,1330,92.160,130.417
Europe,Romania,1205,68.684,62.613
Asia,Pakistan,1167,16.678,5.302
Europe,Poland,1007,35.740,26.582
Asia,Philippines,873,40.922,7.987
Asia,Japan,830,269.362,6.558
Africa,Egypt,783,14.191,7.670
South America,Chile,761,10.234,39.841
South America,Colombia,750,14.081,14.740
Europe,Austria,641,294.781,71.196
Europe,Ukraine,623,36.730,14.252
Africa,Algeria,609,29.194,13.895
Europe,Denmark,563,129.421,97.253
Asia,Bangladesh,501,12.151,3.041
Europe,Hungary,491,80.012,50.852
Africa,SouthAfrica,481,11.550,8.127
South America,Argentina,467,10.830,10.355
North America,DominicanRepublic,460,28.653,42.451
Asia,SaudiArabia,399,18.264,11.480
Europe,Czechia,317,89.506,29.615
North America,Panama,310,31.920,71.963
Europe,Finland,308,143.764,55.588
Asia,Israel,281,889.812,30.545
Asia,S.Korea,267,383.185,5.218
Europe,Moldova,261,31.881,64.675
South America,Bolivia,250,11.374,21.435
Asia,UAE,248,21.523,25.105
Europe,Serbia,239,107.493,27.353
Europe,Norway,235,376.843,43.381
Africa,Nigeria,233,16.013,1.126
Asia,Afghanistan,219,10.609,5.645
Europe,Belarus,204,24.918,21.590
Africa,Morocco,200,60.551,5.417
North America,Honduras,180,12.110,18.182
Europe,Greece,172,301.558,16.472
Asia,Kuwait,165,14.421,38.698
Africa,Cameroon,165,10.683,6.242
Africa,Sudan,165,12.499,3.758
Asia,Iraq,163,18.315,4.047
Europe,BosniaandHerzegovina,146,112.007,44.480
Europe,Bulgaria,130,57.161,18.701
Asia,Malaysia,115,73.151,3.551
Europe,NorthMacedonia,113,50.828,54.211
Europe,Luxembourg,110,418.747,176.033
Europe,Slovenia,107,2373.451,51.497
Australia/Oceania,Australia,102,593.032,3.998
Europe,Croatia,100,678.068,24.332
Asia,Armenia,87,12.488,29.367
North America,Cuba,82,140.695,7.244
Africa,DRC,67,12.096,0.758
Africa,Mali,67,25.271,3.290
Africa,Somalia,66,32.535,4.181
Europe,Estonia,65,218.818,48.999
Europe,Lithuania,63,87.700,23.119
Africa,Niger,62,95.730,2.543
Africa,Chad,61,17.302,3.729
North America,Guatemala,58,8.327,3.235
Asia,Thailand,57,1339.379,0.824
Africa,Kenya,52,14.119,0.970
Africa,BurkinaFaso,52,109.692,2.500
Asia,Azerbaijan,51,20.923,5.039
Europe,Andorra,51,1848.622,660.193
Africa,Tunisia,48,361.817,4.065
Asia,Tajikistan,46,8.310,4.837
Europe,ChannelIslands,45,540.027,259.052
Asia,Yemen,44,8.100,1.511
Europe,SanMarino,42,266.854,1238.054
Africa,SierraLeone,42,13.944,5.257
Asia,Oman,37,13.193,7.267
Asia,Kazakhstan,35,17.256,1.867
Africa,Senegal,35,23.406,2.091
North America,ElSalvador,35,14.317,5.401
Africa,Ghana,32,28.290,1.034
Europe,Albania,32,84.541,11.124
Africa,IvoryCoast,30,34.959,1.139
Europe,Slovakia,28,455.783,5.133
North America,Haiti,27,6.536,2.367
Asia,Qatar,26,16.645,9.041
