2020/04/07 10:51:10 UTC
Country,Total deaths,Td,Deaths/Mil.
China,3331,1784.082,2.323
S.Korea,192,89.527,3.754
Taiwan,5,31.296,0.213
Martinique,4,29.362,10.649
Lebanon,19,28.787,2.774
SanMarino,32,26.095,943.134
TrinidadandTobago,8,25.802,5.714
Guadeloupe,7,24.471,17.475
Venezuela,7,24.179,0.255
Austria,243,23.650,26.985
SouthAfrica,12,22.051,0.199
Italy,16523,21.520,273.250
SriLanka,6,21.085,0.267
Norway,78,20.600,14.387
Slovenia,30,20.097,14.427
Jordan,6,20.054,0.585
Senegal,2,18.972,0.115
Australia,46,18.751,1.806
Uruguay,6,18.665,1.720
Luxembourg,41,18.210,65.502
HongKong,4,17.922,0.534
Switzerland,787,17.510,90.925
Bahrain,4,16.866,2.349
Greece,79,16.766,7.562
CostaRica,2,16.337,0.394
Thailand,27,15.497,0.383
Iceland,6,15.194,17.581
Latvia,2,15.171,1.062
BurkinaFaso,18,14.587,0.841
Andorra,21,14.535,271.800
Iran,3872,14.324,46.089
Croatia,16,14.137,3.902
Bulgaria,22,13.948,3.154
Malaysia,63,13.493,1.939
Germany,1810,13.256,21.606
Bermuda,2,13.195,32.103
Spain,13798,12.711,295.089
Slovakia,2,12.570,0.367
Czechia,80,12.327,7.473
Singapore,6,12.273,1.025
Iraq,64,12.258,1.614
Netherlands,1867,12.108,108.924
Estonia,21,11.199,15.828
Portugal,311,10.667,30.490
Albania,22,10.664,7.640
Total:,75901,10.421,9.735
Armenia,8,10.277,2.701
Sweden,477,9.996,47.263
Finland,27,9.960,4.878
Lithuania,15,9.823,5.506
Jamaica,3,9.822,1.017
DRC,18,9.774,0.224
Tunisia,22,9.731,1.846
DominicanRepublic,86,9.709,7.951
Ireland,174,9.595,35.228
Hungary,47,9.567,4.890
Ecuador,191,9.431,10.807
Mali,5,9.368,0.213
Israel,59,9.343,6.813
Argentina,53,9.296,1.172
Togo,3,9.085,0.362
Mauritius,7,9.081,5.508
NorthMacedonia,23,8.829,11.056
Belgium,2035,8.785,175.589
Denmark,187,8.755,32.269
Colombia,46,8.734,0.903
Mayotte,2,8.718,7.329
Chile,37,8.595,1.936
SaudiArabia,38,8.577,1.091
Nigeria,5,8.557,0.021
Barbados,2,8.543,6.967
Paraguay,5,8.504,0.696
BosniaandHerzegovina,33,8.486,10.069
Georgia,2,8.475,0.503
Cyprus,9,8.458,7.452
Ghana,5,8.393,0.157
Indonesia,221,8.319,0.807
Philippines,177,8.207,1.599
Bolivia,14,8.154,1.227
Egypt,85,7.805,0.836
France,8911,7.685,136.561
Morocco,83,7.588,2.255
Syria,2,7.559,0.105
IvoryCoast,3,7.423,0.111
Oman,2,7.366,0.394
Guatemala,3,7.280,0.162
Cuba,9,7.256,0.793
Panama,55,7.246,12.755
Canada,323,7.212,8.566
Poland,111,7.204,2.939
Romania,182,7.170,9.477
Algeria,173,7.064,3.890
USA,10943,7.036,33.069
Kazakhstan,6,7.015,0.315
Japan,92,7.000,0.730
Ethiopia,2,7.000,0.019
Sudan,2,7.000,0.043
UK,5373,6.750,79.125
Pakistan,54,6.687,0.243
Kyrgyzstan,4,6.414,0.614
SaintMartin,2,6.404,51.750
Brazil,566,6.374,2.682
Azerbaijan,7,6.335,0.688
Honduras,22,6.289,2.236
Montenegro,2,6.180,3.188
Mexico,125,6.052,0.974
Turkey,649,6.039,7.689
Ukraine,45,5.929,1.016
Angola,2,5.869,0.062
Qatar,4,5.691,1.389
Bahamas,5,5.659,12.727
Congo,5,5.627,0.889
ChannelIslands,7,5.626,40.260
Peru,92,5.530,2.802
Afghanistan,11,5.462,0.286
ElSalvador,4,5.446,0.615
Serbia,58,5.428,6.644
Guyana,5,5.112,6.290
Kenya,6,4.926,0.114
Moldova,21,4.825,5.201
Uzbekistan,2,4.806,0.059
UAE,11,4.256,1.113
Russia,58,4.163,0.395
Bangladesh,17,4.154,0.104
Cameroon,9,3.956,0.342
India,137,3.893,0.113
MSZaandam,2,3.226,0.667
Belarus,13,3.177,1.374
Liberia,3,3.150,0.643
SintMaarten,6,2.667,139.946
Niger,10,2.168,0.395
