2020/03/29 08:04:20 UTC
Country,Total deaths,Td,Deaths/Mil.
S.Korea,152,65.324,2.966
SanMarino,22,19.655,648.411
Bahrain,4,13.467,2.353
TrinidadandTobago,3,11.588,2.132
Japan,52,10.928,0.399
Italy,10023,10.854,165.728
Denmark,65,10.640,11.222
Iran,2517,9.852,29.998
Slovenia,9,9.664,4.329
Lebanon,8,9.559,1.165
Iceland,2,9.191,5.861
Venezuela,2,9.144,0.067
Greece,32,9.141,3.076
Singapore,3,8.560,0.512
Taiwan,2,8.554,0.087
HongKong,4,8.527,0.536
Malaysia,27,8.444,0.838
Bangladesh,5,8.433,0.031
Norway,23,8.401,4.244
Sweden,105,8.373,10.387
Guadeloupe,2,8.092,5.000
Bulgaria,7,8.051,1.015
Peru,16,7.898,0.477
Switzerland,264,7.665,30.496
Cyprus,5,7.659,4.134
Finland,9,7.290,1.626
Egypt,36,7.215,0.375
NorthMacedonia,4,6.558,1.925
DRC,6,6.275,0.065
Iraq,42,6.257,1.079
Armenia,3,6.206,1.012
CostaRica,2,6.149,0.393
Albania,10,6.107,3.452
Indonesia,102,5.993,0.353
Algeria,29,5.955,0.639
Cameroon,2,5.903,0.066
Luxembourg,18,5.842,28.755
Ecuador,48,5.794,2.712
Thailand,7,5.774,0.101
Netherlands,639,5.759,37.311
Germany,433,5.748,5.171
France,2314,5.691,35.472
SaudiArabia,4,5.667,0.116
Pakistan,13,5.644,0.060
Czechia,13,5.602,1.216
Moldova,2,5.396,0.494
India,25,5.313,0.018
Austria,68,5.284,7.547
Spain,5982,5.161,127.914
Croatia,5,5.106,1.218
Colombia,6,5.014,0.118
Ireland,36,4.949,7.289
Belgium,353,4.911,30.454
Andorra,3,4.839,38.825
Poland,19,4.816,0.498
Afghanistan,4,4.796,0.109
BurkinaFaso,11,4.779,0.531
Azerbaijan,4,4.712,0.396
Philippines,68,4.666,0.633
Australia,16,4.509,0.629
BosniaandHerzegovina,6,4.475,1.835
Serbia,10,4.459,1.138
UK,1019,4.407,15.027
Chile,6,4.389,0.314
UAE,2,4.340,0.201
Uzbekistan,2,4.297,0.060
Hungary,13,4.271,1.338
Brazil,114,4.139,0.526
Portugal,100,4.137,9.807
Argentina,19,4.053,0.408
Romania,37,4.010,1.911
Mexico,16,3.985,0.132
Lithuania,7,3.977,2.579
Cuba,3,3.965,0.277
Russia,4,3.923,0.028
DominicanRepublic,28,3.822,2.570
Israel,12,3.781,1.388
Panama,17,3.726,3.943
Tunisia,8,3.703,0.691
USA,2229,3.616,6.735
Canada,60,3.522,1.592
Morocco,26,3.494,0.714
Turkey,108,2.711,1.284
Ukraine,9,2.220,0.215
