2020/04/12 00:16:52 UTC
Country,Total deaths,Td,Deaths/Mil.
China,3339,1397.708,2.322
S.Korea,211,206.821,4.107
Zambia,2,191.645,0.100
Martinique,6,122.902,15.987
Taiwan,6,82.461,0.249
Guadeloupe,8,74.641,19.972
TrinidadandTobago,8,65.472,5.714
Venezuela,9,50.604,0.309
SaintMartin,2,49.289,51.750
Jordan,7,48.885,0.680
Australia,56,47.179,2.195
HongKong,4,41.282,0.535
SriLanka,7,41.195,0.318
Norway,119,40.596,21.947
Iceland,8,37.892,23.446
Palestine,2,35.765,0.396
Austria,337,35.688,37.420
Thailand,35,32.521,0.500
Luxembourg,62,31.559,99.048
Lebanon,20,30.155,2.940
Armenia,13,29.866,4.383
Italy,19468,29.185,321.929
Latvia,3,29.020,1.590
Estonia,24,28.070,18.092
Switzerland,1036,27.905,119.705
Slovenia,50,27.682,24.032
Tunisia,28,27.445,2.371
Greece,93,26.683,8.938
Albania,23,26.680,7.968
Andorra,26,26.661,336.486
Iran,4357,26.287,51.889
Barbados,4,24.990,13.941
SouthAfrica,25,23.872,0.419
Montenegro,2,23.533,3.186
Uruguay,7,22.988,2.012
Malaysia,73,22.810,2.256
Bulgaria,28,22.156,4.024
Spain,16606,21.999,355.187
Senegal,2,21.570,0.122
Germany,2871,21.406,34.259
Jamaica,4,21.396,1.333
Cameroon,12,20.884,0.454
NewZealand,4,20.798,0.829
Lithuania,23,20.633,8.451
CostaRica,3,20.238,0.588
Israel,101,20.012,11.667
Paraguay,6,19.727,0.857
Bermuda,4,18.641,64.250
Croatia,21,18.614,5.120
Czechia,129,18.540,12.043
Syria,2,17.680,0.080
Congo,5,16.866,0.917
SanMarino,35,16.649,1031.517
Kenya,7,16.367,0.147
Philippines,247,15.625,2.231
Netherlands,2643,15.499,154.273
NorthMacedonia,34,15.435,16.329
Iraq,72,15.360,1.803
Denmark,260,15.327,44.880
Cyprus,10,15.025,8.279
Algeria,275,14.978,6.329
Georgia,3,14.708,0.756
AntiguaandBarbuda,2,14.420,20.381
BurkinaFaso,27,14.332,1.283
Mauritius,9,14.261,7.082
World,108766,14.153,13.940
Total:,108766,14.153,13.952
Portugal,470,13.906,46.097
Nigeria,10,13.847,0.063
Belgium,3346,13.757,288.765
France,13832,13.272,211.874
BosniaandHerzegovina,37,13.144,11.264
DRC,20,13.106,0.179
ChannelIslands,9,12.973,51.767
Tanzania,3,12.949,0.047
Honduras,24,12.759,2.449
Mayotte,3,12.759,10.990
Argentina,89,12.457,1.953
Kazakhstan,10,12.352,0.532
Bahrain,6,12.256,3.525
Sweden,887,12.245,87.817
Slovakia,2,11.946,0.365
Finland,49,11.821,8.839
Canada,653,11.742,17.307
Chile,73,11.082,3.815
Poland,208,11.080,5.498
Romania,291,11.068,15.109
Zimbabwe,3,10.982,0.193
Morocco,111,10.902,3.017
Haiti,2,10.735,0.182
DominicanRepublic,135,10.591,12.428
Sudan,2,10.559,0.042
Pakistan,86,10.502,0.395
Afghanistan,18,10.459,0.454
USA,20573,10.295,62.162
Ethiopia,3,10.260,0.026
Malta,3,9.931,6.795
Bahamas,8,9.774,20.348
UK,9875,9.662,145.517
Egypt,146,9.654,1.431
SaudiArabia,52,9.363,1.496
Indonesia,327,9.244,1.192
Qatar,6,9.136,2.083
Togo,3,8.878,0.355
Bolivia,20,8.656,1.745
Singapore,8,8.615,1.368
Serbia,74,8.485,8.473
IsleofMan,2,8.419,23.522
Hungary,85,8.356,8.824
Ireland,320,8.352,64.803
Panama,79,8.289,18.321
Moldova,30,8.212,7.442
Myanmar,3,8.181,0.055
Azerbaijan,11,8.165,1.081
Colombia,100,8.071,1.956
Oman,3,8.013,0.588
Guyana,6,7.719,7.600
Angola,2,7.559,0.063
ElSalvador,6,7.539,0.915
Ghana,8,7.519,0.255
Japan,99,7.480,0.775
Ukraine,73,7.440,1.657
Turkey,1101,7.396,13.064
Mali,7,7.360,0.322
Cuba,16,7.336,1.419
Brazil,1140,7.143,5.384
Ecuador,315,7.049,17.840
SintMaarten,9,7.000,209.880
Mexico,233,6.834,1.818
IvoryCoast,4,6.796,0.150
UAE,20,6.634,2.024
Uzbekistan,4,6.007,0.120
Guatemala,3,5.997,0.175
Kyrgyzstan,5,5.807,0.767
India,288,5.668,0.205
Russia,106,5.248,0.726
Belize,2,5.078,5.077
Niger,11,4.943,0.448
Malawi,2,4.417,0.100
Peru,181,4.414,5.498
Djibouti,2,4.206,2.021
Liberia,5,3.714,0.938
Belarus,23,3.525,2.438
Bangladesh,30,2.853,0.187
