2020/05/16 03:53:51 UTC
Country,Total deaths,Td,Deaths/Mil.
Iceland,10,8740.932,29.329
China,4633,7450.023,3.240
NewZealand,21,1208.963,4.360
Tunisia,45,1001.942,3.826
Guadeloupe,13,749.636,32.458
Thailand,56,696.495,0.796
ChannelIslands,43,663.512,247.583
HongKong,4,636.219,0.536
Israel,266,552.676,30.803
Switzerland,1878,479.833,217.194
Slovenia,103,471.451,49.567
Monaco,4,463.365,102.042
Andorra,49,407.835,634.296
Luxembourg,104,363.617,166.485
IsleofMan,24,321.684,282.395
Australia,98,313.624,3.845
Slovakia,27,284.807,4.944
Austria,628,280.760,69.782
S.Korea,262,269.404,5.104
Norway,232,265.210,42.849
Estonia,63,257.223,47.482
France,27529,251.715,421.893
Cyprus,17,229.952,14.086
Barbados,7,203.776,24.376
SaintMartin,3,186.793,77.769
Croatia,95,174.304,23.130
Myanmar,6,174.177,0.099
Germany,8001,164.359,95.539
Italy,31610,159.696,522.680
Martinique,14,152.826,37.333
Bermuda,9,145.547,144.443
Netherlands,5643,131.023,329.426
Japan,713,122.745,5.633
Czechia,295,121.906,27.549
Jamaica,9,115.623,3.047
Latvia,19,115.219,10.068
Bahamas,11,114.006,27.958
Greece,160,112.130,15.317
SanMarino,41,106.643,1208.683
Portugal,1190,103.019,116.656
BurkinaFaso,51,102.682,2.419
Malaysia,112,101.494,3.464
Serbia,225,99.868,25.738
Belgium,8959,98.251,773.362
Lithuania,54,91.092,19.820
Uruguay,19,91.018,5.477
Spain,27459,90.973,587.277
Denmark,537,88.928,92.760
Cuba,79,87.731,6.955
Ireland,1518,79.694,307.896
Hungary,442,78.821,45.791
Syria,3,78.416,0.180
Georgia,12,69.895,3.004
Albania,31,64.884,10.762
BosniaandHerzegovina,128,62.899,38.984
Turkey,4055,62.809,48.148
Finland,293,59.211,52.879
Malta,6,57.570,13.590
CostaRica,9,55.971,1.772
Ecuador,2594,55.175,147.312
NorthMacedonia,97,52.358,46.549
Liberia,20,50.665,3.927
Romania,1070,46.580,55.593
Niger,51,45.242,2.132
Iran,6902,44.911,82.314
Angola,2,44.109,0.042
Bulgaria,102,43.227,14.646
Lebanon,26,43.035,3.793
SriLanka,9,42.895,0.424
UK,33998,42.840,501.113
USA,88507,41.949,267.617
Canada,5562,41.790,147.524
SaoTomeandPrincipe,7,39.755,32.021
Philippines,806,37.134,7.399
Panama,266,35.054,61.764
World,308645,34.911,39.610
Total:,308645,34.911,39.596
Uzbekistan,11,34.753,0.328
Djibouti,4,34.018,4.055
Kazakhstan,34,33.504,1.811
Sweden,3646,33.465,361.267
Poland,907,32.395,23.964
Morocco,190,31.812,5.141
Jordan,9,30.371,0.876
Ukraine,476,29.602,10.877
Venezuela,10,28.873,0.349
Kyrgyzstan,14,27.450,2.155
Eswatini,2,27.240,1.726
Singapore,21,26.947,3.593
Mali,46,25.837,2.283
Moldova,202,24.904,50.069
Iraq,117,23.750,2.931
Guinea,15,23.350,1.146
Guyana,10,23.072,12.759
Algeria,536,23.016,12.290
Zimbabwe,4,22.962,0.286
DominicanRepublic,424,21.587,39.153
Kenya,45,21.165,0.864
Indonesia,1076,21.133,3.914
IvoryCoast,24,21.063,0.916
Armenia,52,20.056,17.552
UAE,210,18.493,21.268
Azerbaijan,36,18.092,3.552
Belarus,156,17.760,16.506
Russia,2418,17.336,16.568
Egypt,592,17.256,5.800
Argentina,356,16.884,7.902
Paraguay,11,16.243,1.551
EquatorialGuinea,7,16.046,5.008
Peru,2392,15.550,72.670
Cameroon,140,15.425,5.275
Somalia,53,14.943,3.343
DRC,50,14.888,0.578
Maldives,4,14.872,7.418
SaudiArabia,292,14.802,8.402
Honduras,134,14.765,13.563
Nigeria,171,14.634,0.847
Benin,2,14.395,0.165
Ghana,28,14.261,0.904
Pakistan,834,14.058,3.783
Colombia,546,13.995,10.754
Mayotte,16,13.925,58.843
CaboVerde,2,13.910,3.601
Congo,15,13.645,2.724
Mexico,4767,13.603,37.050
Oman,20,13.446,3.931
India,2753,13.358,1.986
Qatar,14,12.900,4.870
Bangladesh,298,12.888,1.812
Malawi,3,12.704,0.143
Ethiopia,5,12.390,0.052
Bahrain,12,12.348,7.087
Senegal,25,12.180,1.494
Brazil,14962,11.973,70.432
SouthAfrica,247,11.581,4.164
Chile,394,11.543,20.636
Guinea-Bissau,3,11.288,1.528
ElSalvador,25,11.181,3.864
Nicaragua,8,10.872,1.280
Bolivia,164,10.629,14.075
Afghanistan,153,10.294,3.943
Chad,48,9.734,2.916
SierraLeone,27,8.766,3.383
Sudan,91,8.516,2.085
Kuwait,96,8.381,22.522
Togo,11,8.149,1.338
Guatemala,30,8.061,1.680
Gabon,10,7.265,4.508
SouthSudan,4,7.174,0.356
Haiti,20,6.444,1.742
Tajikistan,33,6.371,3.483
Yemen,15,4.267,0.566
Mauritania,3,3.768,0.621
Zambia,7,3.554,0.385
