2020/10/21 19:28:43 UTC
Continent,Country,Total deaths,Td,Deaths/Mil.
Europe,San Marino,42,111.359,1236.992
South America,Peru,33875,208.111,1023.088
Europe,Belgium,10489,14.855,903.815
Europe,Andorra,63,27.278,814.983
Europe,Spain,34366,43.979,734.936
South America,Bolivia,8526,606.955,727.380
South America,Brazil,154906,158.474,727.188
South America,Chile,13719,231.842,715.793
South America,Ecuador,12404,146.164,699.820
North America,USA,226719,97.605,683.710
North America,Mexico,86893,115.616,671.752
Europe,UK,44158,25.952,649.421
Europe,Italy,36832,25.888,609.432
South America,Argentina,27100,46.021,597.956
North America,Panama,2585,134.874,596.278
Europe,Sweden,5929,84.034,585.969
South America,Colombia,29272,92.006,573.427
Europe,France,34048,23.536,521.271
North America,Sint Maarten,22,96.692,511.354
Europe,North Macedonia,862,35.176,413.750
Europe,Moldova,1630,73.979,404.354
Europe,Netherlands,6873,19.030,400.839
Europe,Montenegro,250,46.018,398.033
Asia,Armenia,1121,31.077,378.078
Europe,Ireland,1868,29.198,377.048
Asia,Iran,31346,80.056,371.758
North America,Bahamas,127,30.572,322.023
North America,Aruba,34,165.265,318.039
Europe,Romania,6065,32.339,315.910
Europe,Bosnia and Herzegovina,1031,35.330,314.850
Africa,South Africa,18656,288.806,313.370
North America,Guadeloupe,115,82.017,287.398
Europe,Channel Islands,48,122.902,275.303
North America,Canada,9823,57.630,259.580
North America,Honduras,2582,78.926,259.453
Asia,Iraq,10418,82.439,257.297
Asia,Israel,2291,167.768,249.083
North America,Costa Rica,1222,74.904,239.216
Europe,Switzerland,2029,16.766,233.916
South America,French Guiana,69,752.430,229.256
Asia,Oman,1137,143.440,220.987
Europe,Luxembourg,138,32.021,219.386
Europe,Portugal,2229,31.710,218.787
North America,Saint Martin,8,37.159,205.846
North America,Dominican Republic,2206,214.626,202.743
North America,Guatemala,3546,156.272,196.832
South America,Suriname,109,344.219,185.304
Asia,Bahrain,307,166.091,178.607
South America,Paraguay,1231,53.335,171.940
Europe,Russia,24952,63.219,170.951
Asia,Kyrgyzstan,1118,77.163,170.526
Asia,Kuwait,721,106.852,168.080
Africa,Cabo Verde,90,47.567,161.346
Europe,Albania,462,41.221,160.598
Europe,Czechia,1719,12.018,160.425
Africa,Mayotte,44,115.436,160.129
North America,Turks and Caicos,6,1690.931,154.341
Asia,Saudi Arabia,5235,596.225,149.668
Europe,Bulgaria,1019,22.878,146.983
All,World,1133474,71.787,145.425
All,Total:,1133474,71.787,145.415
South America,Guyana,114,77.282,144.722
North America,Bermuda,9,301.628,144.670
North America,El Salvador,933,112.658,143.610
Europe,Ukraine,5927,36.169,135.777
Europe,Hungary,1259,23.397,130.441
Europe,Germany,9988,36.859,119.094
Europe,Denmark,690,50.186,119.006
North America,Belize,45,44.051,112.562
Asia,Turkey,9513,129.713,112.430
Africa,Libya,765,40.683,110.871
Europe,Malta,46,22.421,104.099
Europe,Austria,925,28.872,102.523
Europe,Poland,3851,13.603,101.779
Africa,Eswatini,116,255.970,99.674
Europe,Belarus,941,93.759,99.598
Europe,Slovenia,200,10.213,96.196
Europe,Croatia,393,18.435,95.919
Asia,Kazakhstan,1796,678.630,95.309
Europe,Serbia,781,93.919,89.504
Asia,India,116653,90.290,84.282
Asia,Palestine,427,76.991,83.129
Africa,Morocco,3079,37.342,83.122
Asia,Qatar,225,390.713,80.133
Asia,Lebanon,536,35.712,78.638
North America,Trinidad and Tobago,98,123.169,69.958
Asia,Maldives,37,213.728,68.088
Africa,Sao Tome and Principe,15,1129.308,68.071
Europe,Finland,355,47.440,64.032
Asia,Azerbaijan,642,56.366,63.149
Africa,Tunisia,740,17.519,62.419
Africa,Djibouti,61,315.953,61.476
Asia,Philippines,6747,109.456,61.316
Africa,Egypt,6142,556.267,59.674
North America,Jamaica,174,87.410,58.680
Africa,Equatorial Guinea,83,3074.974,58.594
Australia/Oceania,French Polynesia,16,14.452,56.858
Europe,Estonia,71,87.899,53.518
Africa,Namibia,133,145.822,52.059
Europe,Norway,279,80.112,51.337
Europe,Greece,534,32.060,51.302
Europe,Monaco,2,50.519,50.857
Africa,Gambia,118,1361.740,48.427
Asia,UAE,472,61.111,47.548
Asia,Indonesia,12857,61.376,46.864
Europe,Lithuania,120,20.533,44.277
Asia,Jordan,443,13.624,43.284
Asia,Georgia,172,10.779,43.146
Africa,Algeria,1880,176.090,42.630
Asia,Afghanistan,1501,378.491,38.312
Australia/Oceania,Australia,905,1242.050,35.351
Africa,Mauritania,163,534.388,34.782
Asia,Bangladesh,5723,185.086,34.647
Europe,Iceland,11,40.917,32.170
North America,Antigua and Barbuda,3,56.734,30.566
Asia,Pakistan,6692,365.629,30.127
Asia,Nepal,791,23.645,27.000
South America,Venezuela,747,128.285,26.294
Europe,Latvia,47,19.018,25.004
North America,Barbados,7,87.314,24.342
Africa,Gabon,54,1793.633,24.095
North America,Nicaragua,155,323.073,23.304
Africa,Réunion,19,69.750,21.175
Africa,Guinea-Bissau,41,830.388,20.696
Asia,Cyprus,25,15.783,20.659
North America,Haiti,231,611.182,20.195
Asia,Yemen,597,2492.730,20.026
Africa,Lesotho,43,107.040,20.020
Africa,Senegal,321,488.608,19.031
Africa,Sudan,836,2015.429,18.945
Africa,Zambia,346,199.732,18.662
Europe,Slovakia,98,11.829,17.948
Asia,Myanmar,972,20.487,17.826
Africa,Liberia,82,477.574,16.104
