2020/06/10 21:32:21 UTC
Continent,Country,Total deaths,Td,Deaths/Mil.
Europe,San Marino,42,194.785,1237.936
Europe,Belgium,9629,324.526,831.014
Europe,Andorra,51,4131.503,660.127
Europe,UK,41128,134.410,605.985
Europe,Spain,27136,716.089,580.401
Europe,Italy,34114,591.203,564.170
Europe,Sweden,4795,35.306,474.952
Europe,France,29319,215.178,449.227
Europe,Netherlands,6042,169.881,352.692
North America,USA,115084,59.269,347.824
Europe,Ireland,1695,1017.752,343.488
Europe,Channel Islands,48,682.920,276.191
Europe,Switzerland,1936,1272.711,223.810
South America,Ecuador,3720,59.609,211.029
North America,Canada,7960,116.032,211.015
South America,Brazil,38701,19.648,182.126
South America,Peru,5903,31.388,179.191
Europe,Luxembourg,110,783.406,175.908
Europe,Portugal,1497,71.395,146.799
South America,Chile,2475,18.130,129.537
North America,Mexico,14649,19.833,113.726
Europe,Germany,8844,369.006,105.589
Africa,Mayotte,28,43.884,102.805
Europe,Denmark,593,235.533,102.403
Asia,Iran,8506,47.606,101.343
North America,Panama,403,29.373,93.495
Europe,Moldova,371,30.326,91.950
Europe,North Macedonia,164,16.171,78.734
Asia,Armenia,227,16.575,76.616
Europe,Austria,673,350.170,74.760
Europe,Romania,1360,77.193,70.646
Asia,Kuwait,275,34.280,64.451
Europe,Finland,324,262.359,58.495
Europe,Hungary,551,201.097,57.057
Asia,Turkey,4746,124.497,56.309
Africa,Sao Tome and Principe,12,20.823,54.815
All,World,416882,39.861,53.488
All,Total:,416882,39.861,53.483
Europe,Slovenia,109,653.918,52.449
Europe,Estonia,69,119.356,52.014
North America,Dominican Republic,550,33.991,50.723
Europe,Bosnia and Herzegovina,161,57.649,49.083
Europe,Norway,239,372.967,44.110
Europe,Russia,6358,36.543,43.571
South America,Bolivia,487,16.909,41.769
North America,Martinique,14,487.625,37.287
North America,Guadeloupe,14,395.436,35.000
Africa,Djibouti,34,45.974,34.443
Asia,Israel,299,88.614,32.515
Europe,Poland,1206,40.343,31.880
Europe,Czechia,330,133.625,30.818
Europe,Belarus,288,39.167,30.477
Europe,Iceland,10,8765.192,29.314
Asia,UAE,284,44.912,28.739
Europe,Serbia,251,112.468,28.728
North America,Bahamas,11,497.329,27.981
North America,Honduras,271,21.381,27.393
Europe,Lithuania,74,169.166,27.158
South America,Colombia,1372,20.883,26.965
Europe,Croatia,106,3634.979,25.828
North America,Barbados,7,114.006,24.354
Europe,Bulgaria,167,31.049,24.048
Asia,Saudi Arabia,819,23.304,23.552
Asia,Qatar,66,28.733,23.506
Africa,South Africa,1210,12.443,20.414
Europe,Malta,9,234.569,20.381
Europe,Ukraine,833,36.223,19.049
Asia,Bahrain,31,20.700,18.265
Europe,Greece,183,111.190,17.537
Africa,Algeria,732,65.279,16.687
Asia,Oman,84,14.569,16.478
North America,Guatemala,289,14.175,16.166
South America,Argentina,717,19.344,15.868
Africa,Mauritania,71,8.926,15.274
South America,Guyana,12,249.872,15.231
Asia,Cyprus,18,334.438,14.907
Asia,Maldives,8,82.547,14.818
Europe,Latvia,26,405.140,13.786
Africa,Egypt,1342,16.668,13.145
Europe,Albania,34,38.967,11.815
Asia,Iraq,426,7.640,10.613
Asia,Afghanistan,405,19.511,10.426
Asia,Pakistan,2255,14.032,10.214
Asia,Azerbaijan,102,15.682,10.068
Africa,Gabon,21,38.295,9.448
Asia,Philippines,1027,26.402,9.391
North America,El Salvador,60,25.415,9.255
Africa,Sudan,401,26.990,9.139
Africa,Cabo Verde,5,19.095,9.000
North America,Nicaragua,55,17.995,8.303
Africa,Cameroon,212,17.558,8.010
Africa,Mauritius,10,815.139,7.864
North America,Cuba,83,100.707,7.320
Asia,Japan,916,370.352,7.239
Asia,Indonesia,1959,24.867,7.193
South America,French Guiana,2,10.021,6.708
South America,Uruguay,23,225.611,6.634
Africa,Sierra Leone,50,31.190,6.262
Africa,Liberia,31,21.263,6.169
Asia,Bangladesh,1012,15.866,6.151
Africa,Guinea-Bissau,12,132.349,6.108
Asia,India,8107,17.271,5.872
Africa,Morocco,211,67.991,5.729
Asia,S. Korea,276,182.656,5.380
Africa,Somalia,85,36.400,5.373
Europe,Slovakia,28,927.342,5.132
Asia,Tajikistan,48,37.925,5.039
North America,Belize,2,46.052,5.000
North America,Haiti,56,12.805,4.909
Africa,Mali,96,26.283,4.722
Africa,Chad,72,155.439,4.426
Asia,Lebanon,30,48.553,4.388
Asia,Yemen,129,16.727,4.377
Africa,Congo,24,27.694,4.352
Asia,Singapore,25,71.398,4.275
Australia/Oceania,Australia,102,748.707,4.009
Asia,Kyrgyzstan,26,43.273,3.988
Asia,Malaysia,118,107.491,3.651
Asia,Kazakhstan,67,39.957,3.572
South America,Suriname,2,7.288,3.417
North America,Jamaica,10,193.262,3.372
Asia,Georgia,13,146.176,3.254
Asia,China,4634,16115.242,3.236
Africa,Senegal,52,29.306,3.116
Africa,Niger,65,361.098,2.669
Africa,Eswatini,3,16.202,2.585
Africa,Burkina Faso,53,615.165,2.558
North America,Costa Rica,12,20.798,2.357
Africa,Comoros,2,23.692,2.309
Africa,Nigeria,365,25.926,1.762
Africa,Guinea,23,61.111,1.756
Africa,South Sudan,19,10.140,1.694
Africa,Kenya,89,14.537,1.668
Africa,Togo,13,33.698,1.569
Africa,Ivory Coast,41,16.396,1.559
Africa,Ghana,48,27.445,1.548
South America,Paraguay,11,41.710,1.547
Africa,DRC,96,21.281,1.072
Africa,CAR,5,10.194,1.035
Asia,Jordan,9,37.024,0.886
Asia,Thailand,58,367.388,0.835
South America,Venezuela,23,13.133,0.813
Africa,Libya,5,8.017,0.724
Asia,Palestine,3,84.528,0.589
Asia,Uzbekistan,19,26.257,0.567
Africa,Zambia,10,49.989,0.542
Asia,Hong Kong,4,381.572,0.534
Asia,Nepal,15,7.576,0.516
Asia,Sri Lanka,11,65.219,0.512
Africa,Madagascar,10,19.671,0.361
Asia,Syria,6,22.920,0.355
Africa,Benin,4,21.744,0.328
Africa,Ethiopia,35,9.284,0.307
Africa,Zimbabwe,4,13.994,0.268
Africa,Malawi,4,23.160,0.211
Africa,Rwanda,2,26.736,0.155
Asia,Myanmar,6,77.769,0.121
Africa,Angola,4,17.770,0.106
Africa,Mozambique,2,12.093,0.064
