2020/03/28 21:53:27 UTC
Country,Total deaths,Td,Deaths/Mil.
China,3295,1020.697,2.307
S.Korea,144,65.272,2.811
SanMarino,22,12.303,648.411
Bahrain,4,10.901,2.353
Denmark,65,9.575,11.222
Japan,52,9.339,0.399
Iran,2517,8.966,29.998
Venezuela,2,8.774,0.071
Taiwan,2,7.889,0.085
Malaysia,27,7.204,0.838
Italy,10023,7.174,165.728
Guadeloupe,2,7.000,5.000
Bangladesh,5,7.000,0.031
Slovenia,9,6.971,4.329
Norway,23,6.945,4.242
Egypt,36,6.896,0.375
Iceland,2,6.825,5.861
HongKong,4,6.753,0.536
Sweden,105,6.624,10.387
Singapore,2,6.612,0.342
Greece,32,6.364,3.076
Lebanon,8,6.142,1.165
Switzerland,264,5.901,30.496
Finland,9,5.889,1.627
Bulgaria,6,5.733,0.870
Cyprus,5,5.578,4.134
Iraq,42,5.458,1.079
Peru,16,5.180,0.477
Indonesia,102,5.147,0.353
Albania,10,5.094,3.452
CostaRica,2,5.056,0.393
Luxembourg,18,4.826,28.755
Czechia,11,4.802,1.026
Pakistan,12,4.713,0.056
Germany,430,4.707,5.135
Uzbekistan,2,4.695,0.058
DRC,6,4.670,0.065
BosniaandHerzegovina,5,4.607,1.531
Spain,5820,4.554,124.470
France,2314,4.445,35.472
Austria,68,4.401,7.549
Thailand,6,4.378,0.087
Paraguay,3,4.275,0.429
NorthMacedonia,4,4.252,1.925
BurkinaFaso,11,4.133,0.531
Belgium,353,4.122,30.454
Netherlands,639,4.105,37.311
Hungary,11,4.033,1.155
UAE,2,4.020,0.201
Cameroon,2,3.993,0.066
Australia,14,3.961,0.551
India,24,3.884,0.017
SaudiArabia,4,3.876,0.116
Andorra,3,3.873,38.825
Moldova,2,3.873,0.494
Philippines,68,3.872,0.633
Mexico,12,3.845,0.100
Ireland,36,3.842,7.289
Poland,18,3.685,0.473
Colombia,6,3.601,0.118
Croatia,5,3.558,1.218
Panama,14,3.545,3.242
Romania,34,3.528,1.756
Brazil,111,3.503,0.512
Portugal,100,3.476,9.807
Israel,12,3.440,1.386
Azerbaijan,4,3.417,0.396
Ecuador,48,3.337,2.712
Tunisia,8,3.335,0.685
UK,1019,3.332,15.027
Argentina,18,3.292,0.391
Chile,6,3.276,0.314
Serbia,10,3.263,1.138
Morocco,25,3.209,0.705
Afghanistan,4,3.187,0.109
Algeria,29,3.102,0.639
SouthAfrica,2,3.035,0.034
Russia,4,3.016,0.028
Canada,55,2.968,1.460
Cuba,3,2.797,0.277
Lithuania,7,2.785,2.576
USA,1996,2.688,6.028
Ghana,5,2.421,0.177
Ukraine,9,2.245,0.202
DominicanRepublic,28,2.108,2.570
Turkey,108,2.020,1.284
