name,vmag,ra_deg,dec_deg,bv_color
HIP 76333, 3.91,233.88141398,-14.78955365, 1.007
HIP 41307, 3.91,126.41529546,-3.90636482,-0.012
HIP 18907, 3.91,60.78907003,5.98930909, 0.032
HIP 79992, 3.91,244.93519958,46.31327084,-0.151
HIP 95168, 3.92,290.41823037,-17.84725155, 0.228
HIP 104987, 3.92,318.95581976,5.2480739, 0.549
HIP 83207, 3.92,255.07252582,30.92633926,-0.018
HIP 37504, 3.93,115.45498347,-72.60613528, 1.033
HIP 54463, 3.93,167.14748181,-58.97504198, 1.225
HIP 7083, 3.93,22.81242306,-49.07307701, 0.972
HIP 2072, 3.93,6.55048418,-43.67990933, 0.175
HIP 78933, 3.93,241.70180197,-20.66913479,-0.046
HIP 21444, 3.93,69.07975243,-3.352448,-0.21
HIP 88192, 3.93,270.16131466,2.93158759, 0.029
HIP 13531, 3.93,43.564427,52.76248991, 0.758
HIP 5348, 3.94,17.0960837,-55.24583235,-0.12
HIP 37677, 3.94,115.95196716,-28.9548352, 0.160
HIP 37447, 3.94,115.31198612,-9.55108315, 1.022
HIP 42911, 3.94,131.17129209,18.15486399, 1.083
HIP 103413, 3.94,314.29338184,41.16719384, 0.027
HIP 31592, 3.95,99.17082883,-19.25570928, 1.037
HIP 9598, 3.95,30.85912643,72.42123962,-0.002
HIP 45101, 3.96,137.81986611,-62.31701587,-0.18
HIP 95241, 3.96,290.65952718,-44.45891013,-0.085
HIP 28328, 3.96,89.78662719,-42.81510761, 1.146
HIP 95347, 3.96,290.97146411,-40.61564629,-0.105
HIP 115438, 3.96,350.7429228,-20.10034505, 1.082
HIP 44248, 3.96,135.16146765,41.78344401, 0.463
HIP 19343, 3.96,62.16530527,47.71259359,-0.025
HIP 99848, 3.96,303.8679927,47.7142053, 1.451
HIP 98495, 3.97,300.14747226,-72.91018443,-0.032
HIP 35228, 3.97,109.20762844,-67.95717248, 0.760
HIP 59449, 3.97,182.9131309,-52.36841559,-0.156
HIP 110997, 3.97,337.31730866,-43.49555433, 1.022
HIP 42515, 3.97,130.02556894,-35.30830091, 0.936
HIP 20535, 3.97,66.00902233,-34.01698632, 1.468
HIP 77634, 3.97,237.7397573,-33.62710488,-0.045
HIP 112440, 3.97,341.63267663,23.56567939, 1.070
HIP 27673, 3.97,87.87246934,39.14847936, 1.132
HIP 18614, 3.98,59.74124892,35.79102701, 0.016
HIP 106481, 3.98,323.49530361,45.59206564, 0.885
HIP 50954, 3.99,156.09891874,-74.03154474, 0.369
HIP 114996, 3.99,349.35755018,-58.23592762, 0.410
HIP 9347, 3.99,30.0009367,-21.07777193, 1.554
HIP 29651, 3.99,93.71390194,-6.27472737, 1.319
HIP 65477, 3.99,201.30589832,54.98799884, 0.169
HIP 44382, 4.00,135.61166181,-66.39584369, 0.145
HIP 79374, 4.00,242.99891879,-19.46064684, 0.076
HIP 55642, 4.00,170.98070334,10.52969772, 0.423
HIP 91792, 4.01,280.75889095,-71.42772867, 1.134
HIP 80000, 4.01,244.96069832,-50.15537923, 1.080
HIP 71865, 4.01,220.49005323,-37.79342394,-0.157
HIP 35037, 4.01,108.70275679,-26.77268601,-0.15
HIP 22109, 4.01,71.37558764,-3.25462465,-0.148
HIP 34088, 4.01,106.02723079,20.57029939, 0.899
HIP 101076, 4.01,307.348879,30.36855661, 0.404
HIP 8068, 4.01,25.9150637,50.6887655,-0.098
HIP 78527, 4.01,240.4737656,58.56443739, 0.528
HIP 43409, 4.02,132.63338051,-27.71005869, 1.272
HIP 59199, 4.02,182.10313607,-24.72877993, 0.334
HIP 93429, 4.02,285.42017236,-5.73901832, 1.079
HIP 93244, 4.02,284.90578844,15.06847757, 1.082
HIP 63003, 4.03,193.64857337,-57.17789116,-0.18
HIP 88601, 4.03,271.36338682,2.50243928, 0.860
HIP 118268, 4.03,359.82750994,6.86359373, 0.419
HIP 101421, 4.03,308.30318657,11.30333217,-0.123
HIP 43103, 4.03,131.67430955,28.76000509, 1.007
HIP 10670, 4.03,34.32848216,33.84732099, 0.019
HIP 23522, 4.03,75.854572,60.44228144, 0.921
HIP 19587, 4.04,62.96638834,-6.8377787, 0.327
HIP 111497, 4.04,338.83887054,-0.11736123,-0.083
HIP 57380, 4.04,176.46487734,6.52981394, 1.501
HIP 70497, 4.04,216.30008064,51.85171354, 0.497
HIP 40702, 4.05,124.6302785,-76.91998251, 0.413
HIP 71536, 4.05,219.47187965,-49.42575765,-0.152
HIP 42884, 4.05,131.09985828,-42.64932331, 0.874
HIP 70090, 4.05,215.13949709,-37.88526711,-0.03
HIP 112716, 4.05,342.39795761,-13.59253756, 1.570
HIP 55434, 4.05,170.28436733,6.02935289,-0.058
HIP 67459, 4.05,207.36957439,15.79780583, 1.520
HIP 14632, 4.05,47.26201363,49.61350009, 0.595
HIP 59929, 4.06,184.39431802,-67.96067161, 1.603
HIP 60009, 4.06,184.609553,-64.00304555,-0.168
HIP 83153, 4.06,254.89602773,-53.16049005, 1.452
HIP 72010, 4.06,220.91451458,-35.17322549, 1.356
HIP 55705, 4.06,171.22076335,-17.68401748, 0.216
HIP 22957, 4.06,74.09300449,13.51457755, 1.158
HIP 36962, 4.06,113.98071783,26.89600343, 1.540
HIP 74824, 4.07,229.3790009,-58.80087882, 0.088
HIP 74117, 4.07,227.21095653,-45.27979406,-0.162
HIP 69701, 4.07,214.00368717,-5.99952622, 0.511
HIP 110991, 4.07,337.29269975,58.4151899, 0.778
HIP 11001, 4.08,35.43759585,-68.6594239, 0.034
HIP 46974, 4.08,143.61109601,-59.22976797,-0.013
HIP 14146, 4.08,45.59830468,-23.62433613, 0.163
HIP 53740, 4.08,164.94478664,-18.29909723, 1.079
HIP 104139, 4.08,316.48658082,-17.23271095,-0.01
HIP 33160, 4.08,103.54783633,-12.03859273, 1.418
HIP 12387, 4.08,39.87061789,0.3285168,-0.212
HIP 105502, 4.08,320.52139118,19.80435581, 1.108
HIP 3693, 4.08,11.83495908,24.26737703, 1.100
HIP 92862, 4.08,283.8336882,43.9458926, 1.397
HIP 26366, 4.09,84.22637775,9.291412, 0.951
HIP 77450, 4.09,237.18503586,18.1417793, 1.616
HIP 90568, 4.10,277.20723319,-49.07003097, 0.995
HIP 38164, 4.10,117.30957923,-46.37322729,-0.16
HIP 94160, 4.10,287.50730185,-39.34070677, 1.163
HIP 7513, 4.10,24.19990413,41.40638491, 0.536
HIP 12777, 4.10,41.04869991,49.22866639, 0.514
HIP 51839, 4.11,158.86757668,-78.60781379, 1.580
HIP 76440, 4.11,234.17994543,-66.31690469, 1.161
HIP 57439, 4.11,176.62853753,-61.17835907, 0.895
HIP 113638, 4.11,345.22030979,-52.75410562, 0.960
HIP 42312, 4.11,129.41100573,-42.98910371, 0.109
HIP 12486, 4.11,40.16638213,-39.85530905, 1.006
HIP 94114, 4.11,287.36782635,-37.90423953, 0.042
HIP 34045, 4.11,105.93955493,-15.63325876,-0.112
HIP 48356, 4.11,147.86951033,-14.84654997, 0.918
HIP 12394, 4.12,39.8967653,-68.2669476,-0.061
HIP 111043, 4.12,337.4393561,-43.74922804, 1.570
HIP 98032, 4.12,298.81532954,-41.8684135, 1.063
HIP 102978, 4.12,312.95540084,-26.91912642, 1.633
HIP 58948, 4.12,181.30279,8.73284563, 0.967
HIP 28614, 4.12,90.59579323,9.64736756, 0.170
HIP 19812, 4.12,63.72440722,48.40937312, 0.935
HIP 112405, 4.13,341.51551393,-81.38161731, 0.208
HIP 102485, 4.13,311.52402547,-25.27051682, 0.426
HIP 77853, 4.13,238.45615438,-16.7296223, 1.003
HIP 25247, 4.13,80.98681839,-7.80795569, 0.943
HIP 116771, 4.13,354.98675133,5.62735374, 0.507
HIP 30883, 4.13,97.24079361,20.2121672,-0.115
HIP 59072, 4.14,181.72022021,-64.61363898, 0.353
HIP 42313, 4.14,129.41419739,5.70379868, 0.003
HIP 16369, 4.14,52.71819576,12.93668186, 1.112
HIP 17608, 4.14,56.58150135,23.94846207,-0.051
HIP 107354, 4.14,326.16126755,25.64500284, 0.425
HIP 78159, 4.14,239.39709121,26.87802632, 1.231
HIP 76127, 4.14,233.23248309,31.35915517,-0.127
HIP 109937, 4.14,333.9923757,37.74873483, 1.447
HIP 34769, 4.15,107.96608486,-0.49278056,-0.005
HIP 85112, 4.15,260.92072033,37.14592396,-0.011
HIP 116805, 4.15,355.10184089,44.33397776,-0.071
HIP 85340, 4.16,261.59257241,-24.17502346, 0.283
HIP 78727, 4.16,,, 0.460
HIP 28734, 4.16,91.0300689,23.26363207, 0.835
HIP 36366, 4.16,112.27754045,31.78407932, 0.320
HIP 17874, 4.17,57.36367035,-36.2001125, 0.927
HIP 110003, 4.17,334.20819329,-7.78323706, 0.979
HIP 2599, 4.17,8.24994391,62.93178781, 0.130
HIP 81304, 4.18,249.09358718,-35.25535553, 1.535
HIP 111954, 4.18,340.16385653,-27.0436148,-0.105
HIP 69427, 4.18,213.22392088,-10.274044, 1.323
HIP 69732, 4.18,214.09656821,46.08791894, 0.087
HIP 109857, 4.18,333.75699582,57.04346522, 0.278
HIP 67457, 4.19,207.36146356,-34.45063035, 1.520
HIP 92043, 4.19,281.4155466,20.54712356, 0.483
HIP 113246, 4.20,343.98705005,-32.53970196, 0.952
HIP 38835, 4.20,119.21482616,-22.88014849, 0.718
HIP 25813, 4.20,82.69603301,5.94821792,-0.143
HIP 112447, 4.20,341.67267295,12.17408381, 0.502
HIP 51233, 4.20,156.97121865,36.70747818, 0.908
HIP 81126, 4.20,248.52578863,42.43689565,-0.013
HIP 105858, 4.21,321.61038385,-65.36814438, 0.494
HIP 20635, 4.21,66.34207825,22.29398098, 0.136
HIP 16228, 4.21,52.26722684,59.94033461, 0.419
HIP 101093, 4.21,307.39511383,62.99413722, 0.199
HIP 82080, 4.21,251.49233961,82.03725071, 0.897
HIP 92609, 4.22,283.05431892,-62.18756062,-0.15
HIP 38518, 4.22,118.32567862,-48.10294824,-0.13
HIP 78918, 4.22,241.64815129,-36.80221297,-0.184
HIP 17651, 4.22,56.71245432,-23.248438, 0.434
HIP 80569, 4.22,246.75599294,-18.45619698, 0.217
HIP 114724, 4.22,348.58055219,-6.0485268, 1.545
HIP 92175, 4.22,281.79365558,-4.74782871, 1.087
HIP 102453, 4.22,311.41566302,30.7196568, 1.051
HIP 92791, 4.22,283.62620294,36.89860518, 1.575
HIP 13254, 4.22,42.64547584,38.31890838, 0.343
HIP 105102, 4.22,319.35396892,39.39469016, 0.098
HIP 89908, 4.22,275.18933831,71.33772734,-0.093
HIP 81852, 4.23,250.7725818,-77.51657182, 1.060
HIP 1599, 4.23,5.00797581,-64.8776232, 0.576
HIP 93825, 4.23,286.60433158,-37.06275714, 0.523
HIP 67153, 4.23,206.42319432,-33.04336606, 0.390
HIP 68520, 4.23,210.41159648,1.54458338, 0.121
HIP 64394, 4.23,197.97051117,27.87603769, 0.572
HIP 37629, 4.23,115.82785545,28.8840717, 1.118
HIP 79101, 4.23,242.19249715,44.93481883,-0.045
HIP 107533, 4.23,326.69835794,49.3095748,-0.12
HIP 107259, 4.23,325.87689561,58.78005308, 2.242
HIP 60000, 4.24,184.58726633,-79.31226899,-0.123
HIP 11407, 4.24,36.74627081,-47.70382692,-0.136
HIP 80911, 4.24,247.84558957,-34.70432087,-0.168
HIP 12770, 4.24,41.03064356,-13.85867594,-0.122
HIP 86565, 4.24,265.35381884,-12.87517268, 0.086
HIP 114855, 4.24,348.97198728,-9.08769554, 1.107
HIP 61317, 4.24,188.43788561,41.35676779, 0.588
HIP 5372, 4.24,17.18399735,86.25711803, 1.213
HIP 5896, 4.25,18.93956391,-68.87623708, 0.480
HIP 62896, 4.25,193.35894159,-40.17881857, 0.224
HIP 23972, 4.25,77.28659571,-8.75407607,-0.187
HIP 21402, 4.25,68.91347315,10.16091706, 0.184
HIP 21476, 4.25,69.17264013,41.26485467, 1.171
HIP 41075, 4.25,125.70887544,43.18837233, 1.550
HIP 19167, 4.25,61.64606374,50.35135022,-0.011
HIP 107418, 4.25,326.36220534,61.12081043, 0.474
HIP 70692, 4.25,216.88134383,75.69593921, 1.431
HIP 19893, 4.26,64.00621426,-51.48709578, 0.312
HIP 15510, 4.26,49.97177014,-43.07154929, 0.711
HIP 86170, 4.26,264.13686148,-38.63486521, 1.075
HIP 16611, 4.26,53.44686638,-21.63281597,-0.106
HIP 8198, 4.26,26.34828629,9.15764102, 0.942
HIP 44066, 4.26,134.62165408,11.85777198, 0.141
HIP 88267, 4.26,270.37667886,21.59568814, 0.406
HIP 5434, 4.26,17.37550908,47.2418241, 0.012
HIP 108917, 4.26,330.94650782,64.62775425, 0.379
HIP 22783, 4.26,73.51254425,66.34266029,-0.008
HIP 64004, 4.27,196.72776268,-49.90621586,-0.182
HIP 74911, 4.27,229.63353586,-47.87519201,-0.086
HIP 95294, 4.27,290.8044192,-44.79964788, 0.350
HIP 115830, 4.27,351.99236589,6.37909727, 1.062
HIP 4906, 4.27,15.73606615,7.89007256, 0.952
HIP 19860, 4.27,63.88352173,8.89240989,-0.054
HIP 12828, 4.27,41.23488901,10.11421979, 0.311
HIP 21589, 4.27,69.53917371,12.51087423, 0.122
HIP 102532, 4.27,311.66465833,16.12477326, 1.042
HIP 21881, 4.27,70.56126452,22.95697545,-0.112
HIP 114131, 4.28,346.71986858,-43.52032436, 0.423
HIP 51172, 4.28,156.78814953,-31.06780228, 1.429
HIP 85423, 4.28,261.8386001,-29.86669942, 0.402
HIP 105515, 4.28,320.56157261,-16.83455521, 0.888
HIP 20711, 4.28,66.57664484,22.81369394, 0.263
HIP 109410, 4.28,332.49688603,33.17826747, 0.471
HIP 99655, 4.28,303.34917142,56.56752223, 0.114
HIP 47193, 4.28,144.27229969,81.32642085, 1.488
HIP 52154, 4.29,159.82671887,-55.60327905, 1.025
HIP 57936, 4.29,178.22733867,-33.90813014,-0.1
HIP 111188, 4.29,337.87620651,-32.34602798, 0.011
HIP 80894, 4.29,247.78497886,-16.61264015, 0.924
HIP 109139, 4.29,331.60918894,-13.86954013,-0.075
HIP 24845, 4.29,79.89385817,-13.17677698,-0.235
HIP 16852, 4.29,54.21882896,0.40283316, 0.575
HIP 116631, 4.29,354.53407969,43.2680761,-0.083
HIP 77055, 4.29,236.01443312,77.79449901, 0.038
HIP 57669, 4.30,177.42120019,-63.78848906,-0.149
HIP 70069, 4.30,215.08146975,-56.38647906, 0.082
HIP 17797, 4.30,57.14926223,-37.62012878,-0.038
HIP 4577, 4.30,14.65144118,-29.35746436,-0.154
HIP 61174, 4.30,188.01868646,-16.19586556, 0.388
HIP 100027, 4.30,304.41190045,-12.50821403, 0.928
HIP 56647, 4.30,174.23720774,-0.82385424, 0.983
HIP 42799, 4.30,130.80619315,3.39866539,-0.192
HIP 11484, 4.30,37.03965786,8.4600887,-0.053
HIP 20648, 4.30,66.37215593,17.92798917, 0.049
HIP 17531, 4.30,56.30200876,24.46737879,-0.11
HIP 53417, 4.30,163.90353339,24.74975451, 0.016
HIP 28404, 4.30,89.98375587,45.93675346, 1.701
HIP 70638, 4.31,216.73225313,-83.66785308, 1.300
HIP 42568, 4.31,130.15431317,-59.76101468,-0.117
HIP 78990, 4.31,241.85125058,-20.8686541, 0.831
HIP 101847, 4.31,309.58447294,-1.10507951, 0.949
HIP 75411, 4.31,231.12306762,37.37696091, 0.309
HIP 58758, 4.32,180.75707974,-63.31294495, 0.280
HIP 72683, 4.32,222.9096805,-43.57529383,-0.154
HIP 67669, 4.32,207.95677175,-32.99401625,-0.146
HIP 21763, 4.32,70.11039135,-19.67125686, 1.599
HIP 43067, 4.32,131.5938644,-13.54770494, 0.900
HIP 84880, 4.32,260.2068148,-12.846882, 0.037
HIP 64241, 4.32,197.49812263,17.52911621, 0.455
HIP 25945, 4.32,83.0531302,18.59424525, 2.060
HIP 46750, 4.32,142.93016816,22.96806545, 1.541
HIP 29696, 4.32,93.84473576,29.49871224, 1.021
HIP 16826, 4.32,54.12233383,48.19270068,-0.058
HIP 88866, 4.33,272.14496186,-63.66804844, 0.228
HIP 62867, 4.33,193.27906907,-48.94325313, 1.344
HIP 70576, 4.33,216.54500648,-45.37926095, 0.434
HIP 84405, 4.33,258.83869698,-26.60004896, 0.855
HIP 36284, 4.33,112.04095607,8.92550376, 1.425
HIP 89826, 4.33,274.96550503,36.06444696, 1.162
HIP 40888, 4.34,125.16203304,-77.4845764, 1.161
HIP 27100, 4.34,86.19341279,-65.7355408, 0.217
HIP 45496, 4.34,139.05042678,-57.54143764, 1.602
HIP 47175, 4.34,144.2069042,-49.3551286, 0.173
HIP 68523, 4.34,210.43121648,-45.60336989, 0.598
HIP 76552, 4.34,234.51384287,-42.56748493, 1.412
HIP 31125, 4.34,97.96403433,-23.41843727,-0.245
HIP 85355, 4.34,261.62866503,4.14034239, 1.480
HIP 107348, 4.34,326.12787716,17.35004352, 1.161
HIP 92161, 4.34,281.75509317,18.18122968, 0.148
HIP 3031, 4.34,9.63958024,29.312369, 0.871
HIP 2912, 4.34,9.22016239,33.71935227,-0.123
HIP 91971, 4.34,281.19306613,37.60505025, 0.192
HIP 111022, 4.34,337.38259473,47.70689488, 1.679
HIP 5542, 4.34,17.77471116,55.14994765, 0.170
HIP 39794, 4.35,121.98266997,-68.61713647,-0.113
HIP 90098, 4.35,275.80675239,-61.49390506, 1.462
HIP 31407, 4.35,98.74411397,-52.97563454,-0.021
HIP 107380, 4.35,326.2366159,-33.02555306,-0.053
HIP 74857, 4.35,229.45768699,-30.14866233, 1.100
HIP 43234, 4.35,132.10825351,5.83788486,-0.044
HIP 22509, 4.35,72.65300943,8.90025258, 0.010
HIP 14838, 4.35,47.90695691,19.72669777, 1.033
HIP 60742, 4.35,186.73469831,28.26861975, 1.128
HIP 94713, 4.35,289.09206426,38.13372778, 1.258
HIP 33449, 4.35,104.31916052,58.42305973, 0.850
HIP 85822, 4.35,263.05373826,86.58632924, 0.021
HIP 2484, 4.36,7.88566992,-62.95808549,-0.064
HIP 3405, 4.36,10.83851683,-57.46309763, 0.024
HIP 68862, 4.36,211.5116084,-41.17958035,-0.198
HIP 28199, 4.36,89.38421613,-35.28330688,-0.165
HIP 33347, 4.36,104.03427636,-17.05424675,-0.063
HIP 24327, 4.36,78.30785422,-12.94128833,-0.094
HIP 22701, 4.36,73.2236682,-5.45275591, 0.257
HIP 39863, 4.36,122.14857362,-2.98377649, 0.970
HIP 96468, 4.36,294.18031892,-1.28655047,-0.079
HIP 10324, 4.36,33.25004577,8.8467523, 0.878
HIP 19038, 4.36,61.17357446,22.0820679, 1.064
HIP 16335, 4.36,52.64367585,47.99517199, 1.367
HIP 53773, 4.37,165.03852431,-42.22586959, 0.116
HIP 98412, 4.37,299.93405965,-35.27624433,-0.15
HIP 29807, 4.37,94.13806399,-35.14073157, 0.978
HIP 35415, 4.37,109.67703283,-24.95438447,-0.132
HIP 154, 4.37,0.48996506,-6.01397169, 1.631
HIP 88886, 4.37,272.1895526,20.81457203,-0.164
HIP 116231, 4.38,353.2424506,-37.81835895,-0.095
HIP 115669, 4.38,351.51173897,-20.64186122, 1.460
HIP 64238, 4.38,197.48755015,-5.53892987,-0.008
HIP 99255, 4.38,302.22215174,77.71136178,-0.046
HIP 105319, 4.39,319.96618253,-53.44926434, 0.191
HIP 8837, 4.39,28.41174872,-46.30244631, 1.597
HIP 84893, 4.39,260.25087615,-21.11243499, 0.394
HIP 73620, 4.39,225.7252916,2.09127129, 1.026
HIP 39311, 4.39,120.56647202,2.33431429, 1.252
HIP 30419, 4.39,95.94207368,4.59283881, 0.215
HIP 26176, 4.39,83.70515764,9.48958528,-0.157
HIP 49637, 4.39,151.9763285,9.99766389, 1.448
HIP 82673, 4.39,253.50209743,10.16544339,-0.088
HIP 96837, 4.39,295.26222378,17.47612356, 1.041
HIP 96757, 4.39,295.02409394,18.01393839, 0.777
HIP 27913, 4.39,88.59618305,20.27641498, 0.594
HIP 17884, 4.39,57.38035594,65.52600645, 1.870
HIP 93015, 4.40,284.23766942,-67.23353511, 0.530
HIP 108431, 4.40,329.47929577,-54.9925666, 0.297
HIP 38070, 4.40,117.02156206,-25.93718054,-0.07
HIP 39906, 4.40,122.2568477,-19.24500094,-0.16
HIP 4463, 4.40,14.30178237,23.41775997, 0.940
HIP 32761, 4.41,102.46381712,-53.62249221, 0.899
HIP 70300, 4.41,215.75940538,-39.51176599,-0.185
HIP 115102, 4.41,349.70594501,-32.53183574, 1.109
HIP 115033, 4.41,349.47584844,-9.1824899,-0.144
HIP 85693, 4.41,262.68457505,26.1106045, 1.434
HIP 87998, 4.41,269.62562385,30.18926892, 0.380
HIP 34693, 4.41,107.78496505,30.24528065, 1.261
HIP 105138, 4.41,319.47944955,34.8968812,-0.103
HIP 114222, 4.41,346.97432546,75.3875815, 0.802
HIP 34922, 4.42,108.38429537,-44.64052957, 1.331
HIP 40326, 4.42,123.51202967,-40.34773028, 1.170
HIP 72571, 4.42,222.5727779,-27.96021925, 1.366
HIP 34981, 4.42,108.56340179,-26.35251617,-0.17
HIP 31700, 4.42,99.47260802,-18.23745713, 1.137
HIP 88290, 4.42,270.43828967,1.30510936, 0.046
HIP 77257, 4.42,236.61144121,7.35323973, 0.604
HIP 29038, 4.42,91.89300774,14.76852318,-0.164
HIP 53954, 4.42,165.58242155,20.17974575, 0.053
HIP 115623, 4.42,351.3444225,23.40401243, 0.617
HIP 110538, 4.42,335.89015172,52.22949951, 1.015
HIP 98688, 4.43,300.66441367,-27.70987972, 1.640
HIP 17593, 4.43,56.53542672,-12.1017353, 1.604
HIP 19849, 4.43,63.8234923,-7.64455846, 0.820
HIP 102624, 4.43,311.93432462,-5.02760303, 1.639
HIP 102281, 4.43,310.86477381,15.07468224, 0.302
HIP 100587, 4.43,305.96498335,32.19018607, 1.331
HIP 94481, 4.43,288.43953645,39.14596968,-0.15
HIP 23040, 4.43,74.32175175,53.75208289,-0.017
HIP 19921, 4.44,64.12118133,-59.30174841, 1.078
HIP 71121, 4.44,218.15451447,-50.45712132,-0.177
HIP 21770, 4.44,70.14092957,-41.86357034, 0.342
HIP 40091, 4.44,122.83958436,-39.61855304, 1.590
HIP 40706, 4.44,124.6391383,-36.65953286, 0.222
HIP 36795, 4.44,113.51335813,-22.29618077, 0.521
HIP 1170, 4.44,3.66013628,-18.93268628, 1.640
HIP 3786, 4.44,12.17039736,7.58520186, 1.500
HIP 95771, 4.44,292.17671261,24.66516482, 1.502
HIP 30060, 4.44,94.90579498,59.01090518, 0.032
HIP 52633, 4.45,161.44639899,-80.54020283,-0.188
HIP 51849, 4.45,158.89714422,-57.55763551, 1.604
HIP 44191, 4.45,135.02266724,-41.25373789, 0.646
HIP 13147, 4.45,42.27233113,-32.40628403, 0.981
HIP 80975, 4.45,248.03411079,-21.46647783, 0.130
HIP 24244, 4.45,78.07453075,-11.86914287,-0.099
HIP 55084, 4.45,169.16568371,-3.65151412, 0.210
HIP 42402, 4.45,129.68936993,3.34147477, 1.216
HIP 7884, 4.45,25.35794814,5.48760445, 1.347
HIP 96229, 4.45,293.52178228,7.37931918, 1.176
HIP 29426, 4.45,92.98498656,14.20881425,-0.18
HIP 94648, 4.45,288.8887238,73.35521457, 1.257
HIP 59173, 4.46,182.02190127,-50.66125439,-0.163
HIP 80582, 4.46,246.79603256,-47.5547359,-0.07
HIP 112948, 4.46,343.13149128,-32.87545019,-0.037
HIP 54682, 4.46,167.91452617,-22.82560642, 0.025
HIP 18255, 4.46,58.57286091,-2.95473348, 0.672
HIP 24331, 4.46,78.32283171,2.86125346, 1.166
HIP 44901, 4.46,137.21827365,51.60472728, 0.288
HIP 11569, 4.46,37.26661741,67.40238385, 0.153
HIP 44599, 4.47,136.28679299,-72.60269387, 0.607
HIP 38957, 4.47,119.56018303,-49.24492865,-0.18
HIP 57803, 4.47,177.78646511,-45.1734495, 1.283
HIP 109111, 4.47,331.52876518,-39.54304903, 1.349
HIP 30788, 4.47,97.04257272,-32.58012947,-0.169
HIP 12843, 4.47,41.27492276,-18.57265077, 0.481
HIP 73165, 4.47,224.29606996,-4.34608634, 0.318
HIP 23123, 4.47,74.63709525,1.71403506, 1.369
HIP 31216, 4.47,98.22595658,7.33297921, 0.023
HIP 104858, 4.47,318.61995883,10.00771855, 0.529
HIP 46146, 4.47,141.16366395,26.18244091, 1.222
HIP 15549, 4.47,50.08485949,29.04849835, 1.555
HIP 71284, 4.47,218.66954381,29.74480735, 0.364
HIP 47006, 4.47,143.70622878,52.05156754, 0.027
HIP 18744, 4.48,60.2241876,-62.15936923, 1.500
HIP 75323, 4.48,230.84440733,-59.32069839, 0.169
HIP 114119, 4.48,346.67003033,-23.7431168, 0.892
HIP 80343, 4.48,246.02582204,-20.03721137, 0.996
HIP 49641, 4.48,151.98456489,-0.37162786,-0.032
HIP 32578, 4.48,101.96523679,2.41218914, 1.099
HIP 113889, 4.48,345.9691938,3.82006998,-0.115
HIP 20713, 4.48,66.58613217,15.6183462, 0.262
HIP 3504, 4.48,11.18125882,48.28438262,-0.069
HIP 118322, 4.49,359.97879195,-65.57707774,-0.075
HIP 34834, 4.49,108.14058722,-46.75956448, 0.324
HIP 38455, 4.49,118.16105542,-38.86282206,-0.188
HIP 21248, 4.49,68.3776229,-29.76583186, 0.972
HIP 104234, 4.49,316.78202266,-25.00574796, 1.604
HIP 116971, 4.49,355.68035357,-14.54474243,-0.032
HIP 116928, 4.49,355.51200741,1.7804172, 0.200
HIP 32249, 4.49,100.99705857,13.22814319, 1.167
HIP 71762, 4.49,220.18150404,16.4183013,-0.002
HIP 107310, 4.49,326.03501874,28.74322228, 0.512
HIP 49593, 4.49,151.85718812,35.24469176, 0.190
HIP 96441, 4.49,294.11059344,50.22046347, 0.395
HIP 9480, 4.49,30.48979079,70.90704605, 0.164
HIP 43105, 4.50,131.67733004,-56.76979718,-0.169
HIP 27530, 4.50,87.45656999,-56.1664886, 1.075
HIP 50676, 4.50,155.22839581,-56.04322401,-0.102
HIP 109285, 4.50,332.0956383,-32.98839827, 0.054
HIP 106039, 4.50,322.18048346,-21.80716659, 0.889
HIP 104459, 4.50,317.39830336,-11.37165474, 0.926
HIP 26594, 4.50,84.79644123,4.12146667,-0.098
HIP 67275, 4.50,206.81681937,17.45677436, 0.508
HIP 57565, 4.50,176.9967765,20.21894121, 0.547
HIP 99874, 4.50,303.94232258,27.8142285, 1.258
HIP 109754, 4.50,333.46958944,39.71488928, 1.385
HIP 111944, 4.50,340.12825981,44.27628068, 1.318
HIP 110838, 4.51,336.83280453,-64.96637927,-0.029
HIP 47391, 4.51,144.83767061,-61.32810523,-0.07
HIP 102333, 4.51,311.00911122,-51.92084051, 0.278
HIP 46515, 4.51,142.31140615,-35.9513478, 1.408
HIP 106723, 4.51,324.27009487,-19.46601352,-0.18
HIP 76852, 4.51,235.38788463,19.67050566, 0.062
HIP 5586, 4.51,17.91494471,30.08972962, 1.092
HIP 1473, 4.51,4.58210555,36.7853273, 0.054
HIP 27483, 4.51,87.29358126,39.18113322, 0.949
HIP 117863, 4.51,358.59598888,57.49939052, 1.190
HIP 98702, 4.51,300.7043634,67.87344872, 1.313
HIP 65387, 4.52,201.00184737,-64.53561699, 0.822
HIP 65271, 4.52,200.65824899,-60.98835608,-0.141
HIP 89112, 4.52,272.80740093,-45.95432704, 1.009
HIP 95176, 4.52,290.43175842,-15.95500233, 0.079
HIP 69974, 4.52,214.77750771,-13.37116634, 0.128
HIP 106140, 4.52,322.48699859,23.63882922, 1.618
HIP 73745, 4.52,226.11190457,26.94765981, 1.240
HIP 13061, 4.52,41.97683942,29.24742385, 1.112
HIP 111104, 4.52,337.62192333,43.12338985,-0.086
HIP 102431, 4.52,311.33831928,57.58029799, 0.535
HIP 2487, 4.53,7.88898014,-62.96544985, 0.147
