name,vmag,ra_deg,dec_deg,bv_color
HIP 61941, 2.74,190.41667557,-1.44952231, 0.368
HIP 65109, 2.75,200.15027321,-36.71208109, 0.068
HIP 72622, 2.75,222.71990536,-16.04161047, 0.147
HIP 26241, 2.75,83.85825475,-5.90989984,-0.21
HIP 86742, 2.76,265.86823714,4.56691684, 1.168
HIP 23875, 2.78,76.96264146,-5.08626282, 0.161
HIP 84345, 2.78,258.66192687,14.39025314, 1.164
HIP 80816, 2.78,247.55525697,21.4896485, 0.947
HIP 59747, 2.79,183.78648733,-58.74890179,-0.193
HIP 85670, 2.79,262.60823708,52.30135901, 0.954
HIP 76297, 2.80,233.78525156,-41.16669497,-0.216
HIP 25606, 2.81,82.06135971,-20.75923214, 0.807
HIP 81693, 2.81,250.32282132,31.60188695, 0.650
HIP 2021, 2.82,6.41334183,-77.25503511, 0.618
HIP 81266, 2.82,248.97066423,-28.21596156,-0.206
HIP 90496, 2.82,276.99278955,-25.42124732, 1.025
HIP 77952, 2.83,238.78670013,-63.42974973, 0.315
HIP 39757, 2.83,121.88625899,-24.30443677, 0.458
HIP 1067, 2.83,3.30895828,15.18361593,-0.19
HIP 85258, 2.84,261.32498828,-55.52982397, 1.479
HIP 85792, 2.84,262.96050661,-49.87598159,-0.136
HIP 18246, 2.84,58.53299363,31.88365776, 0.271
HIP 107556, 2.85,326.75952199,-16.12656595, 0.180
HIP 63608, 2.85,195.54483557,10.95910186, 0.934
HIP 17702, 2.85,56.87110065,24.10524193,-0.086
HIP 9236, 2.86,29.69113269,-61.56992444, 0.290
HIP 97165, 2.86,296.24350878,45.13069195,-0.002
HIP 74946, 2.87,229.72787007,-68.67946723, 0.014
HIP 110130, 2.87,334.62574257,-60.25949486, 1.390
HIP 30343, 2.87,95.73996302,22.51385027, 1.621
HIP 13847, 2.88,44.5654818,-40.30473491, 0.128
HIP 94141, 2.88,287.44097404,-21.02352534, 0.377
HIP 78265, 2.89,239.71300283,-26.1140428,-0.18
HIP 36188, 2.89,111.78780121,8.28940893,-0.097
HIP 63125, 2.89,194.00767051,38.31824617,-0.115
HIP 80112, 2.90,245.29717718,-25.59275259, 0.299
HIP 106278, 2.90,322.88966951,-5.57115593, 0.828
HIP 18532, 2.90,59.46342138,40.01027315,-0.199
HIP 14328, 2.91,46.19912598,53.50645031, 0.716
HIP 48002, 2.92,146.7755734,-65.07201888, 0.273
HIP 112158, 2.93,340.75053573,30.22130866, 0.852
HIP 32768, 2.94,102.48390349,-50.61439973, 1.207
HIP 60965, 2.94,187.4665965,-16.51509397,-0.012
HIP 109074, 2.95,331.44593869,-0.31982656, 0.969
HIP 18543, 2.97,59.50720862,-13.50824471, 1.588
HIP 26451, 2.97,84.41118447,21.14259299,-0.148
HIP 47908, 2.97,146.4629267,23.77427792, 0.808
HIP 88635, 2.98,271.45218586,-30.42365007, 0.981
HIP 87073, 2.99,266.89617137,-40.12698197, 0.509
HIP 64962, 2.99,199.7302224,-23.17141246, 0.920
HIP 93747, 2.99,286.3525518,13.86370983, 0.014
HIP 82514, 3.00,252.96766195,-38.04732717,-0.2
HIP 108085, 3.00,328.48189202,-37.3648229,-0.084
HIP 10064, 3.00,32.38550383,34.98739204, 0.140
HIP 54539, 3.00,167.41608092,44.49855337, 1.144
HIP 75097, 3.00,230.1822884,71.83397308, 0.058
HIP 17358, 3.01,55.7311754,47.7876533,-0.125
HIP 30122, 3.02,95.07827982,-30.06337656,-0.16
HIP 33977, 3.02,105.75613986,-23.83330131,-0.077
HIP 59316, 3.02,182.53135773,-22.61979211, 1.326
HIP 23416, 3.03,75.49222507,43.82331397, 0.537
HIP 62322, 3.04,191.57029013,-68.10809405,-0.178
HIP 71075, 3.04,218.01982421,38.30788348, 0.191
HIP 100345, 3.05,305.25269347,-14.78140119, 0.790
HIP 95947, 3.05,292.68035529,27.9596948, 1.088
HIP 32246, 3.06,100.98304088,25.13115531, 1.377
HIP 50801, 3.06,155.58251355,41.4994335, 1.603
HIP 94376, 3.07,288.13814581,67.66131695, 0.990
HIP 89642, 3.10,274.4072049,-36.76128103, 1.582
HIP 56561, 3.11,173.94553448,-63.01982488,-0.044
HIP 101772, 3.11,309.39162365,-47.29166239, 0.998
HIP 52943, 3.11,162.40596699,-16.19413208, 1.232
HIP 43813, 3.11,133.84868687,5.9455277, 0.978
HIP 83081, 3.12,254.65512817,-55.99005508, 1.552
HIP 27628, 3.12,87.7398034,-35.76929225, 1.146
HIP 84379, 3.12,258.75801735,24.83958739, 0.080
HIP 44127, 3.12,134.80349479,48.04234956, 0.223
HIP 73334, 3.13,224.79041254,-42.10414199,-0.208
HIP 45860, 3.14,140.26441169,34.39252592, 1.550
HIP 46701, 3.16,142.80564072,-57.0343916, 1.538
HIP 84380, 3.16,258.76189282,36.80915527, 1.437
HIP 31685, 3.17,99.44029869,-43.19592394,-0.103
HIP 92041, 3.17,281.41397083,-26.9907794,-0.107
HIP 46853, 3.17,143.21802191,51.67860208, 0.475
HIP 83895, 3.17,257.19677111,65.71463676,-0.12
HIP 71908, 3.18,220.62785433,-64.97456957, 0.256
HIP 23767, 3.18,76.62862102,41.23464074,-0.148
HIP 87261, 3.19,267.4643802,-37.04337105, 1.192
HIP 23685, 3.19,76.36521705,-22.37085673, 1.460
HIP 22449, 3.19,72.45890935,6.96124744, 0.484
HIP 83000, 3.19,254.41779418,9.37505626, 1.160
HIP 104732, 3.21,318.23408977,30.22708128, 0.990
HIP 116727, 3.21,354.83742516,77.63196681, 1.031
HIP 75141, 3.22,230.34306833,-40.64745946,-0.227
HIP 79882, 3.23,244.58016994,-4.69260809, 0.966
HIP 89962, 3.23,275.32883578,-2.897122, 0.941
HIP 106032, 3.23,322.16489595,70.56069481,-0.201
HIP 32607, 3.24,102.04807134,-61.94197988, 0.225
HIP 99473, 3.24,302.82610327,-0.82147569,-0.066
HIP 36377, 3.25,112.3078263,-43.30189129, 1.509
HIP 68895, 3.25,211.59278733,-26.68201883, 1.091
HIP 73714, 3.25,226.01775793,-25.28185602, 1.674
HIP 93194, 3.25,284.73593568,32.68955312,-0.049
HIP 17678, 3.26,56.80929799,-74.23924251, 1.590
HIP 84970, 3.27,260.50243371,-24.99948797,-0.186
HIP 113136, 3.27,343.6626635,-15.82075994, 0.066
HIP 3092, 3.27,9.83165567,30.86122579, 1.268
HIP 50099, 3.29,153.43449551,-70.03792169,-0.074
HIP 24305, 3.29,78.2328046,-16.20542901,-0.11
HIP 75458, 3.29,231.2324337,58.96602354, 1.166
HIP 51576, 3.30,158.0061825,-61.68536031,-0.089
HIP 21281, 3.30,68.49882684,-55.04500559,-0.079
HIP 85267, 3.31,261.34858274,-56.37768824,-0.15
HIP 29655, 3.31,93.71956952,22.50682376, 1.600
HIP 5165, 3.32,16.52127713,-46.71849042, 0.885
