name,ra,dec,e_bv
Roslund 1,296.25,17.5167,0.05
Ruprecht 71,132.3458,-46.85,0.05
ASCC 54,146.1917,-54.44,0.05
Ruprecht 105,188.5583,-61.5667,0.05
ASCC 28,103.5167,-0.17,0.05
NGC 2367,110.025,-21.8817,0.05
NGC 1980,83.85,-5.915,0.05
NGC 2306,103.6208,-7.2033,0.05
Loden 89,157.3,-56.7833,0.05
Platais 2,18.4583,32.0283,0.05
NGC 2479,118.775,-17.71,0.05
ASCC 73,189.15,-67.29,0.05
ASCC 51,139.5,-69.69,0.05
NGC 1977,83.8167,-4.82,0.05
Hogg 6,151.6542,-60.5,0.05
Ruprecht 99,180.7667,-63.85,0.05
Berkeley 27,102.8375,5.7686,0.05
FSR 0734,75.8417,42.4136,0.05
ASCC 29,103.575,-1.65,0.05
Mamajek 4,276.5,-51,0.05
NGC 3330,159.6917,-54.1233,0.05
Ruprecht 12,106.7917,-28.2,0.05
ASCC 33,105.7958,-25.05,0.05
BH 223,260.1708,-35.8833,0.05
Trapezium,83.8167,-5.39,0.05
Collinder 173,120.7042,-46.3833,0.05
ASCC 59,155.0542,-57.65,0.05
NGC 2428,114.8375,-16.5283,0.05
NGC 6738,285.3375,11.615,0.05
ASCC 108,298.4542,39.37,0.05
NGC 2396,112,-11.7167,0.05
BH 52,131.625,-52.9,0.05
ESO 165 09,136.3125,-55.955,0.05
Loden 615,185.1625,-64.7833,0.05
Sigma Orionis,84.675,-2.6,0.05
Trumpler 12,151.6208,-60.3,0.05
Loden 1194,211.425,-59.7,0.05
Haffner 13,115.125,-30.0833,0.05
NGC 2319,105.1333,3.0417,0.05
ASCC 74,203.9542,-58.81,0.05
Pismis 2,124.475,-41.6667,0.05
Berkeley 37,110.1,-1.1,0.05
NGC 2243,97.3917,-31.2833,0.051
NGC 2264,100.2417,9.895,0.051
ESO 435 17,149.6875,-30.91,0.052
NGC 2451B,116.1125,-37.6667,0.055
BH 99,159.475,-59.1833,0.055
NGC 2220,95.1458,-44.6783,0.06
Dol Dzim 9,272.2,31.5333,0.06
NGC 5800,225.4458,-51.9183,0.06
Stock 12,354.0833,52.5433,0.06
NGC 1520,59.4625,-76.795,0.06
NGC 5925,231.8583,-54.5283,0.06
NGC 6950,310.2667,16.6183,0.06
NGC 2132,88.7875,-59.9103,0.06
NGC 2270,100.9875,3.4783,0.06
BH 23,123.6,-36.3833,0.06
Ruprecht 31,115.7417,-35.5972,0.06
NGC 2017,84.8208,-17.8467,0.06
Mamajek 3,81.7958,6.2667,0.06
NGC 2331,106.7458,27.2617,0.06
ASCC 35,108.1667,2.12,0.06
NGC 5998,237.3917,-28.5883,0.06
ESO 368 11,116.0917,-34.6186,0.06
ASCC 18,81.5417,0.82,0.06
Ruprecht 58,123.6958,-31.95,0.06
Roslund 6,307.2042,39.3267,0.06
Ruprecht 64,129.3333,-40.15,0.06
NGC 1785,74.6458,-68.8444,0.06
Collinder 111,99.675,6.9,0.062
Ruprecht 45,119.9,-16.3,0.062
NGC 6882,302.9458,26.8117,0.062
NGC 2281,102.0708,41.0783,0.063
NGC 3680,171.4083,-43.2433,0.066
NGC 3114,150.65,-60.12,0.069
Collinder 213,148.6792,-50.9167,0.07
Stock 10,84.75,37.9333,0.07
ASCC 23,95.0833,46.67,0.07
NGC 1039,40.5208,42.7617,0.07
NGC 1981,83.7833,-4.3431,0.07
Hogg 23,187.1333,-60.8953,0.07
Czernik 27,105.8,6.4167,0.07
Collinder 236,164.2125,-61.1167,0.07
ASCC 38,111.7958,-5.55,0.07
Alessi 21,107.6958,-9.3367,0.07
NGC 2422,114.1458,-14.4833,0.07
Ruprecht 65,129.8167,-44.05,0.07
ESO 231 30,289.2167,-51.4917,0.073
NGC 6866,300.9792,44.1583,0.074
NGC 7058,320.4708,50.8183,0.079
FSR 1085,103.2958,-0.1919,0.079
BH 91,154.325,-58.7,0.08
NGC 2925,143.2958,-53.3983,0.08
Alessi 12,310.95,23.7917,0.08
NGC 6885,303.0042,26.4783,0.08
Trumpler 19,168.5833,-57.5511,0.08
Alessi Teutsch 11,304.1333,52.075,0.08
ESO 260 07,132,-47.03,0.08
FSR 0948,96.4708,15.8608,0.08
Haffner 26,123.9125,-30.8333,0.08
NGC 2184,92.75,-3.4833,0.08
Berkeley 31,104.4,8.2667,0.08
Teutsch 39,339.1208,37.7564,0.08
Alessi 33,105.4958,-26.5033,0.08
NGC 6588,275.1375,-63.8083,0.08
NGC 2539,122.6542,-12.8183,0.082
NGC 2204,93.8875,-18.665,0.085
Ruprecht 154,120.4417,-44.4167,0.087
Ruprecht 59,124.8375,-34.4833,0.088
Alessi 8,232.3875,-51.2333,0.09
NGC 2374,110.9833,-13.2633,0.09
ASCC 27,103.4708,-4.39,0.09
Briceno 1,81.15,1.8,0.09
ASCC 58,153.7792,-54.97,0.09
NGC 5823,226.375,-55.6033,0.09
Casado Alessi 1,13.3625,49.5667,0.09
Melotte 20,51.0792,49.8617,0.09
IC 2395,130.625,-48.1133,0.09
Ruprecht 161,152.1917,-61.25,0.09
ASCC 105,295.4417,27.38,0.09
NGC 7063,321.0875,36.4867,0.091
NGC 5460,211.8625,-48.3433,0.092
Ruprecht 29,115.325,-24.35,0.094
NGC 2482,118.8,-24.2583,0.094
NGC 2423,114.275,-13.8717,0.097
Roslund 5,302.5,33.7667,0.098
Ruprecht 116,245.8333,-52,0.1
NGC 2587,125.8542,-29.5083,0.1
Alessi Teutsch 9,51.8625,34.9533,0.1
Skiff J0507+30.8,76.8083,30.8428,0.1
NGC 5359,210.0375,-70.3917,0.1
ESO 493 03,114.9375,-27.2933,0.1
NGC 2304,103.8042,17.9825,0.1
ASCC 46,124.1417,-48.51,0.1
ASCC 126,346.575,51.05,0.1
Platais 12,207.9333,-63.4533,0.1
