name,ra,dec,e_bv
NGC 1746,75.9583,23.77,0.3
ASCC 67,175.3792,-61.02,0.3
Dias 8,298.025,11.6344,0.3
NGC 6883,302.8292,35.8317,0.3
BH 205,254.0458,-40.6667,0.3
Tombaugh 2,105.7708,-20.8167,0.3
Ruprecht 94,172.6542,-63.4333,0.3
FSR 0732,75.65,42.5486,0.3
Loden 480,179,-58.4333,0.3
Loden 1256,214.55,-61.4333,0.3
Alessi Teutsch 5,332.1125,61.0283,0.3
Ruprecht 80,145.5125,-44.0167,0.3
Berkeley 99,350.4,71.75,0.3
ASCC 117,331.2458,62.27,0.3
NGC 2099,88.075,32.5533,0.302
Tombaugh 1,105.1208,-20.5667,0.303
NGC 2483,118.9125,-27.895,0.303
NGC 1545,65.2375,50.2533,0.303
NGC 6709,282.825,10.3183,0.304
NGC 1662,72.1125,10.9367,0.304
Bochum 10,160.55,-59.1333,0.306
Collinder 268,199.5542,-67.0833,0.308
NGC 2384,111.2917,-21.0217,0.31
ESO 260 06,131.5625,-47.6983,0.31
Skiff J2330+60.2,352.55,60.2583,0.31
Collinder 240,167.9167,-60.3097,0.31
NGC 2364,110.1917,-7.55,0.31
Alessi 60,105.625,-1.1308,0.31
NGC 2477,118.0417,-38.53,0.31
SAI 48,81.0708,33.5006,0.31
King 2,12.75,58.1833,0.31
NGC 5662,218.9042,-56.6183,0.311
ESO 137 43,252.1042,-61.76,0.312
Loden 1282,213.975,-59.1333,0.312
ESO 245 09,28.4292,-45.9533,0.312
FSR 1270,111.5208,-21.1842,0.312
Ruprecht 162,163.225,-62.3167,0.312
FSR 1204,107.0833,-12.8911,0.312
Collinder 187,126.0542,-29.1667,0.312
FSR 1144,104.3167,-6.62,0.312
FSR 1053,99.9833,1.5467,0.312
Ruprecht 163,166.2125,-67.95,0.312
ESO 389 05,239.4583,-36.205,0.312
Skiff J0619+18.5,94.8417,18.5417,0.312
ESO 337 23,289.8042,-37.6217,0.312
ESO 008 06,223.8,-83.4233,0.312
FSR 1029,103.5167,6.7275,0.312
NGC 2660,130.6583,-47.2,0.313
Trumpler 18,167.8667,-60.6667,0.315
NGC 1342,52.9083,37.3767,0.319
ASCC 17,81.3,30.17,0.32
Auner 1,106.0667,-19.75,0.32
Dolidze 14,61.6792,27.5428,0.32
NGC 2352,108.2708,-24.0383,0.32
Ruprecht 174,310.8792,37.0242,0.32
ASCC 95,274.0208,-25.71,0.32
NGC 6698,282.0167,-25.8783,0.32
Hogg 11,167.9042,-60.4,0.32
Basel 5,268.1125,-30.1,0.32
Berkeley 19,81.025,29.6,0.32
FSR 0852,88.3958,25.1811,0.32
IC 2944,174.5833,-63.3728,0.32
NGC 2849,139.8458,-40.5233,0.32
Ruprecht 90,157.75,-58.45,0.32
IC 1590,13.2042,56.6283,0.32
NGC 3033,147.1542,-56.4217,0.327
Biurakan 1,301.875,35.6833,0.33
NGC 6939,307.875,60.6617,0.33
NGC 2383,111.1667,-20.9483,0.33
Patchick 89,299.8875,49.3139,0.33
NGC 2311,104.4458,-4.6117,0.33
ASCC 104,294.7208,18.69,0.33
Dias 5,274.4167,-19.67,0.33
ESO 141 47,289.5125,-57.9033,0.33
ESO 139 54,271.1708,-58.5233,0.33
NGC 6530,271.1292,-24.3583,0.333
FSR 1363,122.6625,-34.6219,0.333
Dolidze 16,78.6833,32.6886,0.333
NGC 1817,78.0625,16.69,0.334
NGC 2910,142.625,-52.9183,0.336
NGC 1778,77.0167,37.0233,0.336
NGC 2467,118.1083,-26.4367,0.338
SAI 1,2.0833,51.7208,0.34
NGC 657,25.8375,55.8364,0.34
Koposov 62,94.5083,24.7106,0.34
King 14,8.0125,63.1556,0.34
Waterloo 3,118.775,-25.365,0.34
NGC 1758,76.1458,23.7983,0.34
Collinder 419,304.5292,40.7319,0.34
Basel 13,318.075,46.5667,0.34
NGC 1750,75.9792,23.6583,0.34
IC 2714,169.3625,-62.7333,0.341
Collinder 228,161,-60.0867,0.342
NGC 2972,145.05,-50.3233,0.343
NGC 4439,187.1125,-60.105,0.348
Roslund 3,299.675,20.4833,0.348
NGC 6250,254.4833,-45.9367,0.35
Ruprecht 26,114.2958,-15.6631,0.35
NGC 609,24.0958,64.5383,0.35
Dolidze 13,12.425,64.1264,0.35
NGC 7142,326.2875,65.775,0.35
SAI 69,101.3667,-11.7944,0.35
Alessi 44,295.6375,1.5231,0.35
NGC 6134,246.9417,-49.1517,0.35
ASCC 70,183.75,-64.43,0.35
Collinder 367,272.4625,-23.8283,0.35
Stock 11,353.225,55.4833,0.35
NGC 1582,67.9125,43.7433,0.35
NGC 2225,96.65,-9.6383,0.35
Trumpler 31,269.9542,-28.1667,0.35
Ruprecht 24,112.9708,-12.7636,0.35
NGC 1883,81.475,46.49,0.35
Trumpler 26,262.1333,-29.4972,0.35
Ruprecht 78,142.2917,-53.7,0.35
NGC 2635,129.6083,-34.77,0.35
NGC 2401,112.35,-13.9667,0.35
NGC 7438,344.3417,54.3383,0.35
NGC 2309,104.0125,-7.175,0.35
NGC 6873,301.9333,21.0975,0.35
NGC 7394,342.5958,52.135,0.35
NGC 956,38.0625,44.6467,0.354
FSR 0761,83.3458,39.8456,0.354
NGC 6494,269.2667,-18.985,0.356
Trumpler 33,276.175,-19.7167,0.357
Platais 1,322.5083,48.9767,0.357
NGC 6645,278.1542,-16.8856,0.36
Biurakan 2,302.3,35.4833,0.36
NGC 2158,91.8542,24.0967,0.36
Turner 2,274.2958,-18.8242,0.36
Trumpler 14,160.9833,-59.55,0.36
Trumpler 16,161.2917,-59.7167,0.36
ESO 525 08,291.8167,-23.5764,0.36
Berkeley 33,104.425,-13.2167,0.36
Harvard 10,244.7,-54.9333,0.36
FSR 1651,201.3583,-58.9722,0.364
ESO 518 03,251.7667,-25.8117,0.369
Ruprecht 15,109.8875,-19.6333,0.37
Collinder 350,267.025,1.3,0.37
ESO 561 05,119.8292,-22.6917,0.37
Basel 8,98.55,8.0833,0.37
Ruprecht 111,218.975,-59.9667,0.37
BDSB96,106.325,-12.3289,0.37
NGC 2439,115.1875,-31.6933,0.37
NGC 4609,190.575,-62.995,0.37
NGC 1647,71.4792,19.115,0.37
NGC 5045,198.5417,-63.39,0.37
Ivanov 7,112.6667,-15.3,0.37
King 9,333.875,54.4,0.37
NGC 6031,241.8958,-54.015,0.371
NGC 2489,119.0625,-30.0633,0.374
NGC 7160,328.4167,62.6033,0.375
Dolidze 26,112.525,11.9,0.375
Ruprecht 76,141.0542,-51.6667,0.376
NGC 5749,222.2208,-54.4983,0.376
NGC 6242,253.8875,-39.4617,0.377
NGC 2645,129.7625,-46.2333,0.38
Ruprecht 10,106.6208,-20.1089,0.38
Stock 2,33.6792,59.485,0.38
Czernik 23,87.5167,28.8947,0.38
Haffner 19,118.1958,-26.2833,0.38
Miller 1,141.425,-53.2333,0.38
NGC 6067,243.2958,-54.2183,0.38
BH 87,151.075,-55.4333,0.38
Czernik 26,97.7,-4.2167,0.38
Collinder 74,87.1667,7.3583,0.38
Koposov 43,88.0625,29.9192,0.38
Hogg 9,164.5917,-59.05,0.38
NGC 581,23.3458,60.65,0.382
NGC 2194,93.4375,12.8067,0.383
NGC 4349,186.0333,-61.8717,0.384
NGC 744,29.6375,55.4733,0.384
Ruprecht 42,119.4,-25.9167,0.388
NGC 4755,193.4125,-60.3617,0.388
NGC 3572,167.5958,-60.2483,0.389
AH03 J0748 26.9,117.1667,-26.9467,0.39
FSR 0932,91.0917,14.5728,0.39
NGC 6904,305.45,25.74,0.39
SAI 82,118.0583,-33.0408,0.39
Ruprecht 68,131.1458,-35.9,0.39
NGC 2335,106.7042,-10.0283,0.393
Ruprecht 92,163.4458,-61.75,0.396
FSR 1535,151.9792,-59.1969,0.396
Ruprecht 62,128.1333,-19.6833,0.396
Loden 848,203.525,-64.5167,0.396
Basel 7,99.15,8.35,0.396
Ruprecht 14,108.7292,-31.3667,0.396
Loden 1002,208.575,-65.3167,0.396
FSR 0902,94.5792,20.5283,0.396
NGC 2269,100.8208,4.625,0.398
NGC 2254,98.9542,7.6733,0.398
NGC 6425,266.7542,-31.53,0.399
ESO 275 01,238.7667,-46.015,0.4
NGC 6561,272.625,-16.725,0.4
Teutsch 1,84.8708,33.3461,0.4
Stock 6,35.925,63.8667,0.4
Stock 5,31.125,64.4333,0.4
FSR 0357,337.725,53.9564,0.4
Alessi 40,279.1458,-19.465,0.4
Berkeley 56,319.425,41.8267,0.4
Feinstein 1,166.4833,-59.8167,0.4
Berkeley 23,98.375,20.55,0.4
Trumpler 2,39.2208,55.915,0.4
SAI 81,118.0292,-28.1225,0.4
Berkeley 36,109.1,-13.1931,0.4
NGC 436,18.9917,58.8117,0.4
NGC 3036,147.3167,-62.6717,0.4
Stock 8,82.0292,34.4233,0.4
FSR 0777,81.8792,34.7336,0.4
BH 66,141.325,-54.7167,0.4
Hogg 12,168.2542,-60.7833,0.4
NGC 381,17.0792,61.5833,0.4
NGC 2219,95.9333,-4.6767,0.4
NGC 6800,291.7792,25.14,0.4
ASCC 65,167.775,-61.12,0.4
NGC 6268,255.5417,-39.7283,0.4
Berkeley 24,99.4458,-0.8719,0.4
Loden 372,172.7292,-58.4833,0.4
NGC 2982,145.5042,-44.02,0.4
Markarian 38,273.8208,-19,0.405
BH 106,163.175,-54.2333,0.406
Basel 20,142.7833,-56.4167,0.406
NGC 103,6.3167,61.3233,0.406
Ruprecht 118,246.15,-51.9667,0.41
Loden 2326,235.8875,-52.475,0.41
Koposov 53,92.2333,26.2636,0.41
Berkeley 102,354.675,56.6333,0.41
NGC 1027,40.6792,61.6336,0.41
Patchick 90,101.1792,-0.5394,0.41
Hogg 16,202.325,-61.2,0.411
IC 2581,156.8708,-57.6167,0.415
Collinder 465,106.7167,-10.5383,0.416
Loden 213,159.0583,-61.85,0.416
Ruprecht 5,103.8083,-18.6,0.416
FSR 1077,100.4833,-0.8967,0.416
Ruprecht 149,103.125,-23.6667,0.416
FSR 0716,77.7917,45.7128,0.416
Ruprecht 28,114.9,-30.9333,0.416
Stock 21,7.6042,57.9236,0.416
FSR 1227,112.9708,-13.86,0.416
FSR 0817,84.8625,30.8933,0.416
Ruprecht 88,154.7292,-63.1333,0.416
ESO 129 32,176.0375,-61.0817,0.416
Ruprecht 95,175.9083,-61.1333,0.416
ESO 129 19,170.2958,-58.2317,0.416
Collinder 277,207.1,-66.0667,0.416
ESO 064 05,186.1375,-68.4667,0.416
Loden 624,186.5917,-61.7167,0.416
FSR 1183,108.3417,-9.8717,0.416
Collinder 469,274.1417,-18.3117,0.418
Trumpler 24,254.25,-40.6667,0.418
NGC 7708,354.125,72.85,0.42
Bica 6,76.5833,39.1639,0.42
ESO 062 11,159.7292,-69.0333,0.42
NGC 2421,114.0542,-20.6117,0.42
NGC 189,9.8958,61.095,0.42
NGC 110,6.8542,71.3833,0.42
Dias 7,297.3375,21.17,0.42
ESO 494 09,119.8167,-27.585,0.42
NGC 6520,270.85,-27.8883,0.42
NGC 5715,220.875,-57.5769,0.42
BH 55,134.0458,-39.5167,0.42
BH 110,166.825,-61.45,0.42
Dol Dzim 11,312.75,35.95,0.42
Waterloo 7,111.5333,-15.0933,0.42
Pismis 5,129.4083,-39.5833,0.421
Czernik 20,80.1333,39.5472,0.422
NGC 6705,282.7708,-6.27,0.428
NGC 2670,131.375,-48.8,0.43
Ruprecht 6,104,-13.2833,0.43
NGC 7062,320.8625,46.3783,0.43
Berkeley 72,87.575,22.2497,0.43
NGC 5168,202.775,-60.94,0.431
Ruprecht 67,130.4125,-43.3667,0.432
Trumpler 15,161.1792,-59.3667,0.434
NGC 4463,187.4833,-64.79,0.434
FSR 1234,112.7917,-15.4294,0.437
ESO 587 04,256.0917,-19.455,0.437
FSR 1617,187.1833,-66.5811,0.437
FSR 1051,103.0542,3.6417,0.437
FSR 1163,104.8292,-9.0972,0.437
ESO 429 13,115.2833,-30.7383,0.437
FSR 1209,106.7667,-13.8475,0.437
FSR 0957,96.3417,14.5831,0.437
Wit 2,105.3625,-3.1175,0.437
NGC 3324,159.3333,-58.6417,0.438
NGC 6231,253.5417,-41.825,0.439
Loiano 1,299.5583,32.545,0.44
NGC 6871,301.4958,35.7767,0.443
NGC 6249,254.4208,-44.8117,0.443
NGC 2453,116.8958,-27.195,0.446
NGC 3590,168.2458,-60.7883,0.449
NGC 6613,274.9917,-17.1017,0.45
Koposov 27,84.875,33.35,0.45
Lynga 1,210.0083,-62.15,0.45
Berkeley 104,0.875,63.5833,0.45
NGC 4852,195.0375,-59.6133,0.45
NGC 6631,276.7958,-12.03,0.45
Ruprecht 141,277.825,-12.3167,0.45
ESO 065 03,192.9042,-69.73,0.45
Teutsch 77,178.3125,-62.6094,0.45
FSR 0717,71.525,42.1342,0.45
Haffner 6,110.025,-13.1333,0.45
FSR 0549,24.9125,65.9197,0.45
ASCC 63,163.9667,-60.41,0.45
Ruprecht 35,116.5583,-31.28,0.45
Ruprecht 55,123.1125,-32.5833,0.45
Basel 4,87.125,30.2167,0.45
NGC 5999,238.0333,-56.4733,0.45
NGC 7245,333.7958,54.3433,0.45
NGC 6005,238.95,-57.4367,0.45
Berkeley 34,105.0958,-0.2322,0.45
FSR 0322,327.55,51.2111,0.45
NGC 1496,61.1333,52.6617,0.45
NGC 6216,252.35,-44.7283,0.45
Ruprecht 83,147.3125,-54.6,0.453
FSR 1443,129.8583,-47.3569,0.458
FSR 1065,98.9958,-0.6678,0.458
Ruprecht 39,118.0792,-22.45,0.458
Ruprecht 87,153.8833,-50.7167,0.458
Collinder 275,203.6625,-60.2,0.458
ESO 461 38,301.225,-30.35,0.458
Ruprecht 107,199.9417,-64.95,0.458
Ruprecht 8,105.425,-13.5833,0.458
Wit 1,105.0875,-5.8267,0.458
ESO 370 17,127.9667,-36.1997,0.458
Collinder 466,106.7333,-10.715,0.46
NGC 6204,251.5375,-47.0167,0.46
NGC 5381,210.1708,-59.5867,0.46
Hogg 10,167.675,-60.4,0.46
Trumpler 20,189.8792,-60.6333,0.46
Teutsch 143a,167.1708,-60.7133,0.46
Berkeley 18,80.55,45.4,0.46
NGC 3496,164.9,-60.3367,0.469
Czernik 29,112.075,-15.4,0.47
Berkeley 35,107.4833,2.7336,0.47
NGC 1798,77.9125,47.6917,0.47
NGC 2244,97.9792,4.9417,0.47
SAI 49,81.6042,50.7842,0.47
Trumpler 37,324.775,57.5,0.47
NGC 1857,80.025,39.3433,0.47
Pismis 17,165.275,-59.8167,0.471
NGC 457,19.8958,58.2867,0.472
NGC 5606,216.9458,-59.6317,0.474
