20200409 05:11:56 JST
都道府県,day0,day1,Td
山形県,1.0,19.0,1.648
福島県,4.0,24.0,2.708
佐賀県,2.0,9.0,3.226
長崎県,2.0,9.0,3.226
富山県,3.0,12.0,3.500
石川県,13.0,51.0,3.550
宮城県,7.0,27.0,3.594
福井県,16.0,57.0,3.819
茨城県,24.0,77.0,4.162
山梨県,6.0,19.0,4.209
広島県,6.0,19.0,4.209
福岡県,43.0,136.0,4.214
岡山県,4.0,12.0,4.417
鹿児島県,1.0,3.0,4.417
沖縄県,9.0,27.0,4.417
滋賀県,7.0,18.0,5.137
愛媛県,9.0,23.0,5.171
奈良県,11.0,28.0,5.193
宮崎県,3.0,7.0,5.726
神奈川県,120.0,279.0,5.751
東京都,527.0,1203.0,5.879
岐阜県,23.0,51.0,6.093
山口県,6.0,13.0,6.275
埼玉県,98.0,209.0,6.406
高知県,17.0,36.0,6.467
京都府,68.0,139.0,6.786
全国,2107.0,4168.0,7.113
大阪府,245.0,482.0,7.170
秋田県,6.0,11.0,8.005
長野県,8.0,14.0,8.670
千葉県,164.0,284.0,8.836
静岡県,6.0,10.0,9.498
和歌山県,17.0,28.0,9.724
群馬県,19.0,29.0,11.474
熊本県,14.0,21.0,11.967
兵庫県,147.0,216.0,12.608
愛知県,176.0,258.0,12.686
青森県,8.0,11.0,15.236
三重県,11.0,13.0,29.045
北海道,177.0,198.0,43.276
大分県,29.0,32.0,49.289
新潟県,31.0,34.0,52.526
栃木県,14.0,15.0,70.327
