20200405 13:46:44 JST
都道府県,day0,day1,Td
長崎県,1.0,7.0,2.493
宮城県,2.0,13.0,2.592
茨城県,9.0,54.0,2.708
福岡県,12.0,66.0,2.846
福井県,8.0,40.0,3.015
佐賀県,1.0,5.0,3.015
福島県,2.0,9.0,3.226
岡山県,2.0,9.0,3.226
奈良県,5.0,21.0,3.381
石川県,6.0,24.0,3.500
愛媛県,3.0,11.0,3.734
東京都,227.0,779.0,3.935
千葉県,60.0,192.0,4.171
秋田県,3.0,9.0,4.417
鹿児島県,1.0,3.0,4.417
京都府,31.0,91.0,4.506
岐阜県,14.0,39.0,4.736
青森県,4.0,11.0,4.796
静岡県,3.0,8.0,4.947
滋賀県,6.0,14.0,5.726
全国,1251.0,2855.0,5.880
大阪府,154.0,347.0,5.973
山梨県,4.0,9.0,5.983
神奈川県,88.0,181.0,6.728
長野県,5.0,10.0,7.000
三重県,6.0,12.0,7.000
広島県,4.0,8.0,7.000
香川県,1.0,2.0,7.000
埼玉県,66.0,131.0,7.078
兵庫県,90.0,172.0,7.491
大分県,17.0,31.0,8.076
山口県,4.0,7.0,8.670
高知県,12.0,21.0,8.670
群馬県,14.0,24.0,9.002
熊本県,9.0,15.0,9.498
沖縄県,6.0,9.0,11.967
和歌山県,15.0,21.0,14.420
新潟県,24.0,32.0,16.866
宮崎県,3.0,4.0,16.866
愛知県,150.0,198.0,17.476
栃木県,11.0,14.0,20.119
北海道,168.0,190.0,39.428
