20200730 05:37:51 JST
都道府県,2020/07/23,2020/07/30,Td,K,R0
宮崎県,20.0,85.0,3.353,0.765,4.251
熊本県,51.0,114.0,6.032,0.553,2.235
静岡県,109.0,200.0,7.994,0.455,1.835
愛知県,655.0,1172.0,8.339,0.441,1.789
徳島県,10.0,16.0,10.323,0.375,1.600
岡山県,44.0,66.0,11.967,0.333,1.500
佐賀県,49.0,69.0,14.175,0.290,1.408
鳥取県,5.0,7.0,14.420,0.286,1.400
福岡県,1060.0,1481.0,14.508,0.284,1.397
和歌山県,96.0,134.0,14.549,0.284,1.396
岐阜県,194.0,265.0,15.558,0.268,1.366
沖縄県,155.0,210.0,15.977,0.262,1.355
大阪府,2541.0,3430.0,16.173,0.259,1.350
滋賀県,117.0,157.0,16.499,0.255,1.342
長崎県,44.0,59.0,16.540,0.254,1.341
奈良県,163.0,215.0,17.523,0.242,1.319
三重県,58.0,74.0,19.916,0.216,1.276
鹿児島県,172.0,219.0,20.085,0.215,1.273
広島県,213.0,269.0,20.787,0.208,1.263
栃木県,136.0,167.0,23.629,0.186,1.228
兵庫県,841.0,1026.0,24.403,0.180,1.220
全国,25658.0,31184.0,24.876,0.177,1.215
山口県,42.0,51.0,24.990,0.176,1.214
京都府,566.0,677.0,27.095,0.164,1.196
東京都,9816.0,11611.0,28.892,0.155,1.183
埼玉県,1830.0,2146.0,30.460,0.147,1.173
島根県,25.0,29.0,32.691,0.138,1.160
千葉県,1333.0,1522.0,36.593,0.124,1.142
長野県,86.0,98.0,37.146,0.122,1.140
秋田県,16.0,18.0,41.195,0.111,1.125
神奈川県,2039.0,2286.0,42.434,0.108,1.121
山梨県,79.0,88.0,44.972,0.102,1.114
茨城県,230.0,254.0,48.885,0.094,1.104
宮城県,136.0,147.0,62.383,0.075,1.081
新潟県,90.0,97.0,64.779,0.072,1.078
群馬県,169.0,182.0,65.472,0.071,1.077
愛媛県,83.0,89.0,69.518,0.067,1.072
高知県,76.0,80.0,94.594,0.050,1.053
青森県,30.0,31.0,147.974,0.032,1.033
大分県,60.0,62.0,147.974,0.032,1.033
北海道,1351.0,1396.0,148.081,0.032,1.033
石川県,306.0,314.0,188.006,0.025,1.026
福島県,84.0,86.0,206.202,0.023,1.024
福井県,126.0,129.0,206.202,0.023,1.024
香川県,44.0,45.0,215.906,0.022,1.023
富山県,233.0,236.0,379.262,0.013,1.013
岩手県,0.0,0.0,5000,0,1
山形県,75.0,75.0,5000,0.000,1
