20200820 04:54:09 JST
都道府県,2020/08/13,2020/08/20,Td,K,R0
徳島県,61.0,95.0,10.953,0.358,1.557
沖縄県,1242.0,1689.0,15.783,0.265,1.360
奈良県,339.0,440.0,18.606,0.230,1.298
大分県,93.0,120.0,19.036,0.225,1.290
群馬県,238.0,307.0,19.059,0.225,1.290
岩手県,7.0,9.0,19.307,0.222,1.286
秋田県,35.0,44.0,21.203,0.205,1.257
石川県,390.0,486.0,22.048,0.198,1.246
高知県,83.0,103.0,22.475,0.194,1.241
佐賀県,162.0,199.0,23.587,0.186,1.228
鹿児島県,277.0,335.0,25.522,0.173,1.209
神奈川県,3305.0,3988.0,25.829,0.171,1.207
福岡県,3084.0,3683.0,27.335,0.163,1.194
大阪府,5994.0,7101.0,28.629,0.156,1.185
滋賀県,302.0,354.0,30.541,0.147,1.172
愛知県,3239.0,3787.0,31.041,0.145,1.169
兵庫県,1662.0,1924.0,33.146,0.136,1.158
熊本県,361.0,417.0,33.646,0.134,1.155
京都府,991.0,1138.0,35.080,0.129,1.148
全国,49363.0,56671.0,35.144,0.129,1.148
三重県,249.0,285.0,35.931,0.126,1.145
茨城県,406.0,463.0,36.933,0.123,1.140
千葉県,2224.0,2532.0,37.409,0.122,1.138
和歌山県,184.0,209.0,38.085,0.120,1.136
宮崎県,241.0,273.0,38.917,0.117,1.133
栃木県,249.0,282.0,38.986,0.117,1.133
静岡県,376.0,425.0,39.608,0.115,1.130
長野県,134.0,150.0,43.016,0.107,1.119
岡山県,115.0,128.0,45.305,0.102,1.113
東京都,16252.0,18082.0,45.473,0.101,1.113
福島県,98.0,109.0,45.610,0.101,1.112
長崎県,170.0,189.0,45.796,0.101,1.112
埼玉県,2956.0,3280.0,46.651,0.099,1.110
岐阜県,475.0,520.0,53.605,0.087,1.095
富山県,293.0,319.0,57.070,0.082,1.089
香川県,60.0,65.0,60.618,0.077,1.083
山口県,78.0,84.0,65.472,0.071,1.077
山梨県,132.0,142.0,66.443,0.070,1.076
島根県,126.0,133.0,89.741,0.053,1.056
広島県,415.0,437.0,93.932,0.050,1.053
北海道,1565.0,1632.0,115.744,0.041,1.043
新潟県,128.0,133.0,126.622,0.038,1.039
青森県,32.0,33.0,157.679,0.030,1.031
愛媛県,107.0,110.0,175.471,0.027,1.028
宮城県,182.0,185.0,296.776,0.016,1.016
福井県,154.0,155.0,749.636,0.006,1.006
山形県,76.0,76.0,5000,0.000,1
鳥取県,21.0,21.0,5000,0.000,1
