20200724 06:17:25 JST
都道府県,2020/07/17,2020/07/24,Td,K,R0
長崎県,31.0,47.0,11.659,0.340,1.516
岡山県,30.0,44.0,12.669,0.318,1.467
香川県,31.0,44.0,13.855,0.295,1.419
栃木県,103.0,139.0,16.187,0.259,1.350
愛知県,536.0,714.0,16.921,0.249,1.332
奈良県,131.0,171.0,18.209,0.234,1.305
大阪府,2065.0,2662.0,19.106,0.224,1.289
京都府,468.0,586.0,21.579,0.201,1.252
宮城県,110.0,136.0,22.868,0.191,1.236
静岡県,97.0,119.0,23.736,0.185,1.227
埼玉県,1568.0,1891.0,25.904,0.171,1.206
岐阜県,166.0,200.0,26.040,0.170,1.205
東京都,8354.0,10054.0,26.195,0.169,1.203
福岡県,928.0,1113.0,26.691,0.166,1.199
滋賀県,107.0,128.0,27.076,0.164,1.196
広島県,184.0,220.0,27.153,0.164,1.196
和歌山県,84.0,100.0,27.829,0.160,1.190
全国,22301.0,26380.0,28.885,0.155,1.183
佐賀県,47.0,55.0,30.868,0.145,1.170
山口県,37.0,43.0,32.286,0.140,1.162
三重県,50.0,58.0,32.691,0.138,1.160
神奈川県,1826.0,2107.0,33.898,0.133,1.154
兵庫県,748.0,853.0,36.938,0.123,1.140
茨城県,209.0,235.0,41.381,0.111,1.124
千葉県,1191.0,1333.0,43.076,0.107,1.119
鹿児島県,158.0,172.0,57.150,0.081,1.089
群馬県,161.0,174.0,62.485,0.075,1.081
長野県,80.0,86.0,67.091,0.070,1.075
青森県,29.0,31.0,72.753,0.065,1.069
熊本県,49.0,52.0,81.652,0.058,1.061
沖縄県,148.0,157.0,82.191,0.057,1.061
山梨県,76.0,80.0,94.594,0.050,1.053
北海道,1304.0,1361.0,113.410,0.042,1.044
島根県,25.0,26.0,123.711,0.038,1.040
新潟県,89.0,92.0,146.356,0.033,1.034
高知県,75.0,77.0,184.367,0.026,1.027
石川県,300.0,306.0,245.020,0.020,1.020
富山県,230.0,234.0,281.411,0.017,1.017
山形県,74.0,75.0,361.471,0.013,1.014
愛媛県,82.0,83.0,400.288,0.012,1.012
福島県,84.0,85.0,409.992,0.012,1.012
福井県,125.0,126.0,608.927,0.008,1.008
岩手県,0.0,0.0,5000,0,1
秋田県,16.0,16.0,5000,0.000,1
鳥取県,5.0,5.0,5000,0.000,1
徳島県,10.0,10.0,5000,0.000,1
大分県,60.0,60.0,5000,0.000,1
宮崎県,20.0,20.0,5000,0.000,1
