20200415 04:22:20 JST
都道府県,2020/04/08,2020/04/15,Td
香川県,2.0,16.0,2.333
沖縄県,15.0,72.0,3.093
静岡県,10.0,46.0,3.179
富山県,11.0,49.0,3.248
広島県,16.0,57.0,3.819
群馬県,26.0,91.0,3.873
福岡県,113.0,373.0,4.063
山形県,13.0,35.0,4.899
石川県,45.0,121.0,4.905
愛媛県,14.0,37.0,4.993
栃木県,14.0,36.0,5.137
山梨県,14.0,35.0,5.295
長野県,14.0,34.0,5.468
宮崎県,7.0,17.0,5.468
福島県,16.0,38.0,5.609
滋賀県,18.0,40.0,6.076
岐阜県,51.0,112.0,6.168
神奈川県,261.0,572.0,6.184
埼玉県,195.0,414.0,6.445
宮城県,26.0,54.0,6.639
青森県,11.0,22.0,7.000
山口県,12.0,24.0,7.000
全国,3817.0,7509.0,7.171
大阪府,429.0,836.0,7.273
東京都,1123.0,2171.0,7.361
兵庫県,201.0,384.0,7.495
千葉県,253.0,474.0,7.728
高知県,34.0,60.0,8.543
京都府,119.0,205.0,8.921
奈良県,26.0,44.0,9.223
佐賀県,8.0,13.0,9.994
福井県,57.0,92.0,10.135
長崎県,9.0,14.0,10.982
茨城県,71.0,110.0,11.083
岡山県,11.0,16.0,12.949
北海道,194.0,272.0,14.358
熊本県,20.0,28.0,14.420
愛知県,237.0,328.0,14.931
秋田県,11.0,15.0,15.644
大分県,32.0,43.0,16.422
鹿児島県,3.0,4.0,16.866
新潟県,32.0,42.0,17.843
三重県,13.0,17.0,18.087
和歌山県,27.0,34.0,21.048
