20200918 06:50:49 JST
都道府県,2020/09/11,2020/09/18,Td,K,R0
鳥取県,22.0,34.0,11.146,0.353,1.545
宮城県,256.0,331.0,18.884,0.227,1.293
群馬県,502.0,591.0,29.728,0.151,1.177
福島県,186.0,217.0,31.476,0.143,1.167
栃木県,319.0,369.0,33.323,0.136,1.157
神奈川県,5629.0,6112.0,58.939,0.079,1.086
香川県,86.0,92.0,71.945,0.065,1.070
大阪府,9232.0,9803.0,80.850,0.058,1.062
千葉県,3281.0,3483.0,81.211,0.058,1.062
東京都,22168.0,23437.0,87.163,0.054,1.057
兵庫県,2378.0,2502.0,95.455,0.050,1.052
全国,72232.0,75986.0,95.765,0.049,1.052
岐阜県,568.0,596.0,100.833,0.047,1.049
茨城県,589.0,618.0,100.953,0.047,1.049
三重県,443.0,464.0,104.762,0.045,1.047
愛知県,4730.0,4941.0,111.177,0.043,1.045
埼玉県,4172.0,4349.0,116.775,0.041,1.042
新潟県,147.0,153.0,121.285,0.039,1.041
京都府,1594.0,1641.0,166.970,0.029,1.029
熊本県,554.0,570.0,170.416,0.028,1.029
沖縄県,2244.0,2305.0,180.906,0.026,1.027
山口県,189.0,194.0,185.822,0.026,1.026
北海道,1845.0,1892.0,192.884,0.025,1.025
石川県,718.0,736.0,195.958,0.024,1.025
福岡県,4845.0,4959.0,208.628,0.023,1.024
高知県,134.0,137.0,219.141,0.022,1.022
広島県,464.0,474.0,227.552,0.021,1.022
長野県,293.0,299.0,239.359,0.020,1.020
静岡県,499.0,509.0,244.534,0.020,1.020
秋田県,50.0,51.0,245.020,0.020,1.020
奈良県,540.0,550.0,264.428,0.018,1.019
滋賀県,466.0,474.0,285.050,0.017,1.017
宮崎県,339.0,344.0,331.388,0.015,1.015
長崎県,234.0,236.0,570.110,0.008,1.009
佐賀県,242.0,244.0,589.518,0.008,1.008
岡山県,146.0,147.0,710.820,0.007,1.007
徳島県,146.0,147.0,710.820,0.007,1.007
山梨県,178.0,179.0,866.085,0.006,1.006
鹿児島県,371.0,373.0,902.475,0.005,1.005
和歌山県,235.0,236.0,1142.651,0.004,1.004
青森県,35.0,35.0,5000,0.000,1
岩手県,23.0,23.0,5000,0.000,1
山形県,78.0,78.0,5000,0.000,1
富山県,409.0,408.0,5000,-0.002,1
福井県,244.0,244.0,5000,0.000,1
島根県,137.0,137.0,5000,0.000,1
愛媛県,114.0,114.0,5000,0.000,1
大分県,158.0,158.0,5000,0.000,1
