20200913 23:12:51 JST
都道府県,2020/09/06,2020/09/13,Td,K,R0
宮城県,226.0,275.0,24.725,0.178,1.217
三重県,388.0,450.0,32.730,0.138,1.160
福島県,173.0,200.0,33.456,0.135,1.156
神奈川県,5285.0,5823.0,50.050,0.092,1.102
群馬県,471.0,517.0,52.069,0.089,1.098
山口県,178.0,194.0,56.370,0.082,1.090
茨城県,567.0,606.0,72.940,0.064,1.069
石川県,681.0,724.0,79.244,0.059,1.063
京都府,1512.0,1607.0,79.625,0.059,1.063
栃木県,309.0,328.0,81.311,0.058,1.061
大阪府,8900.0,9444.0,81.783,0.058,1.061
香川県,82.0,87.0,81.975,0.057,1.061
千葉県,3160.0,3339.0,88.060,0.054,1.057
高知県,130.0,137.0,92.514,0.051,1.054
東京都,21475.0,22631.0,92.541,0.051,1.054
全国,69902.0,73545.0,95.506,0.050,1.052
熊本県,537.0,564.0,98.908,0.048,1.050
岩手県,22.0,23.0,109.153,0.043,1.045
兵庫県,2322.0,2421.0,116.211,0.041,1.043
長野県,284.0,296.0,117.241,0.041,1.042
愛知県,4604.0,4787.0,124.480,0.038,1.040
埼玉県,4079.0,4227.0,136.137,0.035,1.036
静岡県,487.0,504.0,141.409,0.034,1.035
大分県,153.0,158.0,150.885,0.032,1.033
沖縄県,2200.0,2269.0,157.116,0.030,1.031
福岡県,4755.0,4893.0,169.599,0.028,1.029
山梨県,174.0,179.0,171.265,0.028,1.029
北海道,1809.0,1860.0,174.519,0.027,1.028
奈良県,531.0,544.0,200.603,0.024,1.024
和歌山県,231.0,236.0,226.581,0.021,1.022
佐賀県,239.0,244.0,234.345,0.020,1.021
滋賀県,459.0,468.0,249.872,0.019,1.020
岐阜県,564.0,574.0,276.073,0.017,1.018
富山県,401.0,408.0,280.371,0.017,1.017
新潟県,145.0,147.0,354.193,0.014,1.014
福井県,241.0,244.0,392.201,0.012,1.012
広島県,459.0,464.0,447.838,0.011,1.011
徳島県,145.0,146.0,705.968,0.007,1.007
鹿児島県,370.0,372.0,900.049,0.005,1.005
宮崎県,338.0,339.0,1642.411,0.003,1.003
青森県,35.0,35.0,5000,0.000,1
秋田県,50.0,50.0,5000,0.000,1
山形県,78.0,78.0,5000,0.000,1
鳥取県,22.0,22.0,5000,0.000,1
島根県,137.0,137.0,5000,0.000,1
岡山県,146.0,146.0,5000,0.000,1
愛媛県,114.0,114.0,5000,0.000,1
長崎県,234.0,234.0,5000,0.000,1
