20200731 05:41:10 JST
都道府県,2020/07/24,2020/07/31,Td,K,R0
宮崎県,20.0,106.0,2.909,0.811,5.301
熊本県,52.0,157.0,4.391,0.669,3.019
鳥取県,5.0,10.0,7.000,0.500,2.000
静岡県,119.0,234.0,7.175,0.491,1.966
徳島県,10.0,18.0,8.255,0.444,1.800
愛知県,714.0,1282.0,8.290,0.443,1.796
岡山県,44.0,71.0,10.140,0.380,1.614
岐阜県,200.0,295.0,12.484,0.322,1.475
沖縄県,157.0,231.0,12.564,0.320,1.471
和歌山県,100.0,140.0,14.420,0.286,1.400
福岡県,1113.0,1535.0,15.093,0.275,1.379
大阪府,2662.0,3651.0,15.358,0.271,1.372
鹿児島県,172.0,232.0,16.214,0.259,1.349
三重県,58.0,77.0,17.123,0.247,1.328
佐賀県,55.0,72.0,18.015,0.236,1.309
広島県,220.0,286.0,18.493,0.231,1.300
長崎県,47.0,61.0,18.610,0.230,1.298
奈良県,171.0,221.0,18.916,0.226,1.292
滋賀県,128.0,163.0,20.073,0.215,1.273
兵庫県,853.0,1059.0,22.430,0.195,1.241
山口県,43.0,53.0,23.205,0.189,1.233
全国,26380.0,32310.0,23.929,0.184,1.225
栃木県,139.0,169.0,24.828,0.178,1.216
京都府,586.0,708.0,25.655,0.172,1.208
長野県,86.0,102.0,28.437,0.157,1.186
東京都,10054.0,11861.0,29.356,0.152,1.180
千葉県,1333.0,1571.0,29.535,0.151,1.179
埼玉県,1891.0,2199.0,32.155,0.140,1.163
茨城県,235.0,266.0,39.157,0.117,1.132
秋田県,16.0,18.0,41.195,0.111,1.125
山梨県,80.0,90.0,41.195,0.111,1.125
神奈川県,2107.0,2356.0,43.438,0.106,1.118
島根県,26.0,29.0,44.433,0.103,1.115
宮城県,136.0,149.0,53.149,0.087,1.096
新潟県,92.0,99.0,66.166,0.071,1.076
愛媛県,83.0,89.0,69.518,0.067,1.072
福井県,126.0,135.0,70.327,0.067,1.071
群馬県,174.0,183.0,96.212,0.049,1.052
香川県,44.0,46.0,109.153,0.043,1.045
高知県,77.0,80.0,126.946,0.037,1.039
大分県,60.0,62.0,147.974,0.032,1.033
石川県,306.0,316.0,150.885,0.032,1.033
北海道,1361.0,1399.0,176.194,0.027,1.028
福島県,85.0,87.0,208.628,0.023,1.024
富山県,234.0,236.0,570.110,0.008,1.009
青森県,31.0,31.0,5000,0.000,1
岩手県,0.0,0.0,5000,0,1
山形県,75.0,75.0,5000,0.000,1
