20201015 05:24:43 JST
都道府県,2020/10/08,2020/10/15,Td,K,R0
福島県,272.0,319.0,30.441,0.147,1.173
宮城県,433.0,491.0,38.598,0.118,1.134
熊本県,639.0,714.0,43.720,0.105,1.117
北海道,2217.0,2390.0,64.575,0.072,1.078
埼玉県,4840.0,5131.0,83.103,0.057,1.060
広島県,605.0,641.0,83.944,0.056,1.060
千葉県,4110.0,4346.0,86.903,0.054,1.057
青森県,37.0,39.0,92.167,0.051,1.054
沖縄県,2629.0,2769.0,93.519,0.051,1.053
新潟県,170.0,179.0,94.055,0.050,1.053
神奈川県,7212.0,7591.0,94.735,0.050,1.053
東京都,26727.0,27959.0,107.668,0.044,1.046
茨城県,681.0,710.0,116.348,0.041,1.043
全国,85372.0,88921.0,119.126,0.040,1.042
和歌山県,242.0,252.0,119.829,0.040,1.041
群馬県,733.0,763.0,120.961,0.039,1.041
京都府,1791.0,1863.0,123.104,0.039,1.040
兵庫県,2804.0,2913.0,127.228,0.037,1.039
山形県,78.0,81.0,128.564,0.037,1.038
奈良県,581.0,603.0,130.549,0.036,1.038
鹿児島県,440.0,456.0,135.842,0.035,1.036
香川県,93.0,96.0,152.826,0.031,1.032
大阪府,10899.0,11249.0,153.505,0.031,1.032
山口県,204.0,209.0,200.379,0.024,1.025
三重県,530.0,542.0,216.715,0.022,1.023
長野県,313.0,320.0,219.372,0.022,1.022
滋賀県,507.0,518.0,226.052,0.021,1.022
愛知県,5449.0,5557.0,247.221,0.019,1.020
岡山県,161.0,164.0,262.811,0.018,1.019
秋田県,58.0,59.0,283.837,0.017,1.017
静岡県,558.0,567.0,303.245,0.016,1.016
長崎県,238.0,241.0,387.349,0.012,1.013
福井県,246.0,249.0,400.288,0.012,1.012
佐賀県,246.0,249.0,400.288,0.012,1.012
山梨県,195.0,197.0,475.495,0.010,1.010
福岡県,5057.0,5105.0,513.604,0.009,1.009
岐阜県,631.0,636.0,614.749,0.008,1.008
高知県,138.0,139.0,672.003,0.007,1.007
石川県,778.0,782.0,946.144,0.005,1.005
栃木県,442.0,444.0,1074.723,0.005,1.005
岩手県,24.0,24.0,5000,0.000,1
富山県,422.0,422.0,5000,0.000,1
鳥取県,36.0,36.0,5000,0.000,1
島根県,140.0,140.0,5000,0.000,1
徳島県,149.0,149.0,5000,0.000,1
愛媛県,115.0,115.0,5000,0.000,1
大分県,158.0,158.0,5000,0.000,1
宮崎県,344.0,344.0,5000,0.000,1
