20200812 12:29:23 JST
都道府県,2020/08/05,2020/08/12,Td,K,R0
島根県,29.0,123.0,3.358,0.764,4.241
徳島県,28.0,60.0,6.366,0.533,2.143
沖縄県,554.0,1179.0,6.424,0.530,2.128
秋田県,18.0,35.0,7.297,0.486,1.944
三重県,124.0,238.0,7.442,0.479,1.919
岩手県,4.0,7.0,8.670,0.429,1.750
佐賀県,102.0,157.0,11.250,0.350,1.539
宮崎県,157.0,234.0,12.158,0.329,1.490
滋賀県,202.0,298.0,12.479,0.322,1.475
熊本県,243.0,357.0,12.613,0.319,1.469
長崎県,117.0,167.0,13.636,0.299,1.427
福岡県,2192.0,3012.0,15.268,0.272,1.374
大分県,68.0,92.0,16.051,0.261,1.353
山口県,58.0,78.0,16.377,0.256,1.345
香川県,46.0,60.0,18.261,0.233,1.304
岐阜県,362.0,472.0,18.286,0.233,1.304
大阪府,4527.0,5892.0,18.411,0.232,1.302
愛知県,2143.0,2675.0,21.881,0.199,1.248
兵庫県,1312.0,1636.0,21.985,0.198,1.247
岡山県,91.0,113.0,22.408,0.195,1.242
神奈川県,2663.0,3305.0,22.465,0.194,1.241
奈良県,272.0,336.0,22.962,0.190,1.235
栃木県,202.0,249.0,23.195,0.189,1.233
茨城県,327.0,403.0,23.218,0.189,1.232
全国,39071.0,48089.0,23.364,0.188,1.231
千葉県,1823.0,2205.0,25.504,0.173,1.210
群馬県,194.0,234.0,25.883,0.171,1.206
山梨県,103.0,124.0,26.149,0.169,1.204
東京都,13713.0,16064.0,30.663,0.146,1.171
鳥取県,18.0,21.0,31.476,0.143,1.167
石川県,323.0,376.0,31.935,0.141,1.164
埼玉県,2510.0,2920.0,32.069,0.140,1.163
富山県,248.0,286.0,34.034,0.133,1.153
広島県,357.0,410.0,35.053,0.129,1.148
京都府,826.0,923.0,43.698,0.105,1.117
静岡県,309.0,345.0,44.028,0.104,1.117
長野県,119.0,132.0,46.799,0.098,1.109
福島県,89.0,98.0,50.368,0.092,1.101
福井県,142.0,154.0,59.809,0.078,1.085
宮城県,168.0,182.0,60.618,0.077,1.083
鹿児島県,256.0,277.0,61.543,0.076,1.082
愛媛県,99.0,107.0,62.438,0.075,1.081
和歌山県,169.0,182.0,65.472,0.071,1.077
新潟県,119.0,128.0,66.551,0.070,1.076
北海道,1455.0,1552.0,75.180,0.062,1.067
高知県,82.0,83.0,400.288,0.012,1.012
青森県,32.0,32.0,5000,0.000,1
山形県,76.0,76.0,5000,0.000,1
