20201025 08:24:53 JST
都道府県,2020/10/18,2020/10/25,Td,K,R0
青森県,83.0,150.0,8.199,0.447,1.807
岡山県,170.0,194.0,36.741,0.124,1.141
福島県,343.0,379.0,48.615,0.095,1.105
徳島県,149.0,164.0,50.584,0.091,1.101
群馬県,766.0,839.0,53.302,0.087,1.095
沖縄県,2855.0,3094.0,60.354,0.077,1.084
北海道,2460.0,2652.0,64.562,0.072,1.078
宮城県,508.0,545.0,69.015,0.068,1.073
千葉県,4473.0,4734.0,85.557,0.055,1.058
和歌山県,254.0,268.0,90.434,0.052,1.055
埼玉県,5286.0,5561.0,95.670,0.049,1.052
神奈川県,7843.0,8246.0,96.834,0.049,1.051
熊本県,735.0,767.0,113.854,0.042,1.044
香川県,97.0,101.0,120.071,0.040,1.041
全国,90830.0,94557.0,120.658,0.039,1.041
大阪府,11414.0,11880.0,121.253,0.039,1.041
岐阜県,642.0,668.0,122.218,0.039,1.040
栃木県,458.0,476.0,125.868,0.038,1.039
東京都,28604.0,29706.0,128.352,0.037,1.039
岩手県,26.0,27.0,128.564,0.037,1.038
山形県,81.0,84.0,133.416,0.036,1.037
秋田県,59.0,61.0,145.547,0.033,1.034
兵庫県,2960.0,3056.0,152.017,0.031,1.032
滋賀県,520.0,535.0,170.618,0.028,1.029
愛知県,5615.0,5768.0,180.481,0.027,1.027
京都府,1907.0,1958.0,183.843,0.026,1.027
奈良県,610.0,624.0,213.827,0.022,1.023
静岡県,575.0,588.0,217.026,0.022,1.023
長野県,323.0,330.0,226.304,0.021,1.022
山梨県,199.0,203.0,243.806,0.020,1.020
茨城県,723.0,737.0,252.991,0.019,1.019
山口県,209.0,213.0,255.937,0.019,1.019
三重県,544.0,554.0,266.369,0.018,1.018
石川県,788.0,798.0,384.761,0.013,1.013
佐賀県,250.0,253.0,406.757,0.012,1.012
福井県,254.0,256.0,618.631,0.008,1.008
広島県,646.0,651.0,629.305,0.008,1.008
福岡県,5138.0,5174.0,694.916,0.007,1.007
長崎県,241.0,242.0,1171.764,0.004,1.004
鹿児島県,462.0,463.0,2244.063,0.002,1.002
新潟県,180.0,180.0,5000,0.000,1
富山県,423.0,422.0,5000,-0.002,1
鳥取県,36.0,35.0,5000,-0.029,1
島根県,140.0,140.0,5000,0.000,1
愛媛県,116.0,116.0,5000,0.000,1
高知県,140.0,140.0,5000,0.000,1
大分県,159.0,159.0,5000,0.000,1
宮崎県,366.0,366.0,5000,0.000,1
