20200819 07:08:41 JST
都道府県,2020/08/12,2020/08/19,Td,K,R0
徳島県,60.0,91.0,11.649,0.341,1.517
沖縄県,1179.0,1656.0,14.282,0.288,1.405
愛知県,2675.0,3744.0,14.432,0.286,1.400
群馬県,234.0,307.0,17.869,0.238,1.312
岩手県,7.0,9.0,19.307,0.222,1.286
石川県,376.0,475.0,20.760,0.208,1.263
佐賀県,157.0,198.0,20.912,0.207,1.261
高知県,83.0,103.0,22.475,0.194,1.241
秋田県,35.0,43.0,23.570,0.186,1.229
大分県,92.0,113.0,23.599,0.186,1.228
京都府,923.0,1119.0,25.197,0.175,1.212
静岡県,345.0,418.0,25.279,0.175,1.212
福岡県,3012.0,3633.0,25.884,0.171,1.206
奈良県,336.0,403.0,26.685,0.166,1.199
三重県,238.0,284.0,27.459,0.162,1.193
鹿児島県,277.0,328.0,28.711,0.155,1.184
神奈川県,3305.0,3904.0,29.130,0.153,1.181
大阪府,5892.0,6916.0,30.279,0.148,1.174
兵庫県,1636.0,1900.0,32.433,0.139,1.161
滋賀県,298.0,346.0,32.489,0.139,1.161
全国,48089.0,55809.0,32.590,0.138,1.161
熊本県,357.0,412.0,33.862,0.133,1.154
宮崎県,234.0,267.0,36.778,0.124,1.141
千葉県,2205.0,2495.0,39.268,0.116,1.132
茨城県,403.0,456.0,39.270,0.116,1.132
山梨県,124.0,140.0,39.980,0.114,1.129
長野県,132.0,149.0,40.052,0.114,1.129
埼玉県,2920.0,3256.0,44.548,0.103,1.115
岡山県,113.0,126.0,44.557,0.103,1.115
東京都,16064.0,17875.0,45.421,0.101,1.113
栃木県,249.0,277.0,45.531,0.101,1.112
長崎県,167.0,185.0,47.401,0.097,1.108
岐阜県,472.0,516.0,54.439,0.085,1.093
和歌山県,182.0,198.0,57.584,0.081,1.088
香川県,60.0,65.0,60.618,0.077,1.083
福島県,98.0,106.0,61.832,0.075,1.082
富山県,286.0,308.0,65.472,0.071,1.077
島根県,123.0,132.0,68.709,0.068,1.073
広島県,410.0,437.0,76.079,0.062,1.066
山口県,78.0,83.0,78.093,0.060,1.064
北海道,1552.0,1627.0,102.812,0.046,1.048
青森県,32.0,33.0,157.679,0.030,1.031
愛媛県,107.0,110.0,175.471,0.027,1.028
新潟県,128.0,130.0,312.950,0.015,1.016
宮城県,182.0,184.0,443.956,0.011,1.011
福井県,154.0,155.0,749.636,0.006,1.006
山形県,76.0,76.0,5000,0.000,1
鳥取県,21.0,21.0,5000,0.000,1
