20200808 05:56:16 JST
都道府県,2020/08/01,2020/08/08,Td,K,R0
岩手県,2.0,5.0,5.295,0.600,2.500
沖縄県,324.0,784.0,5.491,0.587,2.420
徳島県,23.0,53.0,5.812,0.566,2.304
長崎県,66.0,144.0,6.219,0.542,2.182
熊本県,157.0,322.0,6.755,0.512,2.051
三重県,90.0,179.0,7.057,0.497,1.989
鳥取県,11.0,21.0,7.504,0.476,1.909
宮崎県,106.0,195.0,7.960,0.456,1.840
佐賀県,75.0,133.0,8.470,0.436,1.773
愛知県,1449.0,2535.0,8.675,0.428,1.749
福岡県,1635.0,2479.0,11.658,0.340,1.516
静岡県,234.0,342.0,12.786,0.316,1.462
滋賀県,168.0,242.0,13.294,0.306,1.440
岡山県,76.0,103.0,15.961,0.262,1.355
大阪府,3841.0,5141.0,16.644,0.253,1.338
茨城県,268.0,356.0,17.088,0.247,1.328
兵庫県,1105.0,1423.0,19.184,0.223,1.288
奈良県,228.0,293.0,19.344,0.222,1.285
岐阜県,312.0,400.0,19.528,0.220,1.282
全国,33625.0,43003.0,19.724,0.218,1.279
広島県,304.0,387.0,20.100,0.214,1.273
山梨県,90.0,114.0,20.526,0.211,1.267
千葉県,1620.0,1996.0,23.247,0.188,1.232
長野県,103.0,126.0,24.073,0.183,1.223
和歌山県,142.0,173.0,24.572,0.179,1.218
神奈川県,2432.0,2952.0,25.040,0.176,1.214
栃木県,185.0,224.0,25.365,0.174,1.211
山口県,53.0,64.0,25.728,0.172,1.208
京都府,749.0,903.0,25.949,0.171,1.206
東京都,12228.0,14645.0,26.900,0.165,1.198
埼玉県,2256.0,2688.0,27.694,0.161,1.191
大分県,64.0,76.0,28.234,0.158,1.188
新潟県,103.0,122.0,28.661,0.156,1.184
宮城県,153.0,177.0,33.299,0.136,1.157
香川県,46.0,53.0,34.254,0.132,1.152
鹿児島県,232.0,266.0,35.479,0.128,1.147
愛媛県,89.0,100.0,41.636,0.110,1.124
富山県,238.0,266.0,43.623,0.105,1.118
群馬県,187.0,208.0,45.589,0.101,1.112
福井県,137.0,152.0,46.699,0.099,1.109
北海道,1404.0,1503.0,71.209,0.066,1.071
福島県,87.0,91.0,107.939,0.044,1.046
青森県,31.0,32.0,152.826,0.031,1.032
石川県,320.0,330.0,157.679,0.030,1.031
高知県,80.0,82.0,196.497,0.024,1.025
山形県,75.0,76.0,366.323,0.013,1.013
秋田県,18.0,18.0,5000,0.000,1
島根県,29.0,29.0,5000,0.000,1
