20200829 11:32:17 JST
都道府県,2020/08/22,2020/08/29,Td,K,R0
岩手県,9.0,19.0,6.493,0.526,2.111
山口県,100.0,141.0,14.122,0.291,1.410
長野県,154.0,200.0,18.564,0.230,1.299
徳島県,97.0,124.0,19.758,0.218,1.278
福井県,156.0,190.0,24.609,0.179,1.218
福島県,120.0,146.0,24.741,0.178,1.217
群馬県,351.0,426.0,25.055,0.176,1.214
滋賀県,366.0,428.0,31.005,0.145,1.169
三重県,303.0,354.0,31.190,0.144,1.168
石川県,524.0,605.0,33.756,0.134,1.155
長崎県,191.0,219.0,35.468,0.128,1.147
京都府,1202.0,1374.0,36.280,0.125,1.143
高知県,105.0,118.0,41.568,0.110,1.124
福岡県,3830.0,4282.0,43.494,0.106,1.118
沖縄県,1804.0,2013.0,44.262,0.104,1.116
神奈川県,4187.0,4667.0,44.706,0.103,1.115
宮崎県,297.0,330.0,46.052,0.100,1.111
熊本県,442.0,491.0,46.151,0.100,1.111
茨城県,479.0,532.0,46.235,0.100,1.111
大阪府,7420.0,8233.0,46.667,0.099,1.110
愛知県,3900.0,4323.0,47.119,0.098,1.108
佐賀県,207.0,229.0,48.038,0.096,1.106
千葉県,2642.0,2922.0,48.168,0.096,1.106
富山県,333.0,368.0,48.549,0.095,1.105
全国,58829.0,64652.0,51.407,0.090,1.099
埼玉県,3415.0,3750.0,51.850,0.089,1.098
奈良県,462.0,506.0,53.336,0.087,1.095
兵庫県,1998.0,2187.0,53.682,0.086,1.095
岡山県,131.0,143.0,55.359,0.084,1.092
香川県,68.0,74.0,57.382,0.081,1.088
静岡県,431.0,469.0,57.424,0.081,1.088
山梨県,159.0,172.0,61.738,0.076,1.082
東京都,18607.0,20096.0,63.027,0.074,1.080
大分県,134.0,144.0,67.414,0.069,1.075
秋田県,45.0,48.0,75.180,0.062,1.067
青森県,33.0,35.0,82.461,0.057,1.061
北海道,1646.0,1734.0,93.160,0.051,1.053
和歌山県,219.0,228.0,120.476,0.039,1.041
栃木県,284.0,295.0,127.681,0.037,1.039
岐阜県,532.0,551.0,138.269,0.034,1.036
広島県,438.0,453.0,144.092,0.033,1.034
鹿児島県,340.0,351.0,152.385,0.031,1.032
愛媛県,111.0,114.0,181.940,0.026,1.027
宮城県,187.0,192.0,183.881,0.026,1.027
島根県,134.0,137.0,219.141,0.022,1.022
新潟県,137.0,140.0,223.993,0.021,1.022
山形県,77.0,77.0,5000,0.000,1
鳥取県,22.0,22.0,5000,0.000,1
