20200408 03:53:07 JST
都道府県,day0,day1,Td
山形県,1.0,13.0,1.892
長崎県,2.0,9.0,3.226
福島県,4.0,16.0,3.500
佐賀県,2.0,8.0,3.500
宮城県,7.0,26.0,3.698
富山県,3.0,11.0,3.734
福井県,16.0,57.0,3.819
石川県,13.0,45.0,3.908
鹿児島県,1.0,3.0,4.417
茨城県,24.0,71.0,4.473
岡山県,4.0,11.0,4.796
広島県,6.0,16.0,4.947
福岡県,43.0,113.0,5.022
滋賀県,7.0,18.0,5.137
奈良県,11.0,26.0,5.641
山梨県,6.0,14.0,5.726
宮崎県,3.0,7.0,5.726
岐阜県,23.0,51.0,6.093
神奈川県,120.0,261.0,6.244
東京都,527.0,1123.0,6.413
山口県,6.0,12.0,7.000
高知県,17.0,34.0,7.000
埼玉県,98.0,195.0,7.052
秋田県,6.0,11.0,8.005
全国,2107.0,3817.0,8.166
大阪府,245.0,429.0,8.661
長野県,8.0,14.0,8.670
京都府,68.0,119.0,8.670
静岡県,6.0,10.0,9.498
沖縄県,9.0,15.0,9.498
和歌山県,17.0,27.0,10.488
愛媛県,9.0,14.0,10.982
千葉県,164.0,253.0,11.192
熊本県,14.0,20.0,13.604
青森県,8.0,11.0,15.236
群馬県,19.0,26.0,15.469
兵庫県,147.0,201.0,15.508
愛知県,176.0,237.0,16.305
三重県,11.0,13.0,29.045
大分県,29.0,32.0,49.289
北海道,177.0,194.0,52.907
新潟県,31.0,32.0,152.826
