20200807 06:02:02 JST
都道府県,2020/07/31,2020/08/07,Td,K,R0
沖縄県,231.0,714.0,4.300,0.676,3.091
徳島県,18.0,43.0,5.572,0.581,2.389
長崎県,61.0,140.0,5.840,0.564,2.295
熊本県,157.0,322.0,6.755,0.512,2.051
三重県,77.0,155.0,6.935,0.503,2.013
鳥取県,10.0,19.0,7.559,0.474,1.900
愛知県,1282.0,2388.0,7.800,0.463,1.863
宮崎県,106.0,187.0,8.547,0.433,1.764
佐賀県,72.0,121.0,9.347,0.405,1.681
福岡県,1535.0,2269.0,12.415,0.323,1.478
滋賀県,163.0,236.0,13.111,0.309,1.448
岡山県,71.0,101.0,13.767,0.297,1.423
静岡県,234.0,328.0,14.368,0.287,1.402
岐阜県,295.0,400.0,15.935,0.262,1.356
大阪府,3651.0,4916.0,16.310,0.257,1.346
広島県,286.0,376.0,17.734,0.239,1.315
兵庫県,1059.0,1371.0,18.791,0.228,1.295
奈良県,221.0,286.0,18.819,0.227,1.294
茨城県,266.0,344.0,18.869,0.227,1.293
全国,32310.0,41462.0,19.455,0.221,1.283
京都府,708.0,876.0,22.788,0.192,1.237
和歌山県,140.0,173.0,22.925,0.191,1.236
長野県,102.0,125.0,23.862,0.184,1.225
栃木県,169.0,207.0,23.923,0.184,1.225
千葉県,1571.0,1920.0,24.186,0.182,1.222
新潟県,99.0,120.0,25.222,0.175,1.212
山梨県,90.0,109.0,25.332,0.174,1.211
東京都,11861.0,14285.0,26.093,0.170,1.204
神奈川県,2356.0,2833.0,26.317,0.168,1.202
大分県,62.0,74.0,27.423,0.162,1.194
埼玉県,2199.0,2623.0,27.519,0.162,1.193
宮城県,149.0,176.0,29.135,0.153,1.181
山口県,53.0,60.0,39.113,0.117,1.132
鹿児島県,232.0,262.0,39.899,0.115,1.129
愛媛県,89.0,100.0,41.636,0.110,1.124
富山県,236.0,261.0,48.188,0.096,1.106
群馬県,183.0,202.0,49.119,0.094,1.104
福井県,135.0,149.0,49.174,0.094,1.104
北海道,1399.0,1489.0,77.823,0.060,1.064
福島県,87.0,91.0,107.939,0.044,1.046
青森県,31.0,32.0,152.826,0.031,1.032
石川県,316.0,324.0,194.071,0.025,1.025
高知県,80.0,82.0,196.497,0.024,1.025
山形県,75.0,76.0,366.323,0.013,1.013
岩手県,0.0,4.0,5000,0,1
秋田県,18.0,18.0,5000,0.000,1
島根県,29.0,29.0,5000,0.000,1
香川県,46.0,46.0,5000,0.000,1
