"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2019年12月30日","9,690.0","9,710.0","9,720.0","9,690.0","19.03K","-0.51%"
"2019年12月27日","9,740.0","9,730.0","9,770.0","9,720.0","22.40K","0.83%"
"2019年12月26日","9,660.0","9,640.0","9,660.0","9,640.0","15.16K","0.42%"
"2019年12月25日","9,620.0","9,620.0","9,650.0","9,620.0","16.95K","-0.10%"
"2019年12月24日","9,630.0","9,630.0","9,640.0","9,620.0","19.77K","-0.10%"
"2019年12月23日","9,640.0","9,630.0","9,640.0","9,620.0","21.98K","0.73%"
"2019年12月20日","9,570.0","9,590.0","9,590.0","9,560.0","9.78K","0.42%"
"2019年12月19日","9,530.0","9,530.0","9,550.0","9,520.0","35.23K","0.21%"
"2019年12月18日","9,510.0","9,500.0","9,510.0","9,490.0","33.41K","-0.11%"
"2019年12月17日","9,520.0","9,500.0","9,520.0","9,480.0","17.12K","1.06%"
"2019年12月16日","9,420.0","9,420.0","9,430.0","9,400.0","9.69K","-0.11%"
"2019年12月13日","9,430.0","9,390.0","9,440.0","9,380.0","48.09K","2.06%"
"2019年12月12日","9,240.0","9,220.0","9,240.0","9,210.0","5.35K","0.43%"
"2019年12月11日","9,200.0","9,180.0","9,200.0","9,170.0","3.76K","0.22%"
"2019年12月10日","9,180.0","9,180.0","9,200.0","9,170.0","4.40K","-0.33%"
"2019年12月09日","9,210.0","9,240.0","9,240.0","9,200.0","8.90K","0.66%"
"2019年12月06日","9,150.0","9,150.0","9,160.0","9,130.0","4.18K","0.44%"
"2019年12月05日","9,110.0","9,110.0","9,150.0","9,110.0","18.70K","0.44%"
"2019年12月04日","9,070.0","9,080.0","9,090.0","9,040.0","23.17K","-1.31%"
"2019年12月03日","9,190.0","9,150.0","9,200.0","9,130.0","35.38K","-1.71%"
"2019年12月02日","9,350.0","9,330.0","9,370.0","9,330.0","16.19K","0.43%"
"2019年11月29日","9,310.0","9,350.0","9,360.0","9,310.0","22.24K","-0.21%"
"2019年11月28日","9,330.0","9,330.0","9,340.0","9,310.0","19.40K","0.43%"
"2019年11月27日","9,290.0","9,280.0","9,290.0","9,260.0","11.64K","0.43%"
"2019年11月26日","9,250.0","9,230.0","9,290.0","9,220.0","23.17K","0.98%"
"2019年11月25日","9,160.0","9,140.0","9,160.0","9,130.0","7.05K","0.55%"
"2019年11月22日","9,110.0","9,090.0","9,130.0","9,070.0","10.33K","0.22%"
"2019年11月21日","9,090.0","9,070.0","9,090.0","9,010.0","21.30K","-0.44%"
"2019年11月20日","9,130.0","9,130.0","9,150.0","9,100.0","10.36K","-0.33%"
"2019年11月19日","9,160.0","9,160.0","9,170.0","9,130.0","12.62K","0.00%"
"2019年11月18日","9,160.0","9,130.0","9,160.0","9,130.0","15.36K","0.44%"
"2019年11月15日","9,120.0","9,070.0","9,120.0","9,060.0","14.01K","0.44%"
"2019年11月14日","9,080.0","9,090.0","9,110.0","9,060.0","8.46K","-0.22%"
"2019年11月13日","9,100.0","9,110.0","9,110.0","9,070.0","10.22K","-0.11%"
"2019年11月12日","9,110.0","9,090.0","9,130.0","9,070.0","19.77K","0.33%"
"2019年11月11日","9,080.0","9,110.0","9,110.0","9,060.0","14.57K","0.33%"
"2019年11月08日","9,050.0","9,090.0","9,120.0","9,050.0","19.57K","0.44%"
"2019年11月07日","9,010.0","9,030.0","9,040.0","8,990.0","22.26K","-0.55%"
"2019年11月06日","9,060.0","9,060.0","9,060.0","9,030.0","7.64K","0.11%"
"2019年11月05日","9,050.0","9,040.0","9,060.0","9,030.0","18.45K","2.14%"
"2019年11月01日","8,860.0","8,820.0","8,870.0","8,820.0","7.26K","-0.78%"
"2019年10月31日","8,930.0","8,930.0","8,950.0","8,900.0","23.16K","0.90%"
"2019年10月30日","8,850.0","8,860.0","8,870.0","8,840.0","5.77K","-0.78%"
"2019年10月29日","8,920.0","8,930.0","8,940.0","8,920.0","10.88K","0.90%"
"2019年10月28日","8,840.0","8,840.0","8,860.0","8,840.0","10.54K","1.38%"
"2019年10月25日","8,720.0","8,700.0","8,720.0","8,680.0","5.92K","0.46%"
"2019年10月24日","8,680.0","8,690.0","8,700.0","8,680.0","4.13K","0.93%"
"2019年10月23日","8,600.0","8,600.0","8,600.0","8,550.0","7.86K","-0.46%"
"2019年10月21日","8,640.0","8,630.0","8,670.0","8,630.0","5.36K","-0.46%"
"2019年10月18日","8,680.0","8,720.0","8,730.0","8,680.0","6.23K","-0.23%"
"2019年10月17日","8,700.0","8,720.0","8,730.0","8,700.0","5.63K","-0.23%"
"2019年10月16日","8,720.0","8,740.0","8,740.0","8,700.0","17.74K","1.16%"
"2019年10月15日","8,620.0","8,610.0","8,630.0","8,600.0","17.14K","1.29%"
"2019年10月11日","8,510.0","8,470.0","8,520.0","8,460.0","39.78K","1.92%"
"2019年10月10日","8,350.0","8,250.0","8,390.0","8,250.0","21.58K","0.97%"
"2019年10月09日","8,270.0","8,250.0","8,290.0","8,240.0","12.69K","-1.90%"
"2019年10月08日","8,430.0","8,380.0","8,450.0","8,380.0","8.28K","0.96%"
"2019年10月07日","8,350.0","8,340.0","8,360.0","8,320.0","6.34K","0.72%"
"2019年10月04日","8,290.0","8,260.0","8,290.0","8,250.0","9.07K","1.22%"
"2019年10月03日","8,190.0","8,190.0","8,200.0","8,160.0","16.00K","-2.27%"
"2019年10月02日","8,380.0","8,390.0","8,410.0","8,380.0","13.85K","-1.76%"
"2019年10月01日","8,530.0","8,480.0","8,540.0","8,480.0","9.27K","1.19%"
"2019年09月30日","8,430.0","8,430.0","8,440.0","8,410.0","9.35K","-0.59%"
"2019年09月27日","8,480.0","8,460.0","8,480.0","8,430.0","5.81K","0.24%"
"2019年09月26日","8,460.0","8,490.0","8,500.0","8,460.0","5.08K","0.83%"
"2019年09月25日","8,390.0","8,390.0","8,400.0","8,340.0","30.31K","-1.99%"
"2019年09月24日","8,560.0","8,580.0","8,580.0","8,530.0","9.28K","-0.58%"
"2019年09月20日","8,610.0","8,630.0","8,640.0","8,610.0","10.82K","0.35%"
"2019年09月19日","8,580.0","8,630.0","8,650.0","8,560.0","17.89K","-0.46%"
