"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2016年12月30日","5,790.0","5,760.0","5,820.0","5,700.0","3.72K","0.17%"
"2016年12月29日","5,780.0","5,820.0","5,820.0","5,550.0","10.86K","-1.87%"
"2016年12月28日","5,890.0","5,900.0","5,920.0","5,880.0","4.43K","0.34%"
"2016年12月27日","5,870.0","5,840.0","5,870.0","5,840.0","1.95K","0.69%"
"2016年12月26日","5,830.0","5,830.0","5,900.0","5,820.0","3.69K","-0.68%"
"2016年12月22日","5,870.0","5,890.0","5,890.0","5,860.0","3.44K","-0.17%"
"2016年12月21日","5,880.0","5,890.0","5,900.0","5,870.0","2.42K","0.51%"
"2016年12月20日","5,850.0","5,850.0","5,880.0","5,830.0","5.02K","0.69%"
"2016年12月19日","5,810.0","5,870.0","5,870.0","5,810.0","3.03K","-1.69%"
"2016年12月16日","5,910.0","5,880.0","5,920.0","5,870.0","3.99K","1.20%"
"2016年12月15日","5,840.0","5,820.0","5,870.0","5,820.0","8.10K","1.92%"
"2016年12月14日","5,730.0","5,740.0","5,750.0","5,720.0","2.59K","0.88%"
"2016年12月13日","5,680.0","5,650.0","5,710.0","5,650.0","2.95K","-0.18%"
"2016年12月12日","5,690.0","5,710.0","5,740.0","5,670.0","4.86K","1.07%"
"2016年12月09日","5,630.0","5,600.0","5,640.0","5,600.0","7.96K","1.81%"
"2016年12月08日","5,530.0","5,570.0","5,590.0","5,530.0","2.61K","-0.18%"
"2016年12月07日","5,540.0","5,510.0","5,540.0","5,510.0","0.83K","0.73%"
"2016年12月06日","5,500.0","5,520.0","5,520.0","5,480.0","1.64K","1.29%"
"2016年12月05日","5,430.0","5,420.0","5,450.0","5,410.0","2.48K","-0.55%"
"2016年12月02日","5,460.0","5,460.0","5,460.0","5,440.0","1.87K","-1.62%"
"2016年12月01日","5,550.0","5,580.0","5,580.0","5,550.0","3.14K","0.18%"
"2016年11月30日","5,540.0","5,540.0","5,550.0","5,520.0","2.13K","0.54%"
"2016年11月29日","5,510.0","5,470.0","5,510.0","5,470.0","1.56K","0.00%"
"2016年11月28日","5,510.0","5,570.0","5,570.0","5,470.0","5.87K","-1.25%"
"2016年11月25日","5,580.0","5,540.0","5,600.0","5,540.0","2.73K","1.27%"
"2016年11月24日","5,510.0","5,490.0","5,530.0","5,490.0","2.90K","1.10%"
"2016年11月22日","5,450.0","5,410.0","5,460.0","5,410.0","2.95K","1.11%"
"2016年11月21日","5,390.0","5,400.0","5,400.0","5,360.0","2.13K","0.19%"
"2016年11月18日","5,380.0","5,350.0","5,400.0","5,350.0","5.18K","1.89%"
"2016年11月17日","5,280.0","5,230.0","5,290.0","5,230.0","1.64K","0.57%"
"2016年11月16日","5,250.0","5,230.0","5,270.0","5,230.0","6.00K","2.34%"
"2016年11月15日","5,130.0","5,150.0","5,150.0","5,110.0","2.52K","-1.16%"
"2016年11月14日","5,190.0","5,150.0","5,190.0","5,150.0","2.45K","2.57%"
"2016年11月11日","5,060.0","5,140.0","5,140.0","5,040.0","3.54K","-2.13%"
"2016年11月10日","5,170.0","5,180.0","5,190.0","5,120.0","6.11K","9.30%"
"2016年11月09日","4,730.0","5,110.0","5,160.0","4,705.0","10.42K","-5.96%"
"2016年11月08日","5,030.0","5,050.0","5,050.0","5,010.0","2.12K","0.70%"
"2016年11月07日","4,995.0","4,960.0","5,000.0","4,960.0","1.58K","2.25%"
"2016年11月04日","4,885.0","4,900.0","4,900.0","4,855.0","5.07K","-1.61%"
"2016年11月02日","4,965.0","5,010.0","5,010.0","4,965.0","3.07K","-2.65%"
"2016年11月01日","5,100.0","5,060.0","5,100.0","5,060.0","0.17K","0.00%"
"2016年10月31日","5,100.0","5,060.0","5,100.0","5,060.0","2.67K","-0.20%"
"2016年10月28日","5,110.0","5,130.0","5,130.0","5,100.0","0.88K","-0.20%"
"2016年10月27日","5,120.0","5,140.0","5,140.0","5,120.0","0.39K","-0.19%"
"2016年10月26日","5,130.0","5,140.0","5,140.0","5,120.0","0.39K","-0.77%"
"2016年10月25日","5,170.0","5,150.0","5,170.0","5,150.0","3.02K","1.37%"
"2016年10月24日","5,100.0","5,100.0","5,100.0","5,080.0","0.83K","0.59%"
"2016年10月21日","5,070.0","5,080.0","5,100.0","5,060.0","1.28K","0.00%"
"2016年10月20日","5,070.0","5,040.0","5,070.0","5,040.0","0.63K","0.20%"
"2016年10月19日","5,060.0","5,070.0","5,080.0","5,060.0","0.17K","-0.39%"
"2016年10月18日","5,080.0","5,080.0","5,080.0","5,030.0","0.95K","0.79%"
"2016年10月17日","5,040.0","5,050.0","5,050.0","5,030.0","0.94K","0.20%"
"2016年10月14日","5,030.0","5,030.0","5,030.0","5,010.0","0.80K","0.60%"
"2016年10月13日","5,000.0","5,090.0","5,090.0","5,000.0","2.61K","-0.99%"
"2016年10月12日","5,050.0","5,070.0","5,070.0","5,040.0","1.34K","-1.37%"
"2016年10月11日","5,120.0","5,120.0","5,140.0","5,110.0","1.75K","0.59%"
"2016年10月07日","5,090.0","5,080.0","5,100.0","5,080.0","2.79K","0.20%"
"2016年10月06日","5,080.0","5,090.0","5,100.0","5,080.0","1.53K","0.99%"
"2016年10月05日","5,030.0","5,030.0","5,040.0","5,020.0","1.43K","0.00%"
