2020/03/28 00:09:34 UTC
Country,Total deaths,Td,Deaths/Mil.
China,3292,1186.320,2.307
S.Korea,139,82.502,2.711
Japan,49,12.873,0.401
SanMarino,21,12.445,618.888
Bahrain,4,11.447,2.352
Denmark,52,11.187,8.972
Iran,2378,10.776,28.317
Venezuela,2,8.774,0.071
Taiwan,2,8.714,0.082
Malaysia,26,8.053,0.806
Italy,9134,7.960,151.110
Sweden,105,7.872,10.401
Slovenia,9,7.864,4.329
Egypt,30,7.682,0.280
Iceland,2,7.676,5.861
Norway,19,7.672,3.507
HongKong,4,7.575,0.533
Singapore,2,7.551,0.342
Greece,28,7.257,2.696
Bangladesh,5,7.000,0.031
Finland,7,6.838,1.264
Bulgaria,3,6.699,0.430
Switzerland,231,6.583,26.695
Lebanon,8,6.578,1.166
Cyprus,5,6.300,4.136
Iraq,40,6.147,0.961
DRC,3,6.093,0.035
Indonesia,87,5.752,0.333
CostaRica,2,5.744,0.395
Luxembourg,15,5.554,23.963
Peru,11,5.504,0.329
Albania,8,5.421,2.796
Czechia,9,5.381,0.841
Germany,351,5.362,4.188
Pakistan,11,5.138,0.048
Belgium,289,5.104,24.917
France,1995,5.050,30.563
Philippines,54,5.046,0.471
BosniaandHerzegovina,4,5.011,1.215
Spain,5138,5.005,109.923
Thailand,5,4.772,0.070
BurkinaFaso,9,4.692,0.450
Austria,58,4.663,6.443
NorthMacedonia,3,4.642,1.438
Netherlands,546,4.597,31.860
Mexico,8,4.584,0.068
Paraguay,3,4.574,0.404
UAE,2,4.568,0.202
Hungary,10,4.539,1.033
Australia,13,4.447,0.511
Moldova,2,4.396,0.492
Andorra,3,4.372,38.831
Ireland,22,4.282,4.460
India,20,4.247,0.014
Poland,16,4.212,0.426
SaudiArabia,3,4.161,0.087
Portugal,76,4.029,7.461
Panama,9,3.994,2.083
Cameroon,2,3.993,0.066
Colombia,6,3.954,0.122
Israel,12,3.930,1.388
Croatia,3,3.884,0.732
Brazil,92,3.875,0.431
Romania,26,3.855,1.348
Serbia,8,3.835,0.909
UK,759,3.747,11.169
Chile,5,3.701,0.261
Argentina,13,3.687,0.287
Azerbaijan,3,3.671,0.291
Tunisia,7,3.646,0.586
Cuba,2,3.628,0.175
Ecuador,41,3.621,2.318
Morocco,23,3.493,0.600
Russia,4,3.442,0.027
Algeria,26,3.324,0.572
Canada,55,3.287,1.457
Afghanistan,4,3.187,0.109
USA,1607,2.951,4.849
Lithuania,5,2.947,1.844
Ghana,4,2.456,0.117
Ukraine,5,2.398,0.113
DominicanRepublic,20,2.324,1.859
Turkey,92,2.267,1.098
