2020/05/27 00:24:11 UTC
Country,Total deaths,Td,Deaths/Mil.
All,World,351667,37.153,45.089
All,Total:,351667,37.153,45.113
North America,USA,100579,51.687,304.044
Europe,UK,37048,75.974,546.025
Europe,Italy,32955,287.676,545.021
Europe,France,28530,461.016,437.189
Europe,Spain,27117,300.647,579.973
South America,Brazil,24549,13.228,115.562
Europe,Belgium,9334,165.094,805.627
Europe,Germany,8498,251.717,101.439
North America,Mexico,7633,15.163,59.256
Asia,Iran,7508,42.934,89.497
North America,Canada,6639,53.332,176.076
Europe,Netherlands,5856,163.962,341.893
Asia,China,4634,12581.314,3.239
Asia,Turkey,4397,105.337,52.178
Asia,India,4344,13.943,3.140
Europe,Sweden,4125,43.424,408.667
Europe,Russia,3807,25.672,26.088
South America,Peru,3788,18.266,115.055
South America,Ecuador,3203,54.107,181.865
Europe,Switzerland,1915,1041.301,221.438
Europe,Ireland,1615,245.531,327.440
Asia,Indonesia,1418,21.556,5.203
Europe,Portugal,1342,93.075,131.573
Europe,Romania,1216,69.774,63.146
Asia,Pakistan,1197,17.843,5.435
Europe,Poland,1024,35.689,27.045
Asia,Philippines,886,38.736,8.094
Asia,Japan,846,251.199,6.667
South America,Chile,806,10.719,42.202
Africa,Egypt,797,14.703,7.819
South America,Colombia,776,15.844,15.282
Europe,Ukraine,644,36.193,14.710
Europe,Austria,643,337.971,71.419
Africa,Algeria,617,29.476,14.118
Europe,Denmark,563,141.959,97.249
Africa,SouthAfrica,524,14.101,8.854
Asia,Bangladesh,522,12.753,3.167
Europe,Hungary,499,82.653,51.607
South America,Argentina,490,11.934,10.853
North America,DominicanRepublic,468,33.803,43.170
Asia,SaudiArabia,411,19.538,11.822
Europe,Czechia,317,106.516,29.598
North America,Panama,313,32.667,72.651
Europe,Finland,312,137.993,56.299
Asia,Israel,281,827.219,30.553
Asia,S.Korea,269,368.072,5.248
Europe,Moldova,267,34.246,66.156
South America,Bolivia,261,10.875,22.377
Asia,UAE,253,22.529,25.613
Africa,Nigeria,249,18.303,1.224
Europe,Serbia,239,107.827,27.334
Europe,Norway,235,348.211,43.367
Asia,Afghanistan,220,11.138,5.672
Europe,Belarus,208,25.686,22.014
Africa,Morocco,202,63.904,5.492
North America,Honduras,182,12.023,18.422
Africa,Cameroon,175,11.231,6.600
Europe,Greece,173,267.414,16.570
Asia,Kuwait,172,16.303,40.335
Africa,Sudan,170,12.880,3.891
Asia,Iraq,169,16.471,4.218
Europe,BosniaandHerzegovina,149,120.953,45.391
Europe,Bulgaria,130,61.964,18.678
Europe,NorthMacedonia,116,53.377,55.696
Asia,Malaysia,115,56.477,3.554
Europe,Luxembourg,110,521.458,176.028
Europe,Slovenia,108,3561.390,51.978
Australia/Oceania,Australia,102,530.025,4.004
Europe,Croatia,101,904.901,24.575
Asia,Armenia,91,12.631,30.710
North America,Cuba,82,122.881,7.227
Africa,Mali,70,27.193,3.445
Africa,DRC,68,12.481,0.764
Africa,Somalia,67,37.243,4.229
Europe,Estonia,65,204.509,49.016
Europe,Lithuania,65,100.833,23.835
Africa,Niger,63,119.114,2.581
Africa,Chad,62,19.385,3.809
North America,Guatemala,59,7.692,3.295
Asia,Thailand,57,1228.775,0.824
Asia,Azerbaijan,52,21.623,5.137
Africa,Kenya,52,14.427,0.964
Africa,BurkinaFaso,52,109.692,2.500
Europe,Andorra,51,1848.622,660.193
Asia,Yemen,49,12.147,1.574
Africa,Tunisia,48,635.006,4.065
Asia,Tajikistan,47,9.278,4.936
Europe,ChannelIslands,45,675.642,259.052
Africa,SierraLeone,44,14.064,5.544
Europe,SanMarino,42,291.336,1238.054
Asia,Kazakhstan,37,17.080,1.972
Asia,Oman,37,13.526,7.265
Africa,Senegal,36,25.691,2.152
North America,ElSalvador,36,15.662,5.553
North America,Nicaragua,35,4.432,5.303
Africa,Ghana,34,31.333,1.099
Europe,Albania,33,59.951,11.481
North America,Haiti,31,7.029,2.712
Africa,IvoryCoast,30,34.611,1.138
Asia,Qatar,28,17.204,9.735
Europe,Slovakia,28,405.409,5.126
Asia,Lebanon,26,27.240,3.809
Africa,Liberia,26,36.631,5.180
Europe,IsleofMan,24,1627.855,282.357
Asia,Singapore,23,41.745,3.935
Europe,Latvia,22,122.172,11.658
South America,Uruguay,22,72.611,6.330
Australia/Oceania,NewZealand,21,7295.027,4.356
Africa,Guinea,20,36.089,1.527
Africa,Mayotte,20,27.534,73.501
Asia,Cyprus,17,214.520,14.085
Asia,Kyrgyzstan,16,29.164,2.452
Africa,Congo,16,32.782,2.891
Asia,Bahrain,14,22.265,8.260
Asia,Uzbekistan,14,34.214,0.417
Africa,Djibouti,14,11.492,14.193
Africa,Gabon,14,12.167,6.306
