2020/05/18 00:18:35 UTC
Country,Total deaths,Td,Deaths/Mil.
China,4633,13875.552,3.240
Iceland,10,8740.932,29.329
NewZealand,21,3634.170,4.357
Slovenia,104,1183.085,50.014
Thailand,56,1127.722,0.795
Tunisia,45,1003.883,3.819
Guadeloupe,13,749.636,32.458
Israel,272,723.933,31.494
HongKong,4,638.039,0.534
Andorra,51,612.970,660.185
Switzerland,1881,608.308,217.514
France,28108,403.568,430.772
S.Korea,262,377.817,5.121
SintMaarten,15,371.175,350.260
Croatia,95,357.589,23.131
Australia,98,349.966,3.853
ChannelIslands,43,333.571,247.599
Luxembourg,107,333.380,171.281
IsleofMan,24,322.654,282.412
Libya,3,312.950,0.415
Norway,232,312.720,42.834
Palestine,2,305.671,0.394
Cyprus,17,293.865,14.086
Estonia,63,258.400,47.481
Myanmar,6,220.758,0.098
Austria,629,216.472,69.902
Malaysia,113,196.671,3.491
Germany,8049,194.331,96.095
Slovakia,28,193.481,5.135
Italy,31908,192.159,527.660
Martinique,14,183.881,37.333
Netherlands,5680,174.419,331.543
Jamaica,9,164.795,3.046
Japan,744,153.103,5.894
Belgium,9052,144.049,781.406
Spain,27650,138.276,591.393
Lithuania,56,131.076,20.532
Uruguay,20,129.462,5.749
Czechia,298,126.870,27.848
Denmark,547,125.621,94.462
Greece,163,124.879,15.644
SanMarino,41,119.605,1208.622
Ireland,1543,117.304,312.926
Bermuda,9,116.917,144.439
Serbia,230,116.175,26.317
Bahamas,11,114.006,27.958
Barbados,7,104.300,24.341
Portugal,1218,101.374,119.426
Cuba,79,99.610,6.963
BurkinaFaso,51,83.377,2.435
Lebanon,26,82.554,3.796
Finland,298,82.387,53.806
Benin,2,79.791,0.165
Latvia,19,76.433,10.065
Angola,2,75.180,0.042
Hungary,451,73.217,46.655
Turkey,4140,72.574,49.148
BosniaandHerzegovina,133,72.118,40.539
Liberia,21,70.650,4.181
NorthMacedonia,101,65.472,48.471
CostaRica,10,65.081,1.970
Romania,1107,61.345,57.479
Albania,31,59.568,10.781
Paraguay,11,59.052,1.539
Georgia,12,56.700,3.004
Jordan,9,55.858,0.881
UK,34636,54.840,510.526
Morocco,192,54.131,5.198
Malta,6,51.199,13.595
Iran,6988,50.982,83.311
Niger,54,50.381,2.270
Canada,5782,50.194,153.332
USA,90973,47.967,275.054
Uzbekistan,12,47.561,0.357
Bulgaria,108,46.074,15.533
Panama,269,43.330,62.460
Kyrgyzstan,14,42.787,2.153
Ecuador,2736,41.360,155.344
Guyana,10,41.195,12.735
Philippines,824,40.071,7.507
SaoTomeandPrincipe,7,39.755,32.021
Sweden,3679,39.636,364.568
World,316514,39.117,40.628
Total:,316514,39.117,40.608
Poland,925,38.332,24.462
SriLanka,9,37.860,0.422
Djibouti,4,33.105,4.057
DominicanRepublic,428,33.079,39.519
Eswatini,2,32.691,1.724
Ukraine,514,31.090,11.746
Singapore,22,29.776,3.764
Kazakhstan,34,28.953,1.811
Algeria,548,27.695,12.492
Cameroon,140,26.141,5.275
Mali,52,25.692,2.600
Iraq,123,25.682,3.071
Moldova,211,25.105,52.297
Ghana,29,24.379,0.935
Zimbabwe,4,24.179,0.273
Indonesia,1148,23.646,4.195
Malawi,3,23.617,0.171
Syria,3,23.072,0.155
UAE,220,22.786,22.275
Guinea,16,22.676,1.222
Belarus,165,22.533,17.463
IvoryCoast,27,22.506,1.024
Egypt,630,21.379,6.182
Azerbaijan,39,20.670,3.848
Kenya,50,20.493,0.958
Ethiopia,5,20.435,0.047
Maldives,4,20.358,7.415
Russia,2631,20.107,18.032
Pakistan,873,18.621,3.957
Honduras,138,18.455,13.935
Somalia,56,18.234,3.547
Venezuela,10,18.135,0.351
Mayotte,18,17.876,66.192
Senegal,25,17.721,1.502
Armenia,60,17.553,20.246
Bahrain,12,17.082,7.085
CaboVerde,3,16.866,5.405
SaudiArabia,312,16.795,8.981
Argentina,373,16.703,8.276
Peru,2648,16.547,80.439
Mexico,5045,16.324,39.167
India,3025,16.077,2.181
EquatorialGuinea,7,16.046,5.008
Nigeria,182,15.986,0.886
Guinea-Bissau,4,15.644,2.040
Qatar,15,15.058,5.218
ElSalvador,27,14.523,4.157
Colombia,574,14.187,11.278
Bangladesh,328,13.860,1.989
DRC,61,13.812,0.671
Afghanistan,169,13.787,4.362
Congo,15,13.645,2.724
Oman,22,13.024,4.323
Chile,450,12.908,23.568
SouthAfrica,264,12.902,4.458
Brazil,16118,12.497,75.883
SierraLeone,32,12.084,3.992
Bolivia,165,12.029,14.145
Chad,53,10.878,3.266
Nicaragua,8,10.872,1.280
Kuwait,112,10.335,26.277
Togo,11,9.540,1.316
Guatemala,33,9.397,1.853
Sudan,97,9.386,2.204
SouthSudan,4,7.826,0.359
Gabon,11,7.015,4.958
Nepal,2,6.149,0.068
Yemen,20,5.869,0.625
Tajikistan,39,5.808,4.094
Haiti,20,5.283,1.754
Zambia,7,4.680,0.381
Mauritania,4,2.370,0.839
