20200322 07:46:24 UTC
Country,3/15,3/22,Td
China,80849.0,81008.0,2469.606
DiamondPrincess,696.0,712.0,213.480
S.Korea,8162.0,8799.0,64.566
Qatar,401.0,481.0,26.673
Japan,839.0,1054.0,21.268
Palestine,38.0,53.0,14.584
Bahrain,214.0,310.0,13.092
Iran,13938.0,20610.0,12.404
Georgia,33.0,49.0,12.274
Afghanistan,16.0,24.0,11.967
Denmark,864.0,1326.0,11.327
UAE,98.0,153.0,10.892
Kuwait,112.0,176.0,10.735
SanMarino,101.0,160.0,10.547
Greece,331.0,530.0,10.307
Macao,11.0,18.0,9.852
Brunei,50.0,83.0,9.574
Vietnam,56.0,94.0,9.368
Sweden,1040.0,1770.0,9.124
Iraq,124.0,214.0,8.891
Norway,1249.0,2164.0,8.828
Slovenia,219.0,383.0,8.680
Estonia,171.0,306.0,8.338
Albania,42.0,76.0,8.181
Total:,168897.0,306677.0,8.134
HongKong,149.0,273.0,8.013
Bolivia,10.0,19.0,7.559
Jamaica,10.0,19.0,7.559
Singapore,226.0,432.0,7.489
Finland,244.0,523.0,6.364
Italy,24747.0,53578.0,6.281
Philippines,140.0,307.0,6.179
Azerbaijan,23.0,53.0,5.812
Lebanon,99.0,230.0,5.756
Egypt,126.0,294.0,5.726
Senegal,24.0,56.0,5.726
Oman,22.0,52.0,5.641
Cyprus,33.0,84.0,5.193
FrenchGuiana,7.0,18.0,5.137
Taiwan,59.0,153.0,5.092
Romania,139.0,367.0,4.998
France,5423.0,14459.0,4.948
Iceland,174.0,473.0,4.852
Malaysia,428.0,1183.0,4.772
Belarus,27.0,76.0,4.688
Algeria,48.0,139.0,4.563
Slovakia,61.0,178.0,4.531
India,112.0,332.0,4.465
Tunisia,20.0,60.0,4.417
Switzerland,2217.0,6863.0,4.294
Paraguay,7.0,22.0,4.237
Belgium,886.0,2815.0,4.197
Bulgaria,51.0,163.0,4.176
Netherlands,1135.0,3631.0,4.172
Hungary,32.0,103.0,4.151
Spain,7843.0,25496.0,4.116
SaudiArabia,118.0,392.0,4.041
CostaRica,35.0,117.0,4.020
Morocco,28.0,96.0,3.938
Malta,21.0,73.0,3.894
Austria,860.0,2992.0,3.892
Moldova,23.0,80.0,3.892
Ghana,6.0,21.0,3.873
IvoryCoast,4.0,14.0,3.873
Argentina,45.0,158.0,3.863
Serbia,48.0,171.0,3.819
Australia,300.0,1072.0,3.810
Thailand,114.0,411.0,3.784
UK,1391.0,5018.0,3.782
Martinique,10.0,37.0,3.709
Indonesia,117.0,450.0,3.602
Germany,5813.0,22364.0,3.601
BosniaandHerzegovina,24.0,93.0,3.582
Czechia,253.0,995.0,3.543
SouthAfrica,61.0,240.0,3.542
Latvia,30.0,124.0,3.419
Israel,213.0,883.0,3.412
Canada,317.0,1328.0,3.387
Croatia,49.0,206.0,3.379
SriLanka,18.0,77.0,3.338
Poland,123.0,536.0,3.296
Cambodia,12.0,53.0,3.267
NorthMacedonia,19.0,85.0,3.239
Peru,71.0,318.0,3.236
Guyana,4.0,18.0,3.226
Ireland,170.0,785.0,3.171
Mexico,43.0,203.0,3.126
Bangladesh,5.0,24.0,3.093
Russia,63.0,306.0,3.070
FrenchPolynesia,3.0,15.0,3.015
Guam,3.0,15.0,3.015
Portugal,245.0,1280.0,2.935
Cuba,4.0,21.0,2.926
PuertoRico,4.0,21.0,2.926
Liechtenstein,7.0,37.0,2.914
Panama,43.0,245.0,2.788
Colombia,34.0,196.0,2.770
Kazakhstan,9.0,54.0,2.708
Armenia,26.0,160.0,2.670
NewZealand,8.0,52.0,2.592
Réunion,7.0,47.0,2.548
Venezuela,10.0,70.0,2.493
Chile,75.0,537.0,2.465
USA,3400.0,25896.0,2.390
Honduras,3.0,24.0,2.333
Lithuania,12.0,99.0,2.299
FaeroeIslands,11.0,92.0,2.284
Luxembourg,77.0,670.0,2.243
Monaco,2.0,18.0,2.208
Brazil,121.0,1178.0,2.132
Jordan,10.0,100.0,2.107
DominicanRepublic,11.0,112.0,2.091
Uzbekistan,4.0,41.0,2.085
ChannelIslands,3.0,32.0,2.050
Nigeria,2.0,22.0,2.023
Mayotte,1.0,11.0,2.023
DRC,2.0,23.0,1.987
Pakistan,53.0,645.0,1.942
Ecuador,37.0,532.0,1.820
Ukraine,3.0,47.0,1.763
Togo,1.0,16.0,1.750
Guatemala,1.0,17.0,1.713
Rwanda,1.0,17.0,1.713
Andorra,5.0,88.0,1.692
Uruguay,6.0,110.0,1.668
Guadeloupe,3.0,56.0,1.658
Cameroon,2.0,40.0,1.620
BurkinaFaso,3.0,64.0,1.585
TrinidadandTobago,2.0,49.0,1.517
Turkey,6.0,947.0,0.959
