20200322 07:43:57 UTC
Country,3/12,3/19,Td
China,80815.0,80928.0,3472.486
DiamondPrincess,696.0,712.0,213.480
S.Korea,7979.0,8565.0,68.463
Japan,701.0,923.0,17.636
Bahrain,210.0,278.0,17.297
Palestine,35.0,47.0,16.459
Denmark,801.0,1151.0,13.384
Qatar,320.0,460.0,13.370
Maldives,9.0,13.0,13.195
Kuwait,100.0,148.0,12.376
HongKong,132.0,208.0,10.670
Georgia,25.0,40.0,10.323
Iran,11364.0,18407.0,10.061
UAE,85.0,140.0,9.724
Total:,145336.0,242205.0,9.500
Macao,10.0,17.0,9.144
Singapore,200.0,345.0,8.899
SanMarino,80.0,140.0,8.670
Sweden,814.0,1439.0,8.516
Norway,995.0,1786.0,8.294
Paraguay,6.0,11.0,8.005
Jamaica,8.0,15.0,7.719
Belarus,27.0,51.0,7.629
Iraq,101.0,192.0,7.553
Vietnam,44.0,85.0,7.369
Albania,33.0,64.0,7.325
Brunei,37.0,73.0,7.140
Lebanon,77.0,157.0,6.810
Taiwan,50.0,108.0,6.300
Slovenia,141.0,319.0,5.943
Italy,17660.0,41035.0,5.755
India,82.0,194.0,5.634
Tunisia,16.0,39.0,5.446
Greece,190.0,464.0,5.434
Iceland,134.0,330.0,5.384
FrenchGuiana,6.0,15.0,5.295
Oman,19.0,48.0,5.235
Finland,155.0,400.0,5.118
Cuba,4.0,11.0,4.796
Azerbaijan,15.0,44.0,4.509
Serbia,35.0,103.0,4.495
France,3661.0,10995.0,4.412
Netherlands,804.0,2460.0,4.339
Romania,89.0,277.0,4.273
Argentina,31.0,97.0,4.253
Afghanistan,7.0,22.0,4.237
SaudiArabia,86.0,274.0,4.187
Egypt,80.0,256.0,4.171
Belgium,559.0,1795.0,4.159
Estonia,79.0,267.0,3.984
Philippines,64.0,217.0,3.974
Spain,5232.0,17963.0,3.933
Croatia,32.0,110.0,3.930
Algeria,26.0,90.0,3.908
BosniaandHerzegovina,18.0,64.0,3.825
Australia,199.0,709.0,3.819
NorthMacedonia,14.0,50.0,3.812
Senegal,10.0,36.0,3.788
Switzerland,1139.0,4131.0,3.766
Thailand,75.0,272.0,3.766
ChannelIslands,3.0,11.0,3.734
CostaRica,23.0,87.0,3.647
Hungary,19.0,73.0,3.605
Slovakia,32.0,124.0,3.582
Panama,27.0,109.0,3.477
UK,798.0,3269.0,3.441
Brazil,151.0,621.0,3.431
Germany,3675.0,15320.0,3.399
Austria,504.0,2179.0,3.314
Malta,12.0,53.0,3.267
Russia,45.0,199.0,3.264
Indonesia,69.0,308.0,3.243
Canada,179.0,801.0,3.238
Malaysia,197.0,900.0,3.194
Bulgaria,23.0,107.0,3.156
Cyprus,14.0,67.0,3.099
Czechia,141.0,694.0,3.044
Bolivia,3.0,15.0,3.015
Latvia,17.0,86.0,2.993
USA,2269.0,11780.0,2.946
Poland,68.0,355.0,2.936
Cambodia,7.0,37.0,2.914
Israel,126.0,677.0,2.886
Ghana,2.0,11.0,2.846
NewZealand,5.0,28.0,2.816
Réunion,5.0,28.0,2.816
Bangladesh,3.0,18.0,2.708
Nigeria,2.0,12.0,2.708
Honduras,2.0,12.0,2.708
Ireland,90.0,557.0,2.662
SouthAfrica,24.0,150.0,2.648
Cameroon,2.0,13.0,2.592
DominicanRepublic,5.0,34.0,2.531
Lithuania,6.0,41.0,2.525
Liechtenstein,4.0,28.0,2.493
Ukraine,3.0,21.0,2.493
DRC,2.0,14.0,2.493
Portugal,112.0,785.0,2.492
Martinique,3.0,23.0,2.382
Chile,43.0,342.0,2.340
Moldova,6.0,49.0,2.310
Colombia,13.0,108.0,2.292
Peru,28.0,234.0,2.285
Morocco,7.0,63.0,2.208
Mexico,12.0,118.0,2.123
Luxembourg,34.0,335.0,2.121
SriLanka,6.0,60.0,2.107
Ecuador,19.0,199.0,2.066
Kazakhstan,4.0,44.0,2.023
Armenia,8.0,122.0,1.781
Pakistan,28.0,454.0,1.742
BurkinaFaso,2.0,33.0,1.731
Venezuela,2.0,42.0,1.594
FaeroeIslands,3.0,72.0,1.527
Guadeloupe,1.0,33.0,1.388
Turkey,5.0,192.0,1.330
Jordan,1.0,69.0,1.146
Andorra,1.0,74.0,1.127
