2020/04/13 02:08:46 UTC
Country,Total deaths,Td,Deaths/Mil.
China,3341,879.525,2.318
S.Korea,217,199.643,4.242
Taiwan,6,123.064,0.247
Martinique,6,122.902,15.987
Guadeloupe,8,84.281,19.972
TrinidadandTobago,8,66.079,5.735
Iceland,8,56.916,23.445
Australia,61,55.745,2.393
HongKong,4,51.717,0.533
Zambia,2,49.694,0.093
Jordan,7,44.716,0.684
Norway,128,39.072,23.619
Austria,350,38.307,38.853
Venezuela,9,37.441,0.298
Palestine,2,35.548,0.393
Thailand,38,34.912,0.551
Luxembourg,66,33.862,105.427
Lebanon,20,31.858,2.921
Montenegro,3,31.351,4.776
Switzerland,1106,30.279,127.811
Italy,19899,29.363,329.098
SriLanka,7,29.349,0.333
Slovenia,53,29.283,25.510
Estonia,25,29.105,18.850
Uruguay,7,28.979,2.013
Albania,23,28.868,7.993
Iran,4474,28.600,53.237
Paraguay,6,28.466,0.851
Latvia,5,26.479,2.650
Greece,98,26.070,9.411
Armenia,13,24.801,4.389
NewZealand,5,24.429,1.038
Bulgaria,29,23.484,4.167
Tunisia,31,23.282,2.631
Malaysia,76,23.019,2.353
Spain,17209,22.944,368.047
Senegal,2,22.646,0.121
Jamaica,4,22.440,1.333
Cameroon,12,22.045,0.454
Kenya,8,21.994,0.162
Lithuania,23,21.814,8.453
Germany,3022,21.072,36.069
Czechia,138,20.623,12.876
Barbados,4,20.444,13.915
Philippines,297,20.304,2.684
Andorra,29,20.072,375.318
Israel,103,18.810,11.903
Croatia,23,18.003,5.606
CostaRica,3,17.940,0.590
Iraq,76,17.900,1.911
SouthAfrica,25,17.818,0.426
Syria,2,17.680,0.080
Honduras,25,17.534,2.545
Denmark,273,17.527,47.136
Mauritius,9,17.110,7.083
Mayotte,3,16.866,10.990
Congo,5,16.866,0.917
Tanzania,3,16.866,0.047
ChannelIslands,9,16.821,51.766
SanMarino,35,16.649,1031.517
Algeria,293,16.368,6.736
SintMaarten,9,16.114,209.880
France,14393,16.056,220.469
Angola,2,15.888,0.063
Netherlands,2737,15.750,159.704
Cyprus,11,15.731,9.106
Finland,56,15.530,10.112
Georgia,3,15.520,0.747
Haiti,3,15.236,0.273
Pakistan,91,14.775,0.418
Slovakia,2,14.750,0.367
Nigeria,10,14.662,0.062
World,114247,14.604,14.673
Total:,114247,14.604,14.654
AntiguaandBarbuda,2,14.420,20.381
Portugal,504,14.009,49.443
Argentina,95,13.813,2.108
Belgium,3600,13.717,310.615
BurkinaFaso,27,13.292,1.304
NorthMacedonia,34,12.995,16.302
DRC,20,12.976,0.256
Sweden,899,12.944,89.017
Kazakhstan,10,12.802,0.536
Togo,3,12.786,0.355
Canada,717,12.420,18.996
Morocco,118,12.312,3.197
BosniaandHerzegovina,39,12.025,11.905
Chile,80,12.006,4.181
Bahrain,6,11.915,3.528
Poland,232,11.729,6.118
Bermuda,4,11.228,64.211
Guyana,6,11.043,7.600
Romania,316,11.025,16.402
Zimbabwe,3,10.982,0.193
Malta,3,10.780,6.794
USA,22115,10.720,66.807
Sudan,2,10.559,0.042
Bahamas,8,10.517,20.348
Ethiopia,3,10.140,0.025
DominicanRepublic,173,10.018,15.976
Qatar,7,9.980,2.430
UK,10612,9.893,156.261
Bolivia,24,9.816,2.080
IsleofMan,2,9.805,23.518
Serbia,80,9.689,9.146
Afghanistan,18,9.643,0.474
Indonesia,373,9.118,1.407
Panama,87,9.041,20.164
Azerbaijan,11,9.015,1.082
Moldova,31,8.925,7.685
Kyrgyzstan,5,8.712,0.769
Egypt,159,8.579,1.540
SaudiArabia,59,8.510,1.693
Ireland,334,8.255,67.630
Oman,4,8.180,0.781
ElSalvador,6,8.166,0.912
Singapore,8,7.947,1.368
Myanmar,4,7.794,0.078
Colombia,109,7.756,2.160
Turkey,1198,7.655,14.198
Hungary,99,7.590,10.251
Cuba,18,7.489,1.587
India,331,7.399,0.252
Brazil,1230,7.333,5.787
UAE,22,7.072,2.225
Ecuador,333,7.038,18.867
Belize,2,7.000,5.000
Japan,123,6.916,0.968
Ukraine,83,6.517,1.883
Mexico,296,6.244,2.286
Uzbekistan,4,6.230,0.120
IvoryCoast,5,6.157,0.192
Guatemala,5,6.104,0.290
Mali,9,6.036,0.429
Russia,130,5.327,0.890
Malawi,2,5.078,0.108
Ghana,8,4.989,0.254
Niger,12,4.594,0.499
Peru,193,4.505,5.852
Djibouti,2,3.766,2.028
Belarus,26,3.722,2.753
Liberia,5,3.602,1.000
Bangladesh,34,2.997,0.219
