2020/06/30 20:50:59 UTC
Continent,Country,Total deaths,Td,Deaths/Mil.
Europe,San Marino,42,3384.291,1237.797
Europe,Belgium,9747,337.415,840.984
Europe,UK,43730,203.539,644.228
Europe,Spain,28355,517.232,606.423
Europe,Italy,34767,625.823,575.023
Europe,Sweden,5310,35.105,525.766
Europe,France,29843,194.952,457.240
North America,USA,129342,38.173,390.767
Europe,Netherlands,6113,394.197,356.763
Europe,Ireland,1736,1370.859,351.589
South America,Chile,5688,39.326,297.559
South America,Peru,9677,47.373,293.520
South America,Brazil,58927,22.138,277.243
Europe,Channel Islands,47,2768.083,270.312
South America,Ecuador,4527,44.804,256.625
North America,Canada,8591,199.124,227.594
Europe,Switzerland,1963,378.453,226.790
North America,Mexico,27121,27.632,210.422
Europe,Luxembourg,110,114.742,175.759
Europe,Portugal,1576,71.926,154.567
Asia,Armenia,443,22.503,149.505
Europe,North Macedonia,302,24.500,144.945
North America,Panama,620,23.859,143.705
Europe,Moldova,545,33.340,135.094
Asia,Iran,10817,52.392,128.809
Africa,Mayotte,35,72.280,128.329
Europe,Germany,9051,256.970,108.040
Europe,Denmark,605,254.623,104.435
Europe,Monaco,4,247.446,101.942
South America,Bolivia,1071,17.609,91.748
Europe,Romania,1651,46.378,85.825
Asia,Kuwait,354,35.483,82.900
Europe,Austria,705,220.884,78.294
North America,Saint Martin,3,206.202,77.581
North America,Dominican Republic,747,27.904,68.856
All,World,511467,35.584,65.634
All,Total:,511467,35.584,65.615
Europe,Russia,9320,54.105,63.860
South America,Colombia,3223,16.785,63.346
Asia,Turkey,5131,85.656,60.831
Europe,Hungary,585,377.950,60.542
Africa,Sao Tome and Principe,13,286.263,59.319
Europe,Finland,328,497.606,59.198
Europe,Bosnia and Herzegovina,186,20.762,56.681
Africa,Djibouti,54,271.268,54.657
Europe,Slovenia,111,95.822,53.419
Europe,Estonia,69,1203.908,52.002
North America,Turks and Caicos,2,4.516,51.659
Asia,Bahrain,87,30.734,51.161
South America,French Guiana,15,9.944,50.237
North America,Honduras,485,12.519,48.969
Asia,Iraq,1943,11.910,48.309
Asia,Saudi Arabia,1649,28.556,47.373
Europe,Norway,250,334.140,46.120
Africa,South Africa,2657,12.200,44.808
North America,Guatemala,746,20.685,41.652
Europe,Belarus,392,94.936,41.486
Asia,Qatar,113,58.207,40.245
Europe,Poland,1463,74.591,38.667
North America,Martinique,14,193.262,37.314
North America,Guadeloupe,14,107.939,35.000
Asia,Israel,320,26.930,34.796
Asia,Oman,176,19.088,34.475
Europe,Czechia,349,39.591,32.597
Europe,Bulgaria,223,25.170,32.081
Asia,UAE,315,67.739,31.851
Europe,Serbia,277,42.423,31.706
North America,Antigua and Barbuda,3,4.971,30.652
Europe,Iceland,10,467.961,29.305
Africa,Egypt,2953,26.316,28.877
Europe,Lithuania,78,548.579,28.676
South America,Argentina,1283,14.869,28.393
North America,Aruba,3,247.446,28.107
Africa,Mauritania,129,14.483,27.763
Africa,Cabo Verde,15,18.505,26.980
North America,El Salvador,174,16.620,26.838
Europe,Ukraine,1159,27.831,26.508
Europe,Croatia,107,28.058,26.047
Africa,Equatorial Guinea,32,26.309,22.821
South America,Suriname,13,10.130,22.163
Europe,Albania,62,20.255,21.547
Asia,Azerbaijan,213,17.156,21.003
Africa,Algeria,912,31.471,20.788
Europe,Malta,9,647.743,20.378
Asia,Pakistan,4304,33.471,19.491
Asia,Afghanistan,746,62.340,19.173
Europe,Montenegro,12,12.102,19.117
Africa,Gabon,42,37.479,18.874
Europe,Greece,192,133.138,18.417
Asia,Maldives,9,77.102,16.654
Europe,Latvia,30,772.510,15.912
Asia,Cyprus,19,481.803,15.744
South America,Guyana,12,35.526,15.268
Africa,Sudan,572,77.898,13.038
Asia,India,17410,17.015,12.631
Africa,Guinea-Bissau,24,79.440,12.203
Africa,Cameroon,313,108.439,11.807
Asia,Philippines,1266,24.135,11.542
Asia,Bangladesh,1847,21.251,11.210
North America,Nicaragua,74,27.846,11.185
Asia,Yemen,312,26.918,10.508
Asia,Indonesia,2876,26.176,10.507
Asia,Kazakhstan,188,23.393,10.012
Africa,CAR,47,20.716,9.739
Africa,Eswatini,11,20.792,9.483
North America,Haiti,105,37.393,9.203
Asia,Kyrgyzstan,57,10.636,8.739
Africa,Comoros,7,23.744,8.063
Africa,Mauritius,10,1652.115,7.859
South America,Uruguay,27,87.994,7.764
Asia,Japan,972,157.644,7.681
North America,Cuba,86,434.439,7.604
Africa,Sierra Leone,60,55.684,7.510
Africa,Liberia,36,26.612,7.108
Africa,Senegal,112,37.570,6.694
Africa,Morocco,228,23.246,6.185
Africa,Mali,116,45.632,5.744
North America,Trinidad and Tobago,8,87.661,5.723
Africa,Somalia,90,124.231,5.663
Asia,S. Korea,282,169.126,5.508
Asia,Tajikistan,52,71.518,5.456
Europe,Slovakia,28,99.938,5.123
North America,Belize,2,114.006,5.000
Asia,Lebanon,34,46.829,4.972
Africa,Chad,74,522.803,4.529
Asia,Singapore,26,131.209,4.444
Australia/Oceania,New Zealand,22,491.830,4.391
Africa,Tunisia,50,377.321,4.216
Australia/Oceania,Australia,104,102.584,4.075
Asia,Georgia,15,222.699,3.766
Asia,Malaysia,121,803.662,3.740
Africa,Ghana,112,21.480,3.605
North America,Jamaica,10,100.182,3.381
Africa,Libya,23,16.252,3.355
Africa,South Sudan,36,129.760,3.222
Asia,China,4634,3584.254,3.218
North America,Costa Rica,16,11.604,3.141
Africa,Nigeria,573,26.438,2.781
Africa,Kenya,148,17.146,2.743
Africa,Niger,67,177.423,2.742
Africa,Ivory Coast,68,22.784,2.577
Africa,Burkina Faso,53,76.661,2.534
Africa,Guinea,33,62.449,2.516
South America,Paraguay,17,10.385,2.380
Africa,Réunion,2,131.884,2.236
Africa,DRC,170,28.135,1.908
Africa,Benin,21,12.255,1.734
Africa,Togo,14,36.456,1.702
South America,Venezuela,48,14.069,1.684
Asia,Palestine,7,5.476,1.372
Africa,Zambia,24,44.689,1.310
Asia,Nepal,29,13.874,0.996
Asia,Hong Kong,7,130.549,0.934
Africa,Ethiopia,103,21.460,0.899
Asia,Jordan,9,58.568,0.883
Asia,Thailand,58,766.861,0.823
Africa,Gambia,2,35.526,0.809
Asia,Uzbekistan,26,18.614,0.778
Africa,Malawi,14,9.879,0.732
Africa,Madagascar,20,16.168,0.723
Asia,Sri Lanka,11,101.014,0.516
Asia,Syria,9,20.038,0.516
Africa,Zimbabwe,7,33.814,0.474
Africa,Angola,13,11.464,0.412
Asia,Taiwan,7,2166.431,0.298
Africa,Mozambique,6,25.876,0.189
Africa,Rwanda,2,20.173,0.154
Asia,Myanmar,6,158.757,0.100
