2020/05/24 02:10:16 UTC
Country,Total deaths,Td,Deaths/Mil.
All,World,343813,35.789,44.107
All,Total:,343813,35.789,44.107
North America,USA,98683,48.413,298.329
Europe,UK,36675,70.972,540.525
Europe,Italy,32735,241.205,541.284
Europe,Spain,28678,231.166,613.433
Europe,France,28332,282.794,434.136
South America,Brazil,22013,12.166,103.666
Europe,Belgium,9237,148.930,797.364
Europe,Germany,8366,231.130,99.889
Asia,Iran,7359,40.347,87.743
North America,Mexico,7179,12.765,55.704
North America,Canada,6355,49.840,168.563
Europe,Netherlands,5811,180.689,339.267
Asia,China,4634,12197.342,3.239
Asia,Turkey,4308,96.700,51.136
Europe,Sweden,3992,43.393,395.495
Asia,India,3868,13.063,2.796
Europe,Russia,3388,23.017,23.220
South America,Peru,3373,18.104,102.454
South America,Ecuador,3096,47.869,175.729
Europe,Switzerland,1905,971.942,220.292
Europe,Ireland,1604,220.922,325.211
Asia,Indonesia,1351,19.828,4.970
Europe,Portugal,1302,86.562,127.632
Europe,Romania,1176,72.692,61.115
Asia,Pakistan,1101,16.108,4.997
Europe,Poland,993,35.498,26.235
Asia,Philippines,863,42.940,7.893
Asia,Japan,808,265.905,6.401
Africa,Egypt,735,14.148,7.211
South America,Colombia,705,16.143,13.871
South America,Chile,673,10.630,35.239
Europe,Austria,639,278.236,71.009
Europe,Ukraine,605,34.201,13.817
Africa,Algeria,592,27.972,13.499
Europe,Denmark,561,124.645,96.904
Europe,Hungary,482,72.612,49.849
North America,DominicanRepublic,458,27.770,42.269
Asia,Bangladesh,452,11.447,2.748
South America,Argentina,445,12.949,9.838
Africa,SouthAfrica,407,12.233,6.865
Asia,SaudiArabia,379,16.214,10.906
Europe,Czechia,314,96.714,29.316
Europe,Finland,306,110.564,55.255
North America,Panama,299,36.726,69.428
Asia,Israel,279,777.255,30.334
Asia,S.Korea,266,352.433,5.182
Asia,UAE,244,20.396,24.703
Europe,Moldova,242,29.522,59.964
Europe,Serbia,238,87.852,27.229
Europe,Norway,235,369.083,43.390
South America,Bolivia,230,10.916,19.747
Africa,Nigeria,221,16.625,1.087
Asia,Afghanistan,216,10.884,5.552
Africa,Morocco,198,51.572,5.374
Europe,Belarus,194,23.547,20.532
Europe,Greece,171,242.381,16.410
North America,Honduras,167,14.023,16.907
Africa,Cameroon,159,13.919,5.999
Asia,Iraq,152,17.947,3.772
Asia,Kuwait,148,12.319,34.715
Africa,Sudan,146,10.535,3.340
Europe,BosniaandHerzegovina,141,91.111,42.931
Europe,Bulgaria,126,47.677,18.105
Asia,Malaysia,115,108.936,3.553
Europe,NorthMacedonia,113,50.148,54.259
Europe,Luxembourg,109,320.228,174.427
Europe,Slovenia,106,2371.833,50.978
Australia/Oceania,Australia,102,457.607,4.002
Europe,Croatia,99,570.365,24.099
North America,Cuba,81,133.346,7.131
Asia,Armenia,77,12.563,25.988
Europe,Estonia,64,170.809,48.255
Europe,Lithuania,63,93.173,23.118
Africa,DRC,63,12.417,0.716
Africa,Mali,63,24.855,3.103
Africa,Somalia,61,30.142,3.865
Africa,Niger,61,82.281,2.523
Africa,Chad,60,15.517,3.704
Asia,Thailand,56,980.917,0.811
North America,Guatemala,55,7.827,3.080
Africa,BurkinaFaso,52,120.981,2.491
Europe,Andorra,51,3694.821,660.189
Africa,Kenya,50,13.405,0.923
Asia,Azerbaijan,49,20.370,4.836
Africa,Tunisia,48,459.836,4.076
Europe,ChannelIslands,45,674.429,259.113
Asia,Tajikistan,44,6.664,4.628
Europe,SanMarino,42,266.450,1238.084
Africa,SierraLeone,39,16.405,4.899
Asia,Yemen,39,8.781,1.288
Asia,Oman,36,13.230,7.069
Asia,Kazakhstan,35,16.023,1.865
Africa,Senegal,34,23.890,2.034
North America,ElSalvador,33,13.359,5.098
Africa,Ghana,31,33.917,0.998
Europe,Albania,31,83.241,10.783
Africa,IvoryCoast,30,35.157,1.141
Europe,Slovakia,28,660.976,5.120
Asia,Lebanon,26,24.791,3.816
North America,Haiti,26,5.500,2.284
Africa,Liberia,26,36.184,5.200
Europe,IsleofMan,24,1627.855,282.429
Asia,Singapore,23,38.132,3.935
Europe,Latvia,22,101.131,11.652
South America,Uruguay,22,117.136,6.335
Asia,Qatar,21,15.670,7.302
Australia/Oceania,NewZealand,21,1213.815,4.356
Africa,Guinea,20,27.251,1.530
Africa,Mayotte,19,32.825,69.842
Asia,Cyprus,17,343.555,14.084
North America,Nicaragua,17,2.011,2.559
Africa,Congo,16,22.099,2.924
North America,SintMaarten,15,371.175,350.260
Asia,Kyrgyzstan,14,24.199,2.154
North America,Martinique,14,188.734,37.310
Asia,Bahrain,13,18.249,7.673
Asia,Uzbekistan,13,37.612,0.388
North America,Guadeloupe,13,754.488,32.500
Africa,Gabon,12,12.703,5.404
Asia,Georgia,12,76.043,3.000
Africa,Togo,12,21.614,1.448
South America,Paraguay,11,54.819,1.540
Africa,EquatorialGuinea,11,10.107,7.872
North America,Bahamas,11,118.858,28.050
Europe,Iceland,10,4374.105,29.324
Africa,Djibouti,10,9.089,10.137
North America,CostaRica,10,66.070,1.961
South America,Venezuela,10,6.729,0.350
South America,Guyana,10,59.162,12.756
Asia,SriLanka,9,37.551,0.421
Asia,Jordan,9,32.729,0.882
North America,Jamaica,9,65.970,3.044
North America,Bermuda,9,121.770,144.492
Africa,SouthSudan,8,4.753,0.721
Africa,SaoTomeandPrincipe,8,73.664,36.590
Africa,Zambia,7,15.974,0.380
Asia,Taiwan,7,2137.318,0.302
North America,Barbados,7,71.945,24.348
Africa,Guinea-Bissau,6,34.795,3.059
Europe,Malta,6,44.433,13.596
Asia,Myanmar,6,48.863,0.119
Africa,Mauritania,6,2.795,1.295
Africa,Ethiopia,5,10.131,0.040
Asia,Maldives,4,24.604,7.415
Asia,HongKong,4,395.436,0.533
Europe,Monaco,4,235.315,102.000
Asia,Syria,4,15.322,0.229
Africa,Angola,4,20.244,0.131
Africa,Zimbabwe,4,16.866,0.286
Asia,Palestine,3,41.195,0.589
Africa,CaboVerde,3,39.387,5.402
Asia,Nepal,3,6.633,0.103
Africa,Libya,3,33.906,0.440
Africa,Malawi,3,20.884,0.146
North America,SaintMartin,3,191.645,77.700
Africa,Madagascar,2,8.905,0.074
Africa,Eswatini,2,29.585,1.723
