2020/05/31 00:52:09 UTC
Country,Total deaths,Td,Deaths/Mil.
All,World,370870,37.250,47.554
All,Total:,370870,37.250,47.578
North America,USA,105557,56.311,319.084
Europe,UK,38376,82.017,565.598
Europe,Italy,33340,335.864,551.406
South America,Brazil,28834,13.440,135.713
Europe,France,28771,146.231,440.812
Europe,Spain,27125,350.330,580.192
North America,Mexico,9779,17.066,75.875
Europe,Belgium,9453,202.739,815.883
Europe,Germany,8600,266.414,102.659
Asia,Iran,7734,44.371,92.164
North America,Canada,7073,64.160,187.510
Europe,Netherlands,5951,185.694,347.357
Asia,India,5185,14.946,3.764
Asia,China,4634,14913.254,3.238
Europe,Russia,4555,29.211,31.219
Asia,Turkey,4515,104.253,53.592
Europe,Sweden,4395,43.407,435.438
South America,Peru,4371,16.377,132.727
South America,Ecuador,3334,78.460,189.213
Europe,Switzerland,1919,1244.746,221.856
Europe,Ireland,1651,346.145,334.717
Asia,Indonesia,1573,28.551,5.737
Europe,Portugal,1396,87.765,136.856
Asia,Pakistan,1395,20.478,6.318
Europe,Romania,1259,70.300,65.408
Europe,Poland,1061,40.847,28.043
South America,Chile,997,13.044,52.195
Asia,Philippines,950,21.728,8.659
Africa,Egypt,913,13.836,8.955
South America,Colombia,890,14.438,17.494
Asia,Japan,886,301.797,7.012
Europe,Ukraine,696,40.432,15.897
Europe,Austria,668,404.384,74.187
Africa,Algeria,646,36.484,14.778
Africa,SouthAfrica,643,13.036,10.860
Asia,Bangladesh,610,14.715,3.706
Europe,Denmark,571,161.642,98.611
South America,Argentina,528,13.614,11.691
Europe,Hungary,524,119.394,54.202
North America,DominicanRepublic,498,30.510,45.947
Asia,SaudiArabia,480,28.101,13.804
North America,Panama,330,23.366,76.581
Europe,Czechia,319,129.277,29.792
Europe,Finland,316,125.930,57.034
South America,Bolivia,300,10.834,25.736
Europe,Moldova,291,33.105,72.121
Asia,Israel,284,272.709,30.884
Africa,Nigeria,273,17.996,1.330
Asia,S.Korea,269,218.729,5.243
Asia,UAE,262,29.183,26.520
Africa,Sudan,262,17.333,6.004
Asia,Afghanistan,249,12.991,6.411
Europe,Serbia,242,188.640,27.685
Europe,Norway,236,447.422,43.552
Europe,Belarus,229,29.020,24.231
Asia,Kuwait,205,19.661,48.064
