2020/04/05 09:40:16 UTC
Country,Total deaths,Td,Deaths/Mil.
China,3329,1720.444,2.323
S.Korea,183,73.496,3.575
SanMarino,32,33.420,943.073
Congo,2,33.096,0.364
Lebanon,18,26.230,2.630
Taiwan,5,24.591,0.207
Jordan,5,21.972,0.495
Italy,15362,19.920,254.037
Venezuela,7,18.358,0.226
Guadeloupe,7,17.782,17.500
Uruguay,5,17.680,1.438
Norway,62,17.051,11.433
SouthAfrica,9,16.780,0.153
TrinidadandTobago,6,15.961,4.311
Austria,204,15.849,22.657
Slovenia,28,15.566,13.480
Bahrain,4,15.107,2.349
Switzerland,666,14.972,76.945
HongKong,4,14.784,0.535
Iceland,4,14.760,11.721
Andorra,17,14.569,220.015
Luxembourg,31,14.436,49.527
Ghana,5,14.183,0.164
Singapore,6,14.158,1.024
SriLanka,5,13.870,0.241
Angola,2,13.604,0.060
Australia,34,13.595,1.333
BurkinaFaso,16,13.501,0.755
Greece,68,13.126,6.544
Iran,3452,12.936,41.120
CostaRica,2,12.493,0.391
Malaysia,61,12.321,1.882
Bulgaria,18,11.799,2.586
Netherlands,1651,11.406,96.317
Senegal,2,11.199,0.119
Finland,25,11.006,4.515
Martinique,3,10.925,7.986
Thailand,23,10.869,0.329
Albania,20,10.745,6.967
Croatia,12,10.618,2.920
Germany,1444,10.547,17.236
Spain,11947,10.308,255.572
Iraq,56,10.254,1.403
Estonia,15,10.114,11.308
Czechia,62,9.913,5.791
Togo,3,9.808,0.366
Sudan,2,9.498,0.040
Japan,77,9.329,0.613
Total:,64975,9.184,8.336
Denmark,161,9.121,27.801
Jamaica,3,8.959,1.036
Sweden,373,8.748,36.935
Ireland,137,8.578,27.733
Lithuania,11,8.557,4.042
Portugal,266,8.539,26.084
Indonesia,198,8.507,0.697
Oman,2,8.379,0.389
Guatemala,2,8.301,0.098
Hungary,34,8.282,3.525
Belgium,1447,8.123,124.852
SaudiArabia,29,8.069,0.832
Pakistan,45,8.006,0.203
Ecuador,172,8.005,9.729
Bangladesh,9,8.005,0.051
DominicanRepublic,77,7.978,7.075
Paraguay,3,7.838,0.433
Egypt,71,7.835,0.664
NorthMacedonia,17,7.786,8.166
Georgia,2,7.764,0.506
Israel,46,7.635,5.313
Bolivia,10,7.332,0.828
Armenia,7,7.329,2.359
Chile,27,7.292,1.415
Argentina,43,7.279,0.948
BosniaandHerzegovina,21,7.228,6.413
Tunisia,18,7.055,1.530
Cyprus,9,7.048,7.458
Panama,46,7.006,10.651
Peru,73,6.762,2.216
Romania,148,6.746,7.701
Poland,84,6.718,2.213
Uzbekistan,2,6.671,0.060
Cuba,6,6.660,0.521
Morocco,66,6.654,1.788
Qatar,3,6.582,1.042
Syria,2,6.493,0.105
Mauritius,7,6.451,5.489
Mayotte,2,6.429,7.328
UK,4313,6.352,63.507
Serbia,44,6.184,5.039
Nigeria,4,6.132,0.019
Mexico,79,6.054,0.627
France,7560,6.019,115.812
Canada,233,5.998,6.167
Kazakhstan,6,5.928,0.316
Mali,3,5.894,0.146
Philippines,152,5.859,1.405
USA,8454,5.832,25.527
Colombia,32,5.788,0.637
DRC,18,5.625,0.234
Montenegro,2,5.573,3.182
Honduras,22,5.449,2.216
Algeria,130,5.419,3.014
Azerbaijan,5,5.312,0.489
Bahamas,4,5.193,10.143
Brazil,445,5.186,2.105
ElSalvador,3,5.112,0.484
Turkey,501,5.085,5.945
ChannelIslands,5,5.038,28.760
SaintMartin,2,5.005,51.724
UAE,10,4.997,1.010
Afghanistan,7,4.699,0.187
Moldova,14,4.618,3.463
Ukraine,32,4.426,0.742
Kenya,4,4.417,0.063
Guyana,4,4.417,5.167
Russia,43,4.308,0.291
India,99,3.870,0.083
SintMaarten,4,3.400,93.280
MSZaandam,2,3.226,0.089
Belarus,5,3.144,0.534
Cameroon,9,2.683,0.341
Niger,8,2.333,0.333
