2020/07/29 04:58:22 UTC
Continent,Country,Total deaths,Td,Deaths/Mil.
Europe,Belgium,9833,123.511,848.156
Europe,UK,45878,296.843,675.601
Europe,Andorra,52,188.902,672.904
Europe,Spain,28436,107.847,608.134
Europe,Italy,35123,686.492,580.947
Europe,Sweden,5702,288.009,564.361
South America,Peru,18612,55.762,563.913
South America,Chile,9240,109.830,483.053
Europe,France,30223,135.484,462.872
North America,USA,152320,43.815,459.973
South America,Brazil,88634,35.415,416.764
Europe,Netherlands,6145,196.620,358.518
Europe,Ireland,1764,988.188,356.964
North America,Sint Maarten,15,13.230,349.605
North America,Mexico,44876,34.174,347.800
South America,Ecuador,5584,63.399,316.123
North America,Panama,1349,36.241,312.302
Europe,Channel Islands,47,709.607,270.150
Asia,Armenia,719,74.422,242.609
North America,Canada,8912,165.368,235.987
South America,Bolivia,2720,28.462,232.787
Europe,Switzerland,1978,191.248,228.440
Europe,North Macedonia,471,52.962,226.071
Asia,Kyrgyzstan,1347,23.961,206.224
Asia,Iran,16147,79.948,192.059
Europe,Moldova,753,52.431,186.705
Europe,Luxembourg,113,45.118,180.304
South America,Colombia,9074,20.503,178.198
Europe,Portugal,1722,159.328,168.921
North America,Bermuda,9,249.872,144.577
South America,French Guiana,43,49.139,143.722
Africa,Mayotte,38,182.707,139.067
North America,Honduras,1214,31.074,122.420
Africa,South Africa,7257,26.112,122.249
Europe,Romania,2239,26.326,116.440
Asia,Iraq,4535,28.297,112.577
Europe,Germany,9207,246.023,109.846
Europe,Denmark,613,237.115,105.786
Asia,Kuwait,442,64.586,103.388
Europe,Monaco,4,92.167,101.880
North America,Dominican Republic,1101,29.234,101.420
North America,Guatemala,1782,33.739,99.322
Europe,Russia,13504,96.982,92.534
Europe,Bosnia and Herzegovina,297,23.888,90.568
All,World,663523,42.695,85.133
All,Total:,663523,42.695,85.126
Asia,Bahrain,141,71.903,82.687
Asia,Saudi Arabia,2789,85.121,80.025
Europe,Austria,713,115.587,79.138
Asia,Oman,402,44.679,78.590
North America,Saint Martin,3,76.798,77.510
Europe,Montenegro,45,22.679,71.643
South America,Argentina,3179,20.065,70.290
Asia,Turkey,5645,168.216,66.879
North America,El Salvador,417,23.659,64.254
