2020/07/30 00:56:43 UTC
Continent,Country,Total deaths,Td,Deaths/Mil.
Africa,DRC,210,139.637,2.351
Asia,Syria,40,19.776,2.287
Africa,Ethiopia,253,15.344,2.192
Africa,Togo,18,45.836,2.170
Asia,Nepal,49,76.864,1.681
Africa,Angola,48,17.123,1.469
Asia,Jordan,11,83.511,1.075
Africa,Botswana,2,11.233,0.848
Asia,Thailand,58,430.056,0.827
Asia,Sri Lanka,11,232.638,0.513
Africa,Rwanda,5,32.274,0.385
Africa,Mozambique,11,41.932,0.352
Asia,Taiwan,7,186.388,0.300
Asia,Myanmar,6,210.447,0.103
Africa,Uganda,2,82.647,0.044
