2020/04/02 00:02:30 UTC,,,
Country,Total deaths,Td,Deaths/Mil.
S.Korea,165,71.807,3.221
SanMarino,28,38.419,825.169
Bangladesh,6,23.692,0.033
Taiwan,5,18.198,0.213
Bahrain,4,15.856,2.348
Venezuela,3,15.837,0.104
SriLanka,3,13.529,0.144
Malaysia,45,13.518,1.393
Lebanon,14,13.346,2.046
Estonia,5,13.108,3.768
Italy,13155,12.24,217.596
Albania,15,12.198,5.212
TrinidadandTobago,5,11.967,3.556
Norway,44,11.438,8.12
Qatar,2,10.992,0.695
Togo,2,10.83,0.222
Finland,17,10.602,3.068
Singapore,3,10.538,0.513
Slovenia,15,10.423,7.224
Switzerland,488,10.363,56.386
Uruguay,2,10.15,0.577
Jordan,5,10.106,0.486
Iran,3036,10.077,36.169
Iceland,2,9.627,5.861
Denmark,104,9.368,17.941
Paraguay,3,9.321,0.435
HongKong,4,9.26,0.533
Jamaica,3,9.223,1.023
Thailand,12,9.198,0.169
Egypt,52,9.06,0.534
Guadeloupe,6,9.021,14.976
Greece,51,8.913,4.902
Bulgaria,10,8.791,1.445
Luxembourg,29,8.763,46.332
Austria,146,8.375,16.207
Australia,23,8.228,0.902
Japan,57,8.073,0.454
Montenegro,2,7.987,3.187
CostaRica,2,7.78,0.395
Indonesia,157,7.699,0.562
Belarus,2,7.588,0.209
SaudiArabia,16,7.491,0.456
Pakistan,27,7.468,0.127
BurkinaFaso,16,7.371,0.738
SouthAfrica,5,7.286,0.083
Total:,47189,7.277,6.052
Sweden,239,7.219,23.673
Armenia,4,7.162,1.352
Germany,931,7.095,11.115
NorthMacedonia,11,7,5.282
Syria,2,7,0.12
Croatia,6,6.99,1.464
Lithuania,8,6.983,2.933
Hungary,20,6.943,2.057
Czechia,39,6.891,3.64
Martinique,3,6.78,8
Andorra,14,6.649,181.21
Spain,9387,6.528,200.78
Iraq,52,6.523,1.286
Netherlands,1173,6.444,68.498
DRC,9,6.388,0.083
Ireland,85,6.14,17.212
Belgium,828,6.018,71.451
Argentina,32,5.961,0.706
France,4032,5.956,61.765
Colombia,17,5.932,0.335
Ecuador,98,5.895,5.543
Sudan,2,5.726,0.057
Poland,43,5.668,1.128
Panama,32,5.65,7.411
Cyprus,9,5.479,7.453
Israel,26,5.435,3.005
UAE,8,5.428,0.806
Tunisia,12,5.427,1.021
BosniaandHerzegovina,13,5.34,3.965
ElSalvador,2,5.209,0.303
Mexico,29,5.166,0.215
Chile,16,4.971,0.839
Angola,2,4.947,0.05
Brazil,242,4.896,1.126
Romania,92,4.857,4.787
Portugal,187,4.788,18.335
Peru,38,4.786,1.149
Serbia,28,4.779,3.196
Uzbekistan,2,4.738,0.055
Algeria,58,4.705,1.301
Afghanistan,4,4.678,0.101
Moldova,5,4.65,1.241
Canada,114,4.626,3.023
Ghana,5,4.606,0.154
India,58,4.582,0.029
Morocco,39,4.547,1.073
Bolivia,7,4.382,0.609
UK,2352,4.297,34.633
Mauritius,6,4.293,4.733
Cameroon,6,4.28,0.232
USA,5099,4.252,15.394
Philippines,96,4.097,0.872
DominicanRepublic,57,4.089,5.238
Russia,24,4.058,0.164
Honduras,10,4.056,0.988
Nigeria,2,3.954,0.009
Kazakhstan,3,3.885,0.158
Cuba,6,3.694,0.538
ChannelIslands,3,3.679,17.25
Guyana,3,3.634,3.789
Azerbaijan,5,3.592,0.487
Ukraine,20,2.982,0.453
Congo,2,2.846,0.364
Turkey,277,2.604,3.286
Niger,5,2.058,0.203
Mali,3,1.77,0.194
