2020/07/16 20:35:50 UTC
Continent,Country,Total deaths,Td,Deaths/Mil.
Europe,San Marino,42,3389.143,1237.708
Europe,Belgium,9792,331.484,844.698
Europe,Andorra,52,595.064,672.984
Europe,UK,45119,252.271,664.558
Europe,Spain,28416,231.625,607.730
Europe,Italy,35017,742.760,579.268
Europe,Sweden,5593,121.112,553.647
Europe,France,30138,190.798,461.680
North America,USA,140838,32.268,425.381
South America,Chile,7290,73.734,381.213
South America,Peru,12417,63.583,376.418
Europe,Netherlands,6137,409.398,358.174
South America,Brazil,75697,34.146,356.017
Europe,Ireland,1749,796.850,354.047
South America,Ecuador,5207,40.169,294.989
North America,Mexico,36906,28.560,286.176
Europe,Channel Islands,47,702.329,270.270
North America,Canada,8825,197.587,233.731
North America,Panama,982,27.398,227.458
Europe,Switzerland,1969,201.509,227.420
Asia,Armenia,607,41.075,204.823
Europe,North Macedonia,401,31.891,192.478
Europe,Luxembourg,111,50.188,177.227
South America,Bolivia,1942,21.220,166.278
Europe,Moldova,666,52.373,165.120
Europe,Portugal,1679,77.300,164.684
Asia,Iran,13608,66.905,161.934
North America,Bermuda,9,725.376,144.540
Africa,Mayotte,37,239.550,135.523
South America,Colombia,5814,19.411,114.225
South America,French Guiana,34,30.721,113.743
Europe,Germany,9157,317.382,109.298
Europe,Denmark,610,281.844,105.277
Europe,Romania,1971,32.691,102.483
Europe,Monaco,4,526.442,101.908
Asia,Kuwait,402,46.959,94.080
Asia,Iraq,3522,19.820,87.490
North America,Dominican Republic,941,23.323,86.720
North America,Honduras,825,29.133,83.253
Europe,Russia,11937,67.780,81.790
Europe,Austria,711,121.070,78.922
Africa,South Africa,4669,13.227,78.685
All,Total:,589880,37.109,75.677
All,World,589880,37.109,75.665
North America,Guatemala,1350,20.836,75.299
Europe,Bosnia and Herzegovina,240,18.033,73.178
Asia,Bahrain,121,43.736,71.045
Asia,Saudi Arabia,2370,48.638,68.039
Asia,Turkey,5440,130.171,64.465
Africa,Sao Tome and Principe,14,272.640,63.845
Europe,Hungary,595,298.464,61.600
Europe,Finland,328,1261.353,59.187
Asia,Oman,290,22.035,56.745
Africa,Djibouti,56,249.518,56.652
Asia,Qatar,152,127.981,54.135
Europe,Slovenia,111,66.233,53.364
Europe,Estonia,69,750.009,52.024
North America,Turks and Caicos,2,18.015,51.639
Europe,Belarus,485,225.160,51.328
Europe,Serbia,442,33.740,50.596
Europe,Norway,254,714.320,46.848
North America,El Salvador,298,19.709,45.936
South America,Argentina,2050,19.837,45.336
Europe,Poland,1605,77.672,42.412
Asia,Israel,384,15.322,41.752
Europe,Bulgaria,289,22.385,41.605
North America,Martinique,15,203.776,40.000
Africa,Egypt,4067,60.496,39.739
Europe,Montenegro,24,16.552,38.210
Europe,Albania,104,22.568,36.134
North America,Guadeloupe,14,151.209,35.000
Africa,Cabo Verde,19,27.717,34.163
Asia,UAE,335,85.858,33.859
Europe,Czechia,355,86.764,33.140
Europe,Ukraine,1445,42.872,33.044
Asia,Azerbaijan,334,27.381,32.934
