2020/06/01 06:21:55 UTC
Country,Total deaths,Td,Deaths/Mil.
Europe,Latvia,24,301.818,12.720
Asia,Singapore,23,55.424,3.934
Africa,Guinea,23,39.245,1.756
Africa,Mauritania,23,6.887,4.947
South America,Uruguay,22,71.495,6.335
Africa,Mayotte,21,89.148,77.152
Africa,Congo,20,21.390,3.633
Asia,Bahrain,19,22.319,11.204
Africa,Gabon,17,15.313,7.652
Asia,Cyprus,17,651.902,14.083
Asia,Kyrgyzstan,16,20.437,2.457
Asia,Uzbekistan,15,35.083,0.451
South America,Venezuela,14,16.288,0.491
North America,Martinique,14,321.037,37.310
North America,Guadeloupe,14,783.600,35.000
Africa,Togo,13,32.671,1.588
Africa,EquatorialGuinea,12,21.577,8.582
Asia,Georgia,12,58.692,3.008
Africa,SaoTomeandPrincipe,12,10.117,54.857
South America,Guyana,12,38.766,15.294
Asia,SriLanka,11,15.012,0.512
South America,Paraguay,11,37.059,1.540
Africa,Ethiopia,11,8.339,0.094
North America,Bahamas,11,245.020,28.039
Europe,Iceland,10,4378.957,29.319
North America,CostaRica,10,46.329,1.960
Africa,SouthSudan,10,11.633,0.895
Africa,Mauritius,10,1623.003,7.851
Asia,Jordan,9,125.617,0.877
Europe,Malta,9,425.934,20.388
North America,Jamaica,9,81.176,3.041
North America,Bermuda,9,94.594,144.450
Africa,Guinea-Bissau,8,75.678,4.076
Asia,Nepal,8,5.810,0.275
North America,TrinidadandTobago,8,565.258,5.744
Africa,Zambia,7,34.953,0.384
Asia,Taiwan,7,1072.297,0.300
Africa,Madagascar,6,13.768,0.218
Asia,Myanmar,6,41.778,0.105
Asia,Maldives,5,20.235,9.264
Asia,Syria,5,34.514,0.287
Africa,Libya,5,6.625,0.737
Asia,HongKong,4,274.643,0.535
Africa,CaboVerde,4,44.433,7.200
Africa,Malawi,4,4.693,0.211
Europe,Monaco,4,477.921,101.980
Africa,Angola,4,22.031,0.140
Africa,Zimbabwe,4,4.196,0.270
Asia,Palestine,3,84.499,0.589
Africa,Benin,3,24.951,0.246
North America,SaintMartin,3,196.497,77.707
North America,AntiguaandBarbuda,3,123.711,30.692
Africa,CAR,2,11.061,0.415
Africa,Eswatini,2,45.214,1.726
Africa,Mozambique,2,24.882,0.063
Africa,Comoros,2,24.563,2.302
