2020/04/06 05:13:00 UTC
Country,Total deaths,Td,Deaths/Mil.
China,3331,1663.328,2.324
S.Korea,186,77.642,3.635
SanMarino,32,33.366,943.038
Lebanon,18,29.075,2.630
Taiwan,5,28.405,0.207
Venezuela,7,23.205,0.264
SouthAfrica,11,21.892,0.186
Austria,204,21.309,22.650
Italy,15887,20.473,262.796
Guadeloupe,7,20.063,17.474
TrinidadandTobago,7,19.625,5.000
Jordan,5,19.212,0.493
Norway,71,18.735,13.093
Uruguay,6,17.985,1.729
Slovenia,28,17.535,13.480
Switzerland,715,16.628,82.615
Bahrain,4,15.809,2.349
Australia,39,15.649,1.530
Iceland,4,15.473,11.723
Senegal,2,15.399,0.117
HongKong,4,14.804,0.534
Malaysia,61,14.590,1.882
BurkinaFaso,17,14.346,0.838
Iran,3603,14.323,42.883
Ghana,5,14.183,0.164
Luxembourg,36,14.108,57.505
Finland,28,13.692,5.057
Greece,73,13.525,6.984
SriLanka,5,13.240,0.227
CostaRica,2,13.160,0.392
Thailand,26,12.899,0.375
Togo,3,12.669,0.341
Singapore,6,12.184,1.027
Croatia,15,12.042,3.655
Andorra,18,11.967,232.958
Bulgaria,21,11.831,3.028
Netherlands,1766,11.602,103.085
Iraq,61,11.491,1.523
Estonia,15,11.335,11.308
Spain,12641,11.150,270.400
Czechia,67,10.925,6.252
Germany,1584,10.815,18.906
IvoryCoast,3,10.581,0.115
Martinique,4,10.294,10.658
Indonesia,198,10.222,0.697
Jamaica,3,10.174,1.034
Albania,20,10.073,6.925
Lithuania,14,9.669,5.144
SaudiArabia,34,9.652,0.977
Total:,69479,9.638,8.914
Belgium,1447,9.633,124.852
Hungary,38,9.523,3.933
Oman,2,9.519,0.389
Georgia,2,9.254,0.506
Denmark,179,9.191,30.892
Sweden,401,9.188,39.689
Armenia,7,9.090,2.359
Ireland,158,8.984,31.986
Portugal,295,8.583,28.930
Paraguay,5,8.535,0.708
Mauritius,7,8.469,5.489
Egypt,78,8.349,0.731
Mayotte,2,8.312,7.333
Israel,49,8.290,5.661
Bangladesh,9,8.287,0.051
Mali,5,8.255,0.222
Chile,34,8.061,1.779
BosniaandHerzegovina,23,8.052,6.998
Tunisia,22,7.959,1.878
Ecuador,180,7.830,10.219
Colombia,35,7.812,0.684
Ethiopia,2,7.754,0.019
Cuba,8,7.671,0.700
Bolivia,11,7.644,0.962
Argentina,46,7.590,1.006
DRC,18,7.552,0.234
Morocco,70,7.486,1.920
Kazakhstan,6,7.357,0.318
DominicanRepublic,82,7.340,7.566
Pakistan,50,7.327,0.229
Cyprus,9,7.327,7.446
Guatemala,3,7.297,0.171
NorthMacedonia,18,7.280,8.627
Japan,85,7.220,0.675
Romania,151,7.106,7.855
Poland,94,7.020,2.475
Angola,2,7.000,0.057
Sudan,2,7.000,0.050
Panama,54,6.949,12.522
Bahamas,5,6.663,12.759
France,8078,6.608,123.729
Nigeria,5,6.582,0.022
Syria,2,6.493,0.105
Canada,280,6.434,7.419
SaintMartin,2,6.404,51.750
Azerbaijan,7,6.381,0.695
Honduras,22,6.362,2.215
USA,9618,6.347,29.068
Mexico,94,6.308,0.746
Afghanistan,7,6.305,0.172
UK,4934,6.304,72.659
ChannelIslands,6,6.184,34.505
Philippines,152,6.125,1.380
Algeria,152,5.950,3.455
Kyrgyzstan,4,5.832,0.611
ElSalvador,3,5.825,0.478
Qatar,4,5.782,1.389
Montenegro,2,5.674,3.187
Congo,5,5.627,0.889
Peru,83,5.539,2.511
Serbia,51,5.463,5.827
Turkey,574,5.295,6.807
Brazil,487,5.117,2.288
Uzbekistan,2,5.043,0.062
Ukraine,37,4.840,0.849
Kenya,4,4.648,0.085
Moldova,15,4.558,3.715
Russia,45,4.506,0.309
UAE,10,4.493,1.012
Guyana,4,3.768,5.103
Belarus,8,3.711,0.840
India,118,3.492,0.082
Liberia,3,3.309,0.692
MSZaandam,2,3.226,0.089
Cameroon,9,3.146,0.332
SintMaarten,6,2.667,139.946
Niger,10,2.284,0.435
