2020/05/20 07:47:11 UTC
Country,Total deaths,Td,Deaths/Mil.
All,World,324527,35.228,41.617
All,Total:,324527,35.228,41.637
North America,USA,93525,44.590,282.737
Europe,UK,35341,51.541,520.844
Europe,Italy,32169,198.175,531.990
Europe,France,28022,337.077,429.453
Europe,Spain,27778,143.285,594.112
South America,Brazil,17983,11.394,84.662
Europe,Belgium,9108,132.102,786.222
Europe,Germany,8193,182.877,97.813
Asia,Iran,7119,41.222,84.900
North America,Canada,5912,45.784,156.782
Europe,Netherlands,5715,167.284,333.609
North America,Mexico,5332,16.277,41.410
Asia,China,4634,11836.528,3.240
Asia,Turkey,4199,70.094,49.851
Europe,Sweden,3743,39.894,370.909
Asia,India,3302,13.481,2.388
South America,Peru,2914,15.045,88.519
South America,Ecuador,2839,41.927,161.191
Europe,Russia,2837,18.968,19.437
Europe,Switzerland,1891,621.770,218.696
Europe,Ireland,1561,114.174,316.564
Europe,Portugal,1247,91.565,122.234
Asia,Indonesia,1221,21.433,4.489
Europe,Romania,1137,56.571,59.062
Europe,Poland,948,37.355,25.043
Asia,Pakistan,939,19.626,4.271
Asia,Philippines,837,36.965,7.631
Asia,Japan,749,232.320,5.926
Africa,Egypt,659,16.751,6.451
Europe,Austria,632,217.537,70.205
South America,Colombia,613,15.066,12.054
Africa,Algeria,561,24.818,12.852
Europe,Denmark,551,115.848,95.143
Europe,Ukraine,548,29.610,12.513
South America,Chile,509,10.865,26.652
Europe,Hungary,467,68.549,48.328
North America,DominicanRepublic,441,25.115,40.688
South America,Argentina,393,16.485,8.700
Asia,Bangladesh,370,11.814,2.253
Asia,SaudiArabia,329,14.595,9.465
Africa,SouthAfrica,312,11.672,5.260
Europe,Czechia,302,90.995,28.220
Europe,Finland,301,75.953,54.330
North America,Panama,281,41.692,65.245
Asia,Israel,278,619.340,32.174
Asia,S.Korea,263,460.939,5.128
Europe,Serbia,234,103.834,26.773
Europe,Norway,233,362.221,43.009
Asia,UAE,227,19.987,22.987
Europe,Moldova,221,23.428,54.762
Africa,Morocco,193,53.861,5.249
Africa,Nigeria,192,16.699,0.930
Asia,Afghanistan,178,11.203,4.582
Europe,Belarus,175,20.520,18.518
South America,Bolivia,174,13.351,14.939
Europe,Greece,165,141.099,15.803
North America,Honduras,146,16.908,14.767
Africa,Cameroon,140,17.849,5.276
Europe,BosniaandHerzegovina,134,66.634,40.818
Asia,Iraq,131,22.588,3.265
Asia,Kuwait,121,9.916,28.381
Asia,Malaysia,114,141.024,3.529
Europe,Bulgaria,112,43.973,16.113
Africa,Sudan,111,9.779,2.523
Europe,Luxembourg,109,297.635,174.461
Europe,NorthMacedonia,106,51.614,50.896
Europe,Slovenia,104,1183.894,50.050
Australia/Oceania,Australia,100,387.275,3.933
Europe,Croatia,96,430.759,23.355
North America,Cuba,79,107.866,6.992
Asia,Armenia,64,13.705,21.608
Europe,Estonia,64,190.675,48.241
Africa,DRC,61,12.414,0.674
Europe,Lithuania,60,104.300,22.010
Africa,Somalia,59,19.424,3.732
Asia,Thailand,56,917.335,0.794
Africa,Chad,56,11.469,3.391
Africa,Niger,55,71.459,2.287
Africa,Mali,53,23.054,2.647
Africa,BurkinaFaso,51,126.299,2.435
Europe,Andorra,51,1228.371,660.185
Africa,Kenya,50,16.295,0.935
Africa,Tunisia,46,457.630,3.881
Europe,ChannelIslands,44,334.178,253.377
Asia,Azerbaijan,41,18.156,4.044
Asia,Tajikistan,41,4.968,4.320
Europe,SanMarino,41,184.509,1208.592
North America,Guatemala,38,9.474,2.127
Asia,Kazakhstan,35,19.727,1.866
Africa,SierraLeone,33,10.609,4.140
Africa,Ghana,31,28.028,1.002
Europe,Albania,31,60.618,10.780
Africa,Senegal,30,17.879,1.800
North America,ElSalvador,30,11.947,4.626
Africa,IvoryCoast,28,32.806,1.066
Europe,Slovakia,28,239.359,5.132
Asia,Yemen,28,5.142,1.006
Asia,Oman,27,11.515,5.304
Asia,Lebanon,26,52.642,3.816
Europe,IsleofMan,24,403.927,282.412
Africa,Liberia,23,48.921,4.541
Asia,Singapore,22,31.397,3.764
Australia/Oceania,NewZealand,21,1213.006,4.359
Europe,Latvia,21,76.746,11.123
North America,Haiti,21,5.183,1.852
South America,Uruguay,20,168.077,5.772
Africa,Guinea,18,22.072,1.377
Africa,Mayotte,18,21.655,66.180
Asia,Cyprus,17,294.512,14.093
North America,Nicaragua,17,2.093,2.543
Asia,Qatar,15,13.955,5.217
Africa,Congo,15,20.904,2.714
North America,SintMaarten,15,371.175,350.260
Asia,Kyrgyzstan,14,26.778,2.151
North America,Martinique,14,183.881,37.333
Asia,Uzbekistan,13,38.751,0.387
Asia,Bahrain,12,15.713,7.085
Africa,Gabon,12,8.756,5.409
Asia,Georgia,12,50.310,3.004
Africa,Togo,12,9.159,1.456
South America,Paraguay,11,41.247,1.539
North America,Bahamas,11,152.826,27.958
Europe,Iceland,10,8740.932,29.329
North America,CostaRica,10,52.402,1.961
South America,Venezuela,10,12.798,0.356
South America,Guyana,10,48.075,12.720
Asia,SriLanka,9,34.559,0.422
Asia,Jordan,9,40.662,0.888
North America,Jamaica,9,191.645,3.046
North America,Bermuda,9,149.187,144.432
Africa,SaoTomeandPrincipe,8,25.820,36.590
Africa,Djibouti,7,19.158,7.100
Africa,Zambia,7,8.665,0.381
Africa,EquatorialGuinea,7,7.691,5.015
North America,Barbados,7,139.886,24.341
Africa,Guinea-Bissau,6,20.582,3.058
Europe,Malta,6,41.349,13.592
Asia,Myanmar,6,69.580,0.124
Africa,Ethiopia,5,14.467,0.041
Asia,HongKong,4,638.039,0.534
Asia,Maldives,4,20.684,7.416
Africa,SouthSudan,4,12.069,0.359
Europe,Monaco,4,468.217,102.021
Africa,Zimbabwe,4,19.794,0.261
Africa,Mauritania,4,1.812,0.855
Africa,CaboVerde,3,21.386,5.400
Africa,Libya,3,80.034,0.441
Africa,Malawi,3,23.617,0.171
Asia,Syria,3,23.072,0.155
Africa,Angola,3,33.559,0.115
Asia,Palestine,2,116.129,0.394
Asia,Nepal,2,7.870,0.070
Africa,Madagascar,2,8.647,0.074
Africa,Eswatini,2,39.575,1.731
