2020/08/19 12:19:00 UTC
Continent,Country,Total deaths,Td,Deaths/Mil.
Europe,San Marino,42,1132.947,1237.444
Europe,Belgium,9959,95.988,858.854
South America,Peru,26658,42.217,807.037
Europe,Andorra,53,113.659,685.783
Europe,Spain,28670,173.824,613.137
Europe,UK,41381,204.852,609.179
Europe,Italy,35405,361.058,585.643
Europe,Sweden,5790,195.120,572.824
South America,Chile,10546,151.719,551.064
North America,USA,175105,75.791,528.589
South America,Brazil,110019,52.815,517.096
Europe,France,30451,60.343,466.398
North America,Mexico,57774,64.118,447.520
North America,Panama,1809,61.042,418.415
North America,Sint Maarten,17,10.001,395.901
Europe,Netherlands,6175,75.148,360.232
Europe,Ireland,1775,188.718,358.950
South America,Bolivia,4172,49.113,356.782
South America,Ecuador,6105,65.242,345.338
South America,Colombia,15619,27.670,306.522
Asia,Armenia,833,137.038,281.040
Europe,Channel Islands,47,293.056,270.038
Europe,North Macedonia,549,68.493,263.537
North America,Canada,9045,216.206,239.356
Asia,Iran,20125,86.580,239.182
Europe,Switzerland,1996,98.393,230.395
Asia,Kyrgyzstan,1498,118.488,229.111
Europe,Moldova,908,55.757,225.164
Africa,South Africa,12264,107.911,206.449
Europe,Luxembourg,124,139.137,197.682
South America,French Guiana,53,138.988,176.877
Europe,Portugal,1784,173.333,175.032
Europe,Romania,3106,33.761,161.593
North America,Honduras,1593,74.286,160.502
Europe,Bosnia and Herzegovina,495,45.818,151.004
Asia,Iraq,6036,29.846,149.635
North America,Bermuda,9,112.619,144.596
Africa,Mayotte,39,219.774,142.523
North America,Dominican Republic,1489,67.660,137.085
North America,Guatemala,2419,50.211,134.690
South America,Argentina,6048,30.459,133.664
North America,Saint Martin,5,13.294,129.050
Europe,Montenegro,80,49.744,127.377
Asia,Kuwait,507,72.229,118.496
Asia,Oman,603,258.273,117.714
Europe,Germany,9305,126.628,110.997
Europe,Russia,15989,112.050,109.565
Europe,Denmark,621,76.388,107.175
Asia,Bahrain,175,80.684,102.423
Europe,Monaco,4,69.356,101.838
All,World,785049,57.194,100.718
All,Total:,785049,57.194,100.714
Asia,Saudi Arabia,3470,145.915,99.474
North America,El Salvador,633,44.538,97.524
South America,Suriname,54,21.232,91.948
Europe,Austria,729,61.085,80.879
Europe,Albania,232,35.492,80.627
Asia,Israel,719,42.768,78.174
Europe,Serbia,681,101.666,77.988
Asia,Kazakhstan,1415,182.589,75.237
Europe,Bulgaria,519,72.705,74.759
Asia,Turkey,6016,139.214,71.221
Asia,Qatar,193,276.073,68.738
Africa,Sao Tome and Principe,15,1071.084,68.288
Africa,Eswatini,76,30.938,65.426
Europe,Belarus,617,503.641,65.302
Africa,Cabo Verde,36,44.929,64.663
Europe,Hungary,609,92.357,63.067
Europe,Slovenia,129,52.270,62.042
North America,Costa Rica,314,25.507,61.565
Europe,Finland,334,205.642,60.253
Africa,Djibouti,59,1000.449,59.604
North America,Turks and Caicos,2,12.860,51.568
North America,Bahamas,20,13.310,50.801
Europe,Poland,1913,47.866,50.558
Africa,Egypt,5184,508.395,50.526
Asia,Azerbaijan,509,222.692,50.141
Europe,Ukraine,2144,32.715,49.061
Europe,Norway,262,133.834,48.275
Europe,Estonia,63,265.277,47.500
Asia,Maldives,24,31.970,44.301
Europe,Croatia,168,23.219,40.967
Asia,India,53046,27.826,38.388
North America,Guadeloupe,15,10.204,37.500
North America,Aruba,4,9.346,37.444
Europe,Czechia,401,56.000,37.432
Asia,UAE,367,131.048,37.048
Asia,Afghanistan,1375,550.393,35.217
Africa,Mauritania,157,170.025,33.648
South America,Guyana,25,23.981,31.750
Africa,Algeria,1391,56.608,31.633
North America,Antigua and Barbuda,3,448.808,30.613
Europe,Lithuania,81,54.396,29.823
Europe,Iceland,10,164.258,29.280
Asia,Pakistan,6201,265.790,28.011
Africa,Gambia,63,10.725,25.992
Asia,Philippines,2795,22.113,25.461
North America,Barbados,7,71.783,24.340
Africa,Libya,164,13.334,23.819
Africa,Gabon,53,149.554,23.744
Asia,Indonesia,6346,41.022,23.161
Asia,Bangladesh,3781,61.618,22.931
South America,Paraguay,161,14.105,22.542
Europe,Greece,232,21.177,22.262
Asia,Palestine,113,32.054,22.089
Europe,Malta,9,19.151,20.376
North America,Nicaragua,133,104.275,20.053
Africa,Morocco,714,20.102,19.315
Africa,Sudan,808,116.219,18.355
Asia,Yemen,537,155.587,17.909
Australia/Oceania,Australia,450,59.929,17.611
Europe,Latvia,33,192.527,17.520
North America,Haiti,196,138.857,17.173
Africa,Guinea-Bissau,33,351.767,16.726
Asia,Cyprus,20,77.962,16.556
Africa,Liberia,82,191.948,16.183
Asia,Lebanon,107,15.401,15.691
Africa,Senegal,258,54.187,15.361
Africa,Cameroon,406,231.355,15.237
Africa,Namibia,37,14.981,14.530
Africa,Zambia,264,25.885,14.310
Africa,Lesotho,30,25.315,13.985
Africa,Congo,76,213.706,13.728
Africa,CAR,61,665.296,12.607
South America,Uruguay,40,69.598,11.502
South America,Venezuela,297,19.798,10.450
North America,Belize,4,4.259,10.040
Asia,Hong Kong,72,52.490,9.591
Africa,Zimbabwe,141,44.126,9.465
Africa,Kenya,487,43.822,9.029
Asia,Japan,1115,32.971,8.812
Africa,Sierra Leone,69,349.610,8.629
North America,Trinidad and Tobago,12,6.554,8.566
Africa,Malawi,163,50.137,8.506
Africa,Comoros,7,278.985,8.034
Africa,Ghana,248,128.838,7.960
Africa,Mauritius,10,836.973,7.861
North America,Cuba,88,50.029,7.772
Asia,Uzbekistan,247,31.868,7.363
Asia,Brunei ,3,691.411,6.839
Asia,Tajikistan,65,149.299,6.795
Africa,Madagascar,173,87.760,6.232
Africa,Mali,125,142.903,6.142
Europe,Slovakia,33,33.542,6.039
Asia,S. Korea,306,55.510,5.965
Africa,Somalia,93,524.339,5.825
Africa,Réunion,5,19.270,5.581
